time;MACHINE_machine_omegaPu;MACHINE_machine_UStatorPu;MACHINE_machine_PGenPu;BUSGEN_bus_p_v_0_;BUSHV_bus_p_v_0_;
0.005800;0.999999;0.883936;0.563310;-0.573624;-0.507537;
0.005820;0.999999;0.881500;0.562706;-0.580917;-0.515416;
0.005840;0.999999;0.879487;0.562411;-0.588265;-0.523172;
0.005860;0.999999;0.877909;0.562421;-0.595668;-0.530803;
0.005880;0.999999;0.876773;0.562734;-0.603124;-0.538310;
0.005900;0.999999;0.876080;0.563341;-0.610630;-0.545691;
0.005920;0.999999;0.875830;0.564233;-0.618185;-0.552950;
0.005940;0.999999;0.876014;0.565396;-0.625786;-0.560087;
0.005960;0.999999;0.876623;0.566815;-0.633427;-0.567107;
0.005980;0.999999;0.877641;0.568473;-0.641104;-0.574013;
0.006000;0.999999;0.879049;0.570350;-0.648813;-0.580811;
0.006020;0.999999;0.880824;0.572424;-0.656547;-0.587507;
0.006040;0.999999;0.882939;0.574670;-0.664300;-0.594106;
0.006060;0.999999;0.885366;0.577063;-0.672066;-0.600616;
0.006080;0.999999;0.888071;0.579575;-0.679837;-0.607044;
0.006100;0.999999;0.891020;0.582178;-0.687607;-0.613400;
0.006120;0.999999;0.894177;0.584844;-0.695367;-0.619691;
0.006140;0.999999;0.897501;0.587541;-0.703110;-0.625926;
0.006160;0.999999;0.900954;0.590240;-0.710827;-0.632115;
0.006180;0.999999;0.904494;0.592911;-0.718511;-0.638267;
0.006200;0.999999;0.908079;0.595524;-0.726154;-0.644391;
0.006220;0.999999;0.911669;0.598052;-0.733748;-0.650497;
0.006240;0.999999;0.915222;0.600467;-0.741286;-0.656593;
0.006260;0.999999;0.918697;0.602744;-0.748758;-0.662690;
0.006280;0.999999;0.922055;0.604858;-0.756160;-0.668795;
0.006300;0.999999;0.925258;0.606788;-0.763482;-0.674917;
0.006320;0.999999;0.928271;0.608515;-0.770720;-0.681064;
0.006340;0.999999;0.931061;0.610024;-0.777866;-0.687243;
0.006360;0.999999;0.933596;0.611299;-0.784916;-0.693460;
0.006380;0.999999;0.935848;0.612331;-0.791864;-0.699722;
0.006400;0.999999;0.937795;0.613113;-0.798707;-0.706034;
0.006420;0.999999;0.939414;0.613640;-0.805439;-0.712400;
0.006440;0.999999;0.940690;0.613912;-0.812059;-0.718823;
0.006460;0.999999;0.941609;0.613930;-0.818564;-0.725307;
0.006480;0.999999;0.942164;0.613701;-0.824953;-0.731854;
0.006500;0.999999;0.942349;0.613232;-0.831224;-0.738463;
0.006520;0.999999;0.942164;0.612534;-0.837377;-0.745135;
0.006540;0.999999;0.941615;0.611621;-0.843413;-0.751869;
0.006560;0.999999;0.940709;0.610509;-0.849335;-0.758663;
0.006580;0.999999;0.939459;0.609216;-0.855142;-0.765514;
0.006600;0.999999;0.937883;0.607760;-0.860840;-0.772419;
0.006620;0.999999;0.935999;0.606164;-0.866430;-0.779372;
0.006640;0.999999;0.933834;0.604450;-0.871918;-0.786369;
0.006660;0.999999;0.931412;0.602641;-0.877308;-0.793403;
0.006680;0.999999;0.928766;0.600761;-0.882606;-0.800468;
0.006700;0.999999;0.925926;0.598835;-0.887818;-0.807556;
0.006720;0.999999;0.922928;0.596886;-0.892950;-0.814659;
0.006740;0.999999;0.919807;0.594939;-0.898009;-0.821768;
0.006760;0.999999;0.916602;0.593018;-0.903003;-0.828875;
0.006780;0.999999;0.913349;0.591146;-0.907939;-0.835970;
0.006800;0.999999;0.910088;0.589344;-0.912824;-0.843045;
0.006820;0.999999;0.906856;0.587636;-0.917668;-0.850088;
0.006840;0.999999;0.903691;0.586039;-0.922477;-0.857092;
0.006860;0.999999;0.900628;0.584574;-0.927261;-0.864046;
0.006880;0.999999;0.897702;0.583257;-0.932026;-0.870941;
0.006900;0.999999;0.894946;0.582104;-0.936782;-0.877768;
0.006920;0.999999;0.892390;0.581130;-0.941534;-0.884517;
0.006940;0.999999;0.890063;0.580346;-0.946292;-0.891181;
0.006960;0.999999;0.887990;0.579763;-0.951062;-0.897752;
0.006980;0.999999;0.886192;0.579389;-0.955850;-0.904221;
0.007000;0.999999;0.884688;0.579231;-0.960662;-0.910584;
0.007020;0.999999;0.883495;0.579292;-0.965505;-0.916832;
0.007040;0.999999;0.882625;0.579576;-0.970382;-0.922962;
0.007060;0.999999;0.882086;0.580082;-0.975299;-0.928969;
0.007080;0.999999;0.881885;0.580808;-0.980258;-0.934850;
0.007100;0.999999;0.882024;0.581748;-0.985263;-0.940601;
0.007120;0.999999;0.882501;0.582898;-0.990314;-0.946221;
0.007140;0.999999;0.883313;0.584246;-0.995415;-0.951710;
0.007160;0.999999;0.884453;0.585783;-1.000565;-0.957067;
0.007180;0.999999;0.885911;0.587494;-1.005763;-0.962295;
0.007200;0.999999;0.887672;0.589364;-1.011008;-0.967394;
0.007220;0.999999;0.889722;0.591376;-1.016298;-0.972368;
0.007240;0.999999;0.892043;0.593511;-1.021631;-0.977222;
0.007260;0.999999;0.894613;0.595746;-1.027001;-0.981959;
0.007280;0.999999;0.897409;0.598060;-1.032406;-0.986587;
0.007300;0.999999;0.900406;0.600429;-1.037840;-0.991110;
0.007320;0.999999;0.903578;0.602828;-1.043297;-0.995536;
0.007340;0.999999;0.906895;0.605233;-1.048769;-0.999874;
0.007360;0.999999;0.910328;0.607617;-1.054252;-1.004131;
0.007380;0.999999;0.913844;0.609954;-1.059736;-1.008316;
0.007400;0.999999;0.917412;0.612220;-1.065214;-1.012438;
0.007420;0.999999;0.920998;0.614390;-1.070677;-1.016507;
0.007440;0.999999;0.924569;0.616439;-1.076117;-1.020532;
0.007460;0.999999;0.928093;0.618347;-1.081526;-1.024524;
0.007480;0.999999;0.931534;0.620091;-1.086893;-1.028492;
0.007500;0.999999;0.934862;0.621655;-1.092211;-1.032445;
0.007520;0.999999;0.938045;0.623020;-1.097470;-1.036394;
0.007540;0.999999;0.941053;0.624174;-1.102661;-1.040347;
0.007560;0.999999;0.943857;0.625106;-1.107777;-1.044313;
0.007580;0.999999;0.946432;0.625806;-1.112809;-1.048301;
0.007600;0.999999;0.948754;0.626271;-1.117750;-1.052318;
0.007620;0.999999;0.950801;0.626498;-1.122591;-1.056371;
0.007640;0.999999;0.952555;0.626487;-1.127327;-1.060468;
0.007660;0.999999;0.954003;0.626242;-1.131951;-1.064613;
0.007680;0.999999;0.955132;0.625770;-1.136458;-1.068811;
0.007700;0.999999;0.955934;0.625081;-1.140843;-1.073066;
0.007720;0.999999;0.956407;0.624186;-1.145103;-1.077381;
0.007740;0.999999;0.956549;0.623099;-1.149235;-1.081758;
0.007760;0.999999;0.956364;0.621836;-1.153236;-1.086198;
0.007780;0.999999;0.955860;0.620416;-1.157106;-1.090701;
0.007800;0.999999;0.955047;0.618856;-1.160844;-1.095265;
0.007820;0.999999;0.953941;0.617178;-1.164451;-1.099889;
0.007840;0.999999;0.952559;0.615403;-1.167929;-1.104570;
0.007860;0.999999;0.950922;0.613551;-1.171279;-1.109303;
0.007880;0.999999;0.949054;0.611645;-1.174506;-1.114083;
0.007900;0.999999;0.946980;0.609705;-1.177613;-1.118904;
0.007920;0.999999;0.944729;0.607752;-1.180606;-1.123761;
0.007940;0.999999;0.942330;0.605807;-1.183491;-1.128644;
0.007960;0.999999;0.939813;0.603889;-1.186274;-1.133546;
0.007980;0.999999;0.937211;0.602014;-1.188962;-1.138458;
0.008000;0.999999;0.934554;0.600201;-1.191563;-1.143370;
0.008020;0.999999;0.931874;0.598464;-1.194085;-1.148273;
0.008040;0.999999;0.929200;0.596818;-1.196538;-1.153156;
0.008060;0.999999;0.926564;0.595274;-1.198929;-1.158009;
0.008080;0.999999;0.923991;0.593842;-1.201268;-1.162821;
0.008100;0.999999;0.921509;0.592533;-1.203565;-1.167581;
0.008120;0.999999;0.919142;0.591353;-1.205828;-1.172280;
0.008140;0.999999;0.916910;0.590308;-1.208067;-1.176906;
0.008160;0.999999;0.914834;0.589404;-1.210291;-1.181449;
0.008180;0.999999;0.912928;0.588642;-1.212508;-1.185899;
0.008200;0.999999;0.911208;0.588024;-1.214728;-1.190248;
0.008220;0.999999;0.909684;0.587551;-1.216957;-1.194485;
0.008240;0.999999;0.908363;0.587221;-1.219204;-1.198604;
0.008260;0.999999;0.907252;0.587033;-1.221475;-1.202596;
0.008280;0.999999;0.906354;0.586982;-1.223776;-1.206456;
0.008300;0.999999;0.905668;0.587065;-1.226112;-1.210176;
0.008320;0.999999;0.905194;0.587276;-1.228487;-1.213753;
0.008340;0.999999;0.904927;0.587609;-1.230905;-1.217183;
0.008360;0.999999;0.904862;0.588055;-1.233369;-1.220462;
0.008380;0.999999;0.904992;0.588607;-1.235879;-1.223589;
0.008400;0.999999;0.905308;0.589256;-1.238436;-1.226563;
0.008420;0.999999;0.905800;0.589991;-1.241040;-1.229385;
0.008440;0.999999;0.906456;0.590802;-1.243689;-1.232055;
0.008460;0.999999;0.907265;0.591677;-1.246380;-1.234577;
0.008480;0.999999;0.908213;0.592605;-1.249110;-1.236953;
0.008500;0.999999;0.909286;0.593573;-1.251874;-1.239188;
0.008520;0.999999;0.910469;0.594568;-1.254666;-1.241288;
0.008540;0.999999;0.911747;0.595578;-1.257480;-1.243259;
0.008560;0.999999;0.913104;0.596590;-1.260308;-1.245107;
0.008580;0.999999;0.914523;0.597590;-1.263143;-1.246840;
