time;LL_circuit_vLoadA;LL_circuit_vLoadB;LL_circuit_vLoadC;LL_circuit_iLineA;LL_circuit_iLineB;LL_circuit_iLineC;
0.001110;1.311132;-0.336036;-0.975095;0.655568;-0.168020;-0.487549;
0.001120;1.310551;-0.332180;-0.978371;0.655277;-0.166092;-0.489186;
0.001130;1.309934;-0.328308;-0.981626;0.654969;-0.164156;-0.490814;
0.001140;1.309281;-0.324419;-0.984862;0.654642;-0.162211;-0.492432;
0.001150;1.308594;-0.320515;-0.988079;0.654299;-0.160259;-0.494040;
0.001160;1.307873;-0.316596;-0.991277;0.653938;-0.158300;-0.495640;
0.001170;1.307120;-0.312662;-0.994457;0.653561;-0.156333;-0.497229;
0.001180;1.306334;-0.308715;-0.997618;0.653168;-0.154359;-0.498810;
0.001190;1.305517;-0.304754;-1.000762;0.652760;-0.152379;-0.500382;
0.001200;1.304669;-0.300780;-1.003889;0.652336;-0.150392;-0.501945;
0.001210;1.303792;-0.296793;-1.006998;0.651897;-0.148398;-0.503500;
0.001220;1.302885;-0.292795;-1.010090;0.651444;-0.146399;-0.505046;
0.001230;1.301950;-0.288784;-1.013166;0.650977;-0.144394;-0.506584;
0.001240;1.300987;-0.284763;-1.016225;0.650495;-0.142383;-0.508113;
0.001250;1.299997;-0.280730;-1.019267;0.650000;-0.140366;-0.509635;
0.001260;1.298981;-0.276686;-1.022294;0.649492;-0.138345;-0.511148;
0.001270;1.297938;-0.272633;-1.025305;0.648971;-0.136318;-0.512654;
0.001280;1.296870;-0.268569;-1.028300;0.648437;-0.134286;-0.514151;
0.001290;1.295777;-0.264496;-1.031280;0.647890;-0.132250;-0.515641;
0.001300;1.294659;-0.260414;-1.034245;0.647331;-0.130209;-0.517124;
0.001310;1.293518;-0.256323;-1.037195;0.646760;-0.128163;-0.518598;
0.001320;1.292352;-0.252223;-1.040129;0.646178;-0.126113;-0.520066;
0.001330;1.291164;-0.248114;-1.043049;0.645584;-0.124059;-0.521526;
0.001340;1.289953;-0.243998;-1.045955;0.644978;-0.122001;-0.522978;
0.001350;1.288720;-0.239874;-1.048846;0.644361;-0.119938;-0.524424;
0.001360;1.287465;-0.235742;-1.051723;0.643734;-0.117873;-0.525862;
0.001370;1.286188;-0.231603;-1.054585;0.643096;-0.115803;-0.527294;
0.001380;1.284891;-0.227457;-1.057433;0.642447;-0.113730;-0.528718;
0.001390;1.283572;-0.223304;-1.060268;0.641788;-0.111653;-0.530135;
0.001400;1.282233;-0.219144;-1.063089;0.641118;-0.109574;-0.531545;
0.001410;1.280874;-0.214978;-1.065896;0.640439;-0.107491;-0.532949;
0.001420;1.279495;-0.210806;-1.068689;0.639749;-0.105405;-0.534346;
0.001430;1.278097;-0.206628;-1.071469;0.639050;-0.103316;-0.535735;
