time;GEN_generator_omegaPu;GEN_generator_dtheta;GEN_generator_UStatorPu;GEN_generator_PGenPu;GEN_voltageRegulator_EfdPu;GEN_governor_PmPu;GEN_pss_VPssPu;
0.002340;1.000000;1.919776;0.914631;0.601978;1.016967;0.602725;-0.000001;
0.002360;1.000000;1.919776;0.914518;0.601898;1.028204;0.602725;-0.000001;
0.002380;1.000000;1.919776;0.914410;0.601823;1.039063;0.602725;-0.000001;
0.002400;1.000000;1.919776;0.914305;0.601753;1.049532;0.602725;-0.000001;
0.002420;1.000000;1.919776;0.914204;0.601687;1.059615;0.602725;-0.000001;
0.002440;1.000000;1.919776;0.914107;0.601625;1.069335;0.602725;-0.000001;
0.002460;1.000000;1.919776;0.914013;0.601567;1.078725;0.602725;-0.000001;
0.002480;1.000000;1.919776;0.913922;0.601513;1.087835;0.602725;-0.000001;
0.002500;1.000000;1.919776;0.913833;0.601463;1.096724;0.602725;-0.000001;
0.002520;1.000000;1.919776;0.913746;0.601415;1.105456;0.602725;-0.000001;
0.002540;1.000000;1.919776;0.913659;0.601369;1.114103;0.602725;-0.000001;
0.002560;1.000000;1.919776;0.913573;0.601326;1.122734;0.602725;-0.000001;
0.002580;1.000000;1.919776;0.913486;0.601284;1.131417;0.602725;-0.000001;
0.002600;1.000000;1.919776;0.913398;0.601243;1.140214;0.602725;-0.000001;
0.002620;1.000000;1.919776;0.913309;0.601203;1.149178;0.602725;-0.000001;
0.002640;1.000000;1.919776;0.913217;0.601164;1.158349;0.602725;-0.000001;
0.002660;1.000000;1.919776;0.913123;0.601125;1.167754;0.602725;-0.000001;
0.002680;1.000000;1.919776;0.913026;0.601088;1.177402;0.602725;-0.000001;
0.002700;1.000000;1.919776;0.912928;0.601050;1.187283;0.602725;-0.000001;
0.002720;1.000000;1.919776;0.912827;0.601014;1.197369;0.602725;-0.000001;
0.002740;1.000000;1.919776;0.912725;0.600979;1.207612;0.602725;-0.000001;
0.002760;1.000000;1.919776;0.912621;0.600946;1.217944;0.602725;-0.000001;
0.002780;1.000000;1.919776;0.912518;0.600916;1.228278;0.602725;-0.000001;
0.002800;1.000000;1.919776;0.912416;0.600888;1.238508;0.602725;-0.000001;
0.002820;1.000000;1.919776;0.912316;0.600865;1.248516;0.602725;-0.000001;
0.002840;1.000000;1.919776;0.912219;0.600845;1.258168;0.602725;-0.000001;
0.002860;1.000000;1.919776;0.912128;0.600832;1.267323;0.602725;-0.000001;
0.002880;1.000000;1.919776;0.912043;0.600824;1.275831;0.602725;-0.000001;
0.002900;1.000000;1.919776;0.911966;0.600824;1.283540;0.602725;-0.000001;
0.002920;1.000000;1.919776;0.911898;0.600832;1.290300;0.602725;-0.000001;
0.002940;1.000000;1.919776;0.911842;0.600848;1.295967;0.602725;-0.000001;
0.002960;1.000000;1.919776;0.911797;0.600874;1.300404;0.602725;-0.000001;
0.002980;1.000000;1.919776;0.911767;0.600909;1.303487;0.602725;-0.000001;
0.003000;1.000000;1.919776;0.911751;0.600954;1.305111;0.602725;-0.000001;
0.003020;1.000000;1.919776;0.911750;0.601010;1.305187;0.602725;-0.000001;
0.003040;1.000000;1.919776;0.911765;0.601077;1.303652;0.602725;-0.000001;
0.003060;1.000000;1.919776;0.911797;0.601154;1.300464;0.602725;-0.000001;
0.003080;1.000000;1.919776;0.911846;0.601241;1.295609;0.602725;-0.000001;
0.003100;1.000000;1.919776;0.911911;0.601338;1.289099;0.602726;-0.000001;
0.003120;1.000000;1.919776;0.911992;0.601444;1.280973;0.602726;-0.000001;
0.003140;1.000000;1.919776;0.912089;0.601558;1.271296;0.602726;-0.000001;
0.003160;1.000000;1.919776;0.912201;0.601680;1.260159;0.602726;-0.000001;
0.003180;1.000000;1.919776;0.912326;0.601808;1.247676;0.602726;-0.000001;
0.003200;1.000000;1.919776;0.912463;0.601941;1.233982;0.602726;-0.000001;
0.003220;1.000000;1.919776;0.912610;0.602079;1.219229;0.602726;-0.000001;
0.003240;1.000000;1.919776;0.912767;0.602219;1.203583;0.602726;-0.000001;
0.003260;1.000000;1.919776;0.912930;0.602360;1.187222;0.602726;-0.000001;
0.003280;1.000000;1.919776;0.913099;0.602502;1.170328;0.602726;-0.000001;
0.003300;1.000000;1.919776;0.913272;0.602642;1.153086;0.602726;-0.000001;
0.003320;1.000000;1.919776;0.913446;0.602779;1.135679;0.602726;-0.000001;
0.003340;1.000000;1.919776;0.913620;0.602913;1.118282;0.602726;-0.000001;
0.003360;1.000000;1.919776;0.913792;0.603042;1.101061;0.602726;-0.000001;
0.003380;1.000000;1.919776;0.913961;0.603165;1.084168;0.602726;-0.000001;
0.003400;1.000000;1.919776;0.914125;0.603282;1.067735;0.602726;-0.000001;
0.003420;1.000000;1.919776;0.914284;0.603391;1.051876;0.602726;-0.000001;
0.003440;1.000000;1.919776;0.914436;0.603493;1.036684;0.602726;-0.000001;
0.003460;1.000000;1.919776;0.914580;0.603587;1.022226;0.602726;-0.000001;
0.003480;1.000000;1.919776;0.914717;0.603672;1.008545;0.602727;-0.000001;
0.003500;1.000000;1.919776;0.914846;0.603750;0.995664;0.602727;-0.000001;
0.003520;1.000000;1.919776;0.914967;0.603819;0.983577;0.602727;-0.000001;
0.003540;1.000000;1.919776;0.915080;0.603881;0.972261;0.602727;-0.000001;
0.003560;1.000000;1.919776;0.915186;0.603936;0.961670;0.602727;-0.000001;
0.003580;1.000000;1.919776;0.915285;0.603984;0.951744;0.602727;-0.000001;
0.003600;1.000000;1.919776;0.915378;0.604026;0.942407;0.602727;-0.000001;
0.003620;1.000000;1.919776;0.915467;0.604062;0.933573;0.602727;-0.000001;
0.003640;1.000000;1.919776;0.915551;0.604094;0.925152;0.602727;-0.000001;
0.003660;1.000000;1.919776;0.915632;0.604121;0.917049;0.602727;-0.000001;
0.003680;1.000000;1.919776;0.915710;0.604146;0.909173;0.602727;-0.000001;
0.003700;1.000000;1.919776;0.915788;0.604167;0.901438;0.602727;-0.000001;
0.003720;1.000000;1.919776;0.915864;0.604186;0.893768;0.602727;-0.000001;
0.003740;1.000000;1.919776;0.915941;0.604204;0.886099;0.602727;-0.000001;
0.003760;1.000000;1.919776;0.916018;0.604219;0.878386;0.602727;-0.000001;
0.003780;1.000000;1.919776;0.916096;0.604233;0.870599;0.602727;-0.000001;
0.003800;1.000000;1.919776;0.916174;0.604246;0.862732;0.602727;-0.000001;
0.003820;1.000000;1.919776;0.916253;0.604257;0.854799;0.602727;-0.000002;
0.003840;1.000000;1.919776;0.916333;0.604267;0.846837;0.602727;-0.000002;
0.003860;1.000000;1.919776;0.916412;0.604274;0.838905;0.602728;-0.000002;
0.003880;1.000000;1.919776;0.916490;0.604279;0.831083;0.602728;-0.000002;
0.003900;1.000000;1.919776;0.916566;0.604280;0.823471;0.602728;-0.000002;
0.003920;1.000000;1.919776;0.916639;0.604277;0.816185;0.602728;-0.000002;
0.003940;1.000000;1.919776;0.916707;0.604270;0.809357;0.602728;-0.000002;
0.003960;1.000000;1.919776;0.916769;0.604257;0.803129;0.602728;-0.000002;
0.003980;1.000000;1.919776;0.916824;0.604237;0.797648;0.602728;-0.000002;
0.004000;1.000000;1.919776;0.916870;0.604210;0.793067;0.602728;-0.000002;
0.004020;1.000000;1.919776;0.916905;0.604176;0.789536;0.602728;-0.000002;
0.004040;1.000000;1.919776;0.916928;0.604132;0.787198;0.602728;-0.000002;
0.004060;1.000000;1.919776;0.916938;0.604080;0.786185;0.602728;-0.000002;
0.004080;1.000000;1.919776;0.916934;0.604018;0.786618;0.602728;-0.000002;
0.004100;1.000000;1.919776;0.916914;0.603945;0.788596;0.602728;-0.000002;
0.004120;1.000000;1.919776;0.916878;0.603863;0.792197;0.602728;-0.000002;
0.004140;1.000000;1.919776;0.916825;0.603771;0.797475;0.602728;-0.000002;
0.004160;1.000000;1.919776;0.916755;0.603668;0.804458;0.602728;-0.000002;
0.004180;1.000000;1.919776;0.916668;0.603556;0.813143;0.602728;-0.000002;
0.004200;1.000000;1.919776;0.916564;0.603436;0.823501;0.602728;-0.000002;
0.004220;1.000000;1.919776;0.916444;0.603307;0.835472;0.602728;-0.000002;
0.004240;1.000000;1.919776;0.916309;0.603171;0.848967;0.602728;-0.000002;
0.004260;1.000000;1.919776;0.916160;0.603029;0.863872;0.602728;-0.000002;
0.004280;1.000000;1.919776;0.915998;0.602882;0.880048;0.602728;-0.000002;
0.004300;1.000000;1.919776;0.915825;0.602731;0.897333;0.602728;-0.000002;
0.004320;1.000000;1.919776;0.915643;0.602578;0.915549;0.602728;-0.000002;
0.004340;1.000000;1.919776;0.915453;0.602425;0.934502;0.602728;-0.000002;
0.004360;1.000000;1.919776;0.915259;0.602272;0.953990;0.602728;-0.000002;
0.004380;1.000000;1.919776;0.915060;0.602122;0.973804;0.602728;-0.000002;
0.004400;1.000000;1.919776;0.914861;0.601975;0.993735;0.602728;-0.000002;
0.004420;1.000000;1.919776;0.914662;0.601834;1.013578;0.602728;-0.000002;
0.004440;1.000000;1.919776;0.914467;0.601699;1.033138;0.602728;-0.000002;
0.004460;1.000000;1.919776;0.914276;0.601571;1.052230;0.602728;-0.000002;
0.004480;1.000000;1.919776;0.914091;0.601451;1.070690;0.602728;-0.000002;
0.004500;1.000000;1.919776;0.913914;0.601341;1.088370;0.602728;-0.000002;
0.004520;1.000000;1.919776;0.913747;0.601241;1.105146;0.602728;-0.000002;
0.004540;1.000000;1.919776;0.913589;0.601151;1.120922;0.602728;-0.000002;
0.004560;1.000000;1.919776;0.913442;0.601071;1.135624;0.602728;-0.000002;
