time;SM_circuit_vTermA;SM_circuit_vTermB;SM_circuit_vTermC;SM_circuit_iStatorA;SM_circuit_iStatorB;SM_circuit_iStatorC;SM_circuit_Wr;SM_circuit_Te;
0.001410;0.027679;-0.629936;0.602256;-0.117296;0.062434;0.054862;0.999997;0.064519;
0.001420;0.028242;-0.629620;0.601378;-0.118800;0.063098;0.055703;0.999997;0.065551;
0.001430;0.028811;-0.629308;0.600497;-0.120311;0.063761;0.056550;0.999997;0.066591;
0.001440;0.029387;-0.628999;0.599612;-0.121829;0.064425;0.057404;0.999997;0.067640;
0.001450;0.029970;-0.628694;0.598723;-0.123352;0.065088;0.058264;0.999997;0.068697;
0.001460;0.030561;-0.628392;0.597832;-0.124882;0.065752;0.059130;0.999997;0.069763;
0.001470;0.031158;-0.628095;0.596936;-0.126417;0.066415;0.060002;0.999997;0.070838;
0.001480;0.031763;-0.627800;0.596038;-0.127959;0.067079;0.060880;0.999997;0.071921;
0.001490;0.032374;-0.627510;0.595135;-0.129507;0.067742;0.061765;0.999997;0.073012;
0.001500;0.032993;-0.627223;0.594230;-0.131060;0.068405;0.062656;0.999997;0.074113;
0.001510;0.033619;-0.626939;0.593320;-0.132620;0.069067;0.063553;0.999997;0.075221;
0.001520;0.034252;-0.626659;0.592408;-0.134185;0.069729;0.064455;0.999996;0.076339;
0.001530;0.034892;-0.626383;0.591491;-0.135755;0.070391;0.065365;0.999996;0.077465;
0.001540;0.035540;-0.626111;0.590571;-0.137332;0.071052;0.066280;0.999996;0.078599;
0.001550;0.036194;-0.625842;0.589647;-0.138914;0.071713;0.067201;0.999996;0.079741;
0.001560;0.036856;-0.625576;0.588720;-0.140501;0.072373;0.068128;0.999996;0.080893;
0.001570;0.037526;-0.625314;0.587788;-0.142093;0.073032;0.069061;0.999996;0.082052;
0.001580;0.038202;-0.625056;0.586853;-0.143691;0.073691;0.070000;0.999996;0.083220;
0.001590;0.038886;-0.624801;0.585915;-0.145295;0.074349;0.070945;0.999996;0.084397;
0.001600;0.039578;-0.624550;0.584972;-0.146903;0.075007;0.071896;0.999996;0.085581;
0.001610;0.040276;-0.624302;0.584026;-0.148516;0.075663;0.072853;0.999996;0.086775;
0.001620;0.040982;-0.624058;0.583075;-0.150135;0.076319;0.073816;0.999996;0.087976;
0.001630;0.041696;-0.623817;0.582121;-0.151758;0.076974;0.074784;0.999996;0.089186;
0.001640;0.042416;-0.623580;0.581163;-0.153386;0.077628;0.075758;0.999995;0.090404;
0.001650;0.043145;-0.623346;0.580201;-0.155019;0.078280;0.076738;0.999995;0.091630;
0.001660;0.043880;-0.623116;0.579236;-0.156656;0.078932;0.077724;0.999995;0.092865;
0.001670;0.044623;-0.622889;0.578266;-0.158299;0.079583;0.078716;0.999995;0.094108;
0.001680;0.045374;-0.622666;0.577292;-0.159946;0.080232;0.079713;0.999995;0.095359;
0.001690;0.046132;-0.622446;0.576314;-0.161597;0.080881;0.080716;0.999995;0.096618;
0.001700;0.046898;-0.622230;0.575332;-0.163253;0.081528;0.081725;0.999995;0.097885;
0.001710;0.047671;-0.622017;0.574346;-0.164913;0.082174;0.082739;0.999995;0.099161;
0.001720;0.048452;-0.621807;0.573356;-0.166577;0.082818;0.083759;0.999995;0.100445;
0.001730;0.049240;-0.621601;0.572362;-0.168245;0.083461;0.084784;0.999995;0.101736;
0.001740;0.050035;-0.621399;0.571363;-0.169918;0.084103;0.085815;0.999994;0.103036;
0.001750;0.050839;-0.621200;0.570361;-0.171595;0.084743;0.086851;0.999994;0.104344;
0.001760;0.051650;-0.621004;0.569354;-0.173275;0.085382;0.087893;0.999994;0.105660;
0.001770;0.052468;-0.620811;0.568343;-0.174960;0.086019;0.088940;0.999994;0.106984;
0.001780;0.053294;-0.620622;0.567328;-0.176648;0.086655;0.089993;0.999994;0.108315;
0.001790;0.054128;-0.620437;0.566309;-0.178340;0.087289;0.091051;0.999994;0.109655;
0.001800;0.054970;-0.620254;0.565285;-0.180036;0.087922;0.092114;0.999994;0.111003;
0.001810;0.055819;-0.620075;0.564257;-0.181736;0.088552;0.093183;0.999994;0.112358;
0.001820;0.056675;-0.619900;0.563225;-0.183438;0.089181;0.094257;0.999994;0.113722;
0.001830;0.057540;-0.619727;0.562188;-0.185145;0.089808;0.095336;0.999993;0.115093;
0.001840;0.058412;-0.619558;0.561147;-0.186855;0.090434;0.096421;0.999993;0.116472;
0.001850;0.059291;-0.619393;0.560101;-0.188568;0.091057;0.097511;0.999993;0.117859;
0.001860;0.060179;-0.619230;0.559051;-0.190284;0.091679;0.098605;0.999993;0.119253;
0.001870;0.061074;-0.619071;0.557997;-0.192004;0.092299;0.099705;0.999993;0.120655;
0.001880;0.061977;-0.618915;0.556938;-0.193727;0.092916;0.100810;0.999993;0.122065;
0.001890;0.062887;-0.618762;0.555875;-0.195452;0.093532;0.101920;0.999993;0.123482;
0.001900;0.063805;-0.618613;0.554807;-0.197181;0.094146;0.103035;0.999993;0.124908;
0.001910;0.064731;-0.618467;0.553735;-0.198913;0.094757;0.104155;0.999993;0.126340;
0.001920;0.065665;-0.618323;0.552658;-0.200647;0.095367;0.105280;0.999992;0.127780;
0.001930;0.066607;-0.618184;0.551577;-0.202384;0.095974;0.106410;0.999992;0.129228;
0.001940;0.067556;-0.618047;0.550491;-0.204124;0.096579;0.107545;0.999992;0.130683;
0.001950;0.068513;-0.617913;0.549401;-0.205867;0.097182;0.108685;0.999992;0.132146;
0.001960;0.069477;-0.617783;0.548305;-0.207612;0.097782;0.109829;0.999992;0.133616;
0.001970;0.070450;-0.617655;0.547206;-0.209359;0.098380;0.110979;0.999992;0.135094;
0.001980;0.071430;-0.617531;0.546101;-0.211109;0.098976;0.112133;0.999992;0.136578;
0.001990;0.072418;-0.617410;0.544992;-0.212861;0.099570;0.113291;0.999991;0.138070;
0.002000;0.073414;-0.617292;0.543878;-0.214616;0.100161;0.114455;0.999991;0.139570;
0.002010;0.074417;-0.617177;0.542760;-0.216372;0.100750;0.115623;0.999991;0.141076;
0.002020;0.075429;-0.617065;0.541637;-0.218131;0.101336;0.116795;0.999991;0.142590;
0.002030;0.076448;-0.616956;0.540509;-0.219892;0.101919;0.117973;0.999991;0.144111;
0.002040;0.077475;-0.616851;0.539376;-0.221655;0.102501;0.119154;0.999991;0.145639;
0.002050;0.078509;-0.616748;0.538238;-0.223420;0.103079;0.120341;0.999991;0.147174;
0.002060;0.079552;-0.616648;0.537096;-0.225186;0.103655;0.121531;0.999990;0.148717;
0.002070;0.080602;-0.616551;0.535949;-0.226955;0.104228;0.122726;0.999990;0.150266;
0.002080;0.081660;-0.616457;0.534797;-0.228725;0.104799;0.123926;0.999990;0.151822;
0.002090;0.082726;-0.616366;0.533640;-0.230497;0.105367;0.125130;0.999990;0.153386;
0.002100;0.083800;-0.616278;0.532478;-0.232270;0.105932;0.126338;0.999990;0.154956;
0.002110;0.084881;-0.616193;0.531311;-0.234045;0.106495;0.127550;0.999990;0.156533;
0.002120;0.085970;-0.616110;0.530140;-0.235821;0.107054;0.128767;0.999990;0.158117;
0.002130;0.087067;-0.616031;0.528964;-0.237599;0.107611;0.129988;0.999989;0.159707;
