time;EmtFlt_circuit_iSrcA;EmtFlt_circuit_iSrcB;EmtFlt_circuit_iSrcC;EmtFlt_circuit_iFaultA;EmtFlt_circuit_vBusA;EmtFlt_circuit_vBusB;EmtFlt_circuit_vBusC;
0.000800;0.664986;-0.220112;-0.444874;0.000001;1.329969;-0.440223;-0.889746;
0.000810;0.665146;-0.218383;-0.446762;0.000001;1.330289;-0.436766;-0.893523;
0.000820;0.665270;-0.216637;-0.448634;0.000001;1.330538;-0.433272;-0.897266;
0.000830;0.665362;-0.214873;-0.450489;0.000001;1.330720;-0.429745;-0.900976;
0.000840;0.665420;-0.213093;-0.452328;0.000001;1.330838;-0.426184;-0.904654;
0.000850;0.665448;-0.211297;-0.454151;0.000001;1.330893;-0.422592;-0.908301;
0.000860;0.665446;-0.209486;-0.455960;0.000001;1.330889;-0.418971;-0.911919;
0.000870;0.665415;-0.207660;-0.457755;0.000001;1.330828;-0.415320;-0.915508;
0.000880;0.665357;-0.205822;-0.459535;0.000001;1.330712;-0.411642;-0.919069;
0.000890;0.665272;-0.203970;-0.461303;0.000001;1.330542;-0.407939;-0.922604;
0.000900;0.665162;-0.202105;-0.463057;0.000001;1.330322;-0.404210;-0.926112;
0.000910;0.665027;-0.200229;-0.464799;0.000001;1.330052;-0.400457;-0.929595;
0.000920;0.664869;-0.198341;-0.466528;0.000001;1.329735;-0.396681;-0.933054;
0.000930;0.664688;-0.196442;-0.468246;0.000001;1.329373;-0.392883;-0.936490;
0.000940;0.664485;-0.194533;-0.469952;0.000001;1.328967;-0.389065;-0.939902;
0.000950;0.664260;-0.192613;-0.471647;0.000001;1.328518;-0.385226;-0.943292;
0.000960;0.664016;-0.190684;-0.473331;0.000001;1.328028;-0.381368;-0.946660;
0.000970;0.663751;-0.188746;-0.475005;0.000001;1.327499;-0.377492;-0.950007;
0.000980;0.663467;-0.186799;-0.476668;0.000001;1.326932;-0.373598;-0.953334;
0.000990;0.663165;-0.184844;-0.478321;0.000001;1.326327;-0.369687;-0.956641;
0.001000;0.662845;-0.182880;-0.479965;0.000001;1.325687;-0.365760;-0.959928;
0.001010;0.662508;-0.180909;-0.481599;0.000001;1.325013;-0.361817;-0.963195;
0.001020;0.662153;-0.178930;-0.483223;0.000001;1.324304;-0.357860;-0.966445;
0.001030;0.661783;-0.176944;-0.484839;0.000001;1.323564;-0.353888;-0.969676;
0.001040;0.661397;-0.174951;-0.486446;0.000001;1.322791;-0.349902;-0.972889;
0.001050;0.660995;-0.172952;-0.488044;0.000001;1.321988;-0.345903;-0.976085;
0.001060;0.660579;-0.170946;-0.489633;0.000001;1.321156;-0.341892;-0.979264;
0.001070;0.660148;-0.168934;-0.491214;0.000001;1.320294;-0.337868;-0.982426;
0.001080;0.659704;-0.166917;-0.492787;0.000001;1.319405;-0.333833;-0.985572;
0.001090;0.659245;-0.164893;-0.494352;0.000001;1.318488;-0.329786;-0.988701;
0.001100;0.658773;-0.162865;-0.495909;0.000001;1.317544;-0.325729;-0.991815;
0.001110;0.658289;-0.160831;-0.497458;0.000001;1.316575;-0.321661;-0.994914;
0.001120;0.657791;-0.158792;-0.498999;0.000001;1.315580;-0.317584;-0.997997;
0.001130;0.657282;-0.156748;-0.500533;0.000001;1.314561;-0.313496;-1.001065;
0.001140;0.656760;-0.154700;-0.502060;0.000001;1.313518;-0.309400;-1.004118;
0.001150;0.656227;-0.152648;-0.503579;0.000001;1.312451;-0.305295;-1.007156;
0.001160;0.655682;-0.150591;-0.505091;0.000001;1.311361;-0.301181;-1.010180;
0.001170;0.655126;-0.148530;-0.506596;0.000001;1.310249;-0.297059;-1.013190;
0.001180;0.654559;-0.146465;-0.508094;0.000001;1.309115;-0.292928;-1.016186;
0.001190;0.653981;-0.144396;-0.509585;0.000001;1.307959;-0.288791;-1.019169;
0.001200;0.653393;-0.142323;-0.511070;0.000001;1.306783;-0.284646;-1.022137;
0.001210;0.652794;-0.140247;-0.512547;0.000001;1.305585;-0.280494;-1.025092;
0.001220;0.652185;-0.138168;-0.514018;0.000001;1.304368;-0.276335;-1.028033;
0.001230;0.651567;-0.136085;-0.515482;0.000001;1.303131;-0.272169;-1.030962;
0.001240;0.650938;-0.133999;-0.516939;0.000001;1.301874;-0.267997;-1.033877;
0.001250;0.650300;-0.131910;-0.518391;0.000001;1.300598;-0.263819;-1.036779;
0.001260;0.649653;-0.129818;-0.519835;0.000001;1.299303;-0.259635;-1.039668;
0.001270;0.648996;-0.127723;-0.521273;0.000001;1.297990;-0.255445;-1.042545;
0.001280;0.648331;-0.125625;-0.522705;0.000001;1.296659;-0.251250;-1.045409;
0.001290;0.647656;-0.123525;-0.524131;0.000001;1.295309;-0.247050;-1.048260;
0.001300;0.646972;-0.121422;-0.525550;0.000001;1.293942;-0.242844;-1.051098;
0.001310;0.646280;-0.119317;-0.526963;0.000001;1.292558;-0.238633;-1.053925;
0.001320;0.645579;-0.117209;-0.528370;0.000001;1.291156;-0.234418;-1.056738;
0.001330;0.644870;-0.115099;-0.529771;0.000001;1.289738;-0.230198;-1.059540;
0.001340;0.644153;-0.112987;-0.531166;0.000001;1.288303;-0.225973;-1.062329;
0.001350;0.643427;-0.110872;-0.532554;0.000001;1.286851;-0.221744;-1.065106;
0.001360;0.642693;-0.108756;-0.533937;0.000001;1.285383;-0.217511;-1.067872;
0.001370;0.641951;-0.106637;-0.535313;0.000001;1.283899;-0.213274;-1.070625;
0.001380;0.641201;-0.104517;-0.536684;0.000001;1.282399;-0.209033;-1.073366;
0.001390;0.640443;-0.102395;-0.538048;0.000001;1.280883;-0.204789;-1.076095;
0.001400;0.639677;-0.100270;-0.539407;0.000001;1.279352;-0.200540;-1.078812;
0.001410;0.638904;-0.098144;-0.540760;0.000001;1.277805;-0.196288;-1.081517;
0.001420;0.638123;-0.096017;-0.542106;0.000001;1.276244;-0.192033;-1.084210;
0.001430;0.637335;-0.093888;-0.543447;0.000001;1.274667;-0.187775;-1.086892;
0.001440;0.636539;-0.091757;-0.544782;0.000001;1.273075;-0.183513;-1.089562;
0.001450;0.635735;-0.089624;-0.546111;0.000001;1.271468;-0.179248;-1.092220;
0.001460;0.634925;-0.087490;-0.547434;0.000001;1.269847;-0.174980;-1.094866;
0.001470;0.634107;-0.085355;-0.548751;0.000001;1.268211;-0.170710;-1.097501;
0.001480;0.633281;-0.083218;-0.550063;0.000001;1.266560;-0.166436;-1.100124;
0.001490;0.632449;-0.081080;-0.551369;0.000001;1.264895;-0.162160;-1.102735;
0.001500;0.631609;-0.078941;-0.552668;0.000001;1.263216;-0.157882;-1.105334;
0.001510;0.630763;-0.076801;-0.553962;0.000001;1.261523;-0.153601;-1.107922;
0.001520;0.629909;-0.074659;-0.555250;0.000001;1.259816;-0.149317;-1.110499;
0.001530;0.629049;-0.072516;-0.556533;0.000001;1.258095;-0.145032;-1.113063;
0.001540;0.628181;-0.070372;-0.557809;0.000001;1.256360;-0.140744;-1.115616;
0.001550;0.627307;-0.068227;-0.559080;0.000001;1.254611;-0.136453;-1.118158;
0.001560;0.626426;-0.066081;-0.560345;0.000001;1.252849;-0.132161;-1.120687;
0.001570;0.625538;-0.063934;-0.561604;0.000001;1.251073;-0.127867;-1.123206;
0.001580;0.624643;-0.061786;-0.562857;0.000001;1.249283;-0.123571;-1.125712;
0.001590;0.623741;-0.059637;-0.564105;0.000001;1.247480;-0.119273;-1.128207;
0.001600;0.622833;-0.057487;-0.565346;0.000001;1.245664;-0.114974;-1.130691;
0.001610;0.621919;-0.055336;-0.566582;0.000001;1.243835;-0.110672;-1.133162;
0.001620;0.620997;-0.053185;-0.567812;0.000001;1.241992;-0.106369;-1.135623;
0.001630;0.620069;-0.051032;-0.569037;0.000001;1.240136;-0.102065;-1.138071;
0.001640;0.619135;-0.048879;-0.570255;0.000001;1.238267;-0.097759;-1.140508;
0.001650;0.618194;-0.046726;-0.571468;0.000001;1.236385;-0.093451;-1.142933;
0.001660;0.617246;-0.044571;-0.572675;0.000001;1.234490;-0.089143;-1.145347;
0.001670;0.616292;-0.042416;-0.573876;0.000001;1.232582;-0.084833;-1.147749;
0.001680;0.615332;-0.040261;-0.575071;0.000001;1.230661;-0.080521;-1.150140;
0.001690;0.614365;-0.038105;-0.576260;0.000001;1.228727;-0.076209;-1.152519;
0.001700;0.613392;-0.035948;-0.577444;0.000001;1.226781;-0.071895;-1.154886;
0.001710;0.612412;-0.033790;-0.578622;0.000001;1.224822;-0.067581;-1.157241;
0.001720;0.611426;-0.031633;-0.579794;0.000001;1.222850;-0.063265;-1.159585;
0.001730;0.610434;-0.029474;-0.580960;0.000001;1.220866;-0.058949;-1.161917;
0.001740;0.609436;-0.027316;-0.582120;0.000001;1.218869;-0.054632;-1.164238;
0.001750;0.608431;-0.025157;-0.583274;0.000001;1.216860;-0.050313;-1.166546;
0.001760;0.607420;-0.022997;-0.584423;0.000001;1.214838;-0.045995;-1.168843;
0.001770;0.606403;-0.020838;-0.585565;0.000001;1.212804;-0.041675;-1.171129;
0.001780;0.605380;-0.018677;-0.586702;0.000001;1.210757;-0.037355;-1.173402;
0.001790;0.604350;-0.016517;-0.587833;0.000001;1.208698;-0.033034;-1.175664;
0.001800;0.603314;-0.014356;-0.588958;0.000001;1.206627;-0.028713;-1.177914;
0.001810;0.602273;-0.012195;-0.590077;0.000001;1.204543;-0.024391;-1.180152;
0.001820;0.601225;-0.010034;-0.591191;0.000001;1.202447;-0.020068;-1.182379;
0.001830;0.600171;-0.007873;-0.592298;0.000001;1.200339;-0.015746;-1.184593;
0.001840;0.599111;-0.005711;-0.593399;0.000001;1.198219;-0.011423;-1.186796;
0.001850;0.598045;-0.003550;-0.594495;0.000001;1.196087;-0.007100;-1.188987;
0.001860;0.596972;-0.001388;-0.595584;0.000001;1.193942;-0.002776;-1.191166;
0.001870;0.595894;0.000774;-0.596668;0.000001;1.191786;0.001547;-1.193333;
0.001880;0.594810;0.002936;-0.597746;0.000001;1.189618;0.005871;-1.195489;
0.001890;0.593720;0.005097;-0.598817;0.000001;1.187437;0.010195;-1.197632;
0.001900;0.592624;0.007259;-0.599883;0.000001;1.185245;0.014519;-1.199764;
0.001910;0.591521;0.009421;-0.600943;0.000001;1.183041;0.018843;-1.201883;
0.001920;0.590413;0.011583;-0.601997;0.000001;1.180824;0.023166;-1.203991;
0.001930;0.589299;0.013745;-0.603044;0.000001;1.178596;0.027490;-1.206086;
0.001940;0.588179;0.015907;-0.604086;0.000001;1.176357;0.031813;-1.208170;
0.001950;0.587054;0.018068;-0.605122;0.000001;1.174105;0.036137;-1.210242;
0.001960;0.585922;0.020230;-0.606152;0.000001;1.171842;0.040460;-1.212301;
0.001970;0.584785;0.022391;-0.607176;0.000001;1.169567;0.044782;-1.214349;
0.001980;0.583641;0.024552;-0.608193;0.000001;1.167280;0.049105;-1.216385;
0.001990;0.582492;0.026713;-0.609205;0.000001;1.164982;0.053426;-1.218408;
0.002000;0.581337;0.028874;-0.610211;0.000001;1.162671;0.057748;-1.220419;
0.002010;0.580176;0.031034;-0.611211;0.000001;1.160350;0.062069;-1.222419;
0.002020;0.579009;0.033195;-0.612204;0.000001;1.158017;0.066389;-1.224406;
0.002030;0.577837;0.035355;-0.613192;0.000001;1.155672;0.070709;-1.226381;
0.002040;0.576659;0.037514;-0.614173;0.000001;1.153316;0.075028;-1.228344;
0.002050;0.575475;0.039673;-0.615149;0.000001;1.150948;0.079347;-1.230295;
0.002060;0.574285;0.041832;-0.616118;0.000001;1.148569;0.083664;-1.232233;
0.002070;0.573090;0.043991;-0.617081;0.000001;1.146178;0.087981;-1.234159;
0.002080;0.571889;0.046149;-0.618038;0.000001;1.143776;0.092298;-1.236074;
0.002090;0.570682;0.048307;-0.618989;0.000001;1.141362;0.096613;-1.237975;
0.002100;0.569470;0.050464;-0.619934;0.000001;1.138938;0.100927;-1.239865;
0.002110;0.568252;0.052620;-0.620872;0.000001;1.136502;0.105241;-1.241742;
0.002120;0.567028;0.054777;-0.621805;0.000001;1.134054;0.109553;-1.243607;
0.002130;0.565799;0.056932;-0.622731;0.000001;1.131596;0.113865;-1.245460;
0.002140;0.564564;0.059088;-0.623652;0.000001;1.129126;0.118175;-1.247301;
0.002150;0.563323;0.061242;-0.624566;0.000001;1.126645;0.122484;-1.249129;
0.002160;0.562077;0.063396;-0.625473;0.000001;1.124152;0.126792;-1.250944;
0.002170;0.560826;0.065550;-0.626375;0.000001;1.121649;0.131099;-1.252748;
0.002180;0.559568;0.067702;-0.627271;0.000001;1.119134;0.135404;-1.254539;
0.002190;0.558306;0.069854;-0.628160;0.000001;1.116609;0.139709;-1.256317;
0.002200;0.557037;0.072006;-0.629043;0.000001;1.114072;0.144011;-1.258084;
0.002210;0.555763;0.074157;-0.629920;0.000001;1.111524;0.148313;-1.259837;
0.002220;0.554484;0.076307;-0.630791;0.000001;1.108966;0.152613;-1.261579;
0.002230;0.553199;0.078456;-0.631655;0.000001;1.106396;0.156911;-1.263307;
0.002240;0.551909;0.080604;-0.632513;0.000001;1.103815;0.161208;-1.265024;
0.002250;0.550613;0.082752;-0.633365;0.000001;1.101224;0.165504;-1.266727;
0.002260;0.549312;0.084899;-0.634211;0.000001;1.098621;0.169798;-1.268419;
0.002270;0.548005;0.087045;-0.635050;0.000001;1.096008;0.174090;-1.270098;
0.002280;0.546693;0.089190;-0.635883;0.000001;1.093383;0.178380;-1.271764;
0.002290;0.545375;0.091335;-0.636710;0.000001;1.090748;0.182669;-1.273417;
0.002300;0.544052;0.093478;-0.637530;0.000001;1.088102;0.186956;-1.275058;
0.002310;0.542724;0.095621;-0.638345;0.000001;1.085446;0.191241;-1.276687;
0.002320;0.541390;0.097762;-0.639153;0.000001;1.082778;0.195524;-1.278303;
0.002330;0.540051;0.099903;-0.639954;0.000001;1.080100;0.199806;-1.279906;
0.002340;0.538707;0.102043;-0.640750;0.000001;1.077412;0.204085;-1.281497;
0.002350;0.537357;0.104181;-0.641539;0.000001;1.074712;0.208362;-1.283074;
0.002360;0.536002;0.106319;-0.642321;0.000001;1.072002;0.212638;-1.284640;
0.002370;0.534642;0.108456;-0.643097;0.000001;1.069281;0.216911;-1.286192;
0.002380;0.533276;0.110591;-0.643867;0.000001;1.066550;0.221182;-1.287732;
