time;NETWORK__BUS____1_TN_Urms;NETWORK__BUS____4_TN_Urms;NETWORK__BUS____9_TN_Urms;NETWORK__BUS___14_TN_Urms;GEN____1_SM_machine_omegaPu;GEN____1_SM_machine_PGenPu;GEN____2_SM_machine_omegaPu;GEN____8_SM_machine_omegaPu;
0.000930;1.470573;1.025701;0.730601;0.508779;1.000004;0.218504;1.000003;0.999977;
0.000940;1.463099;1.018203;0.743441;0.524726;1.000004;0.207587;1.000003;0.999977;
0.000950;1.445876;1.009625;0.756279;0.541113;1.000004;0.195752;1.000003;0.999976;
0.000960;1.419308;1.000010;0.769120;0.557922;1.000004;0.183468;1.000003;0.999976;
0.000970;1.384028;0.989416;0.781970;0.575128;1.000004;0.171176;1.000003;0.999976;
0.000980;1.340887;0.977925;0.794833;0.592707;1.000004;0.159275;1.000003;0.999976;
0.000990;1.290936;0.965631;0.807715;0.610631;1.000004;0.148096;1.000003;0.999975;
0.001000;1.235408;0.952649;0.820620;0.628871;1.000005;0.137901;1.000003;0.999975;
0.001010;1.175691;0.939102;0.833552;0.647397;1.000005;0.128871;1.000003;0.999975;
0.001020;1.113302;0.925128;0.846512;0.666176;1.000005;0.121111;1.000003;0.999974;
0.001030;1.049864;0.910871;0.859504;0.685175;1.000005;0.114662;1.000003;0.999974;
0.001040;0.987070;0.896481;0.872528;0.704359;1.000005;0.109511;1.000003;0.999974;
0.001050;0.926642;0.882111;0.885585;0.723691;1.000005;0.105607;1.000003;0.999973;
0.001060;0.870290;0.867914;0.898675;0.743136;1.000005;0.102881;1.000003;0.999973;
0.001070;0.819641;0.854040;0.911797;0.762658;1.000005;0.101255;1.000003;0.999973;
0.001080;0.776158;0.840634;0.924948;0.782218;1.000005;0.100665;1.000003;0.999973;
0.001090;0.741040;0.827834;0.938125;0.801781;1.000005;0.101063;1.000003;0.999972;
0.001100;0.715121;0.815767;0.951323;0.821309;1.000005;0.102423;1.000003;0.999972;
0.001110;0.698792;0.804550;0.964539;0.840768;1.000005;0.104744;1.000003;0.999972;
0.001120;0.691980;0.794286;0.977766;0.860121;1.000006;0.108045;1.000003;0.999971;
0.001130;0.694214;0.785065;0.990997;0.879334;1.000006;0.112352;1.000003;0.999971;
0.001140;0.704734;0.776965;1.004224;0.898373;1.000006;0.117691;1.000003;0.999970;
0.001150;0.722638;0.770046;1.017438;0.917208;1.000006;0.124073;1.000003;0.999970;
0.001160;0.746998;0.764357;1.030631;0.935807;1.000006;0.131484;1.000003;0.999970;
0.001170;0.776938;0.759934;1.043791;0.954142;1.000006;0.139868;1.000003;0.999969;
0.001180;0.811647;0.756798;1.056908;0.972186;1.000006;0.149124;1.000003;0.999969;
0.001190;0.850373;0.754961;1.069970;0.989913;1.000006;0.159097;1.000003;0.999968;
0.001200;0.892388;0.754422;1.082965;1.007302;1.000006;0.169581;1.000003;0.999968;
0.001210;0.936955;0.755170;1.095881;1.024331;1.000006;0.180324;1.000003;0.999968;
0.001220;0.983300;0.757185;1.108703;1.040982;1.000006;0.191033;1.000003;0.999967;
0.001230;1.030605;0.760438;1.121420;1.057239;1.000006;0.201390;1.000003;0.999967;
0.001240;1.078002;0.764891;1.134016;1.073089;1.000006;0.211068;1.000003;0.999966;
0.001250;1.124588;0.770497;1.146479;1.088520;1.000006;0.219747;1.000003;0.999966;
0.001260;1.169445;0.777204;1.158794;1.103524;1.000006;0.227132;1.000003;0.999965;
0.001270;1.211664;0.784950;1.170948;1.118095;1.000005;0.232973;1.000003;0.999965;
0.001280;1.250369;0.793666;1.182926;1.132228;1.000005;0.237073;1.000003;0.999965;
0.001290;1.284745;0.803277;1.194716;1.145922;1.000005;0.239303;1.000003;0.999964;
0.001300;1.314064;0.813703;1.206303;1.159177;1.000005;0.239611;1.000003;0.999964;
0.001310;1.337701;0.824858;1.217675;1.171998;1.000005;0.238017;1.000003;0.999963;
0.001320;1.355157;0.836652;1.228819;1.184390;1.000005;0.234617;1.000003;0.999963;
0.001330;1.366070;0.848990;1.239725;1.196358;1.000005;0.229576;1.000003;0.999962;
0.001340;1.370225;0.861777;1.250380;1.207914;1.000006;0.223112;1.000003;0.999962;
0.001350;1.367561;0.874915;1.260775;1.219066;1.000006;0.215488;1.000003;0.999961;
0.001360;1.358171;0.888309;1.270900;1.229829;1.000006;0.206998;1.000003;0.999961;
0.001370;1.342303;0.901861;1.280746;1.240215;1.000006;0.197947;1.000003;0.999960;
0.001380;1.320352;0.915479;1.290306;1.250241;1.000006;0.188637;1.000003;0.999960;
0.001390;1.292855;0.929072;1.299574;1.259921;1.000006;0.179357;1.000003;0.999959;
0.001400;1.260477;0.942555;1.308544;1.269274;1.000006;0.170368;1.000003;0.999959;
0.001410;1.224003;0.955848;1.317212;1.278317;1.000006;0.161894;1.000003;0.999958;
