time;NETWORK_B0_Urms;MACHINE_machine_omegaPu;MACHINE_machine_PGenPu;MACHINE_machine_UStatorPu;MACHINE_machine_terminal_i_0_;MACHINE_machine_terminal_i_1_;MACHINE_machine_terminal_i_2_;
0.001250;0.972434;0.999999;0.483031;0.972430;-0.644205;0.076994;0.567211;
0.001260;0.971869;0.999999;0.483177;0.971866;-0.643656;0.074125;0.569531;
0.001270;0.971409;0.999999;0.483387;0.971405;-0.643102;0.071234;0.571868;
0.001280;0.971055;0.999999;0.483659;0.971051;-0.642541;0.068323;0.574218;
0.001290;0.970810;0.999999;0.483995;0.970805;-0.641971;0.065395;0.576576;
0.001300;0.970673;0.999999;0.484394;0.970669;-0.641391;0.062453;0.578938;
0.001310;0.970646;0.999999;0.484855;0.970642;-0.640800;0.059498;0.581302;
0.001320;0.970731;0.999999;0.485377;0.970726;-0.640196;0.056534;0.583662;
0.001330;0.970926;0.999999;0.485959;0.970922;-0.639579;0.053563;0.586016;
0.001340;0.971233;0.999999;0.486599;0.971228;-0.638947;0.050588;0.588360;
0.001350;0.971650;0.999999;0.487297;0.971646;-0.638299;0.047610;0.590688;
0.001360;0.972178;0.999999;0.488050;0.972173;-0.637633;0.044634;0.592999;
0.001370;0.972814;0.999999;0.488856;0.972809;-0.636950;0.041662;0.595288;
0.001380;0.973557;0.999999;0.489714;0.973552;-0.636246;0.038695;0.597551;
0.001390;0.974406;0.999999;0.490620;0.974401;-0.635522;0.035738;0.599785;
0.001400;0.975359;0.999999;0.491573;0.975354;-0.634777;0.032791;0.601986;
0.001410;0.976412;0.999999;0.492568;0.976408;-0.634009;0.029859;0.604151;
0.001420;0.977564;0.999999;0.493603;0.977559;-0.633218;0.026942;0.606276;
0.001430;0.978811;0.999999;0.494676;0.978806;-0.632403;0.024044;0.608359;
0.001440;0.980149;0.999999;0.495781;0.980144;-0.631564;0.021167;0.610396;
0.001450;0.981574;0.999999;0.496916;0.981569;-0.630699;0.018314;0.612385;
0.001460;0.983083;0.999999;0.498076;0.983078;-0.629808;0.015485;0.614323;
0.001470;0.984670;0.999999;0.499259;0.984666;-0.628891;0.012684;0.616206;
0.001480;0.986332;0.999999;0.500458;0.986327;-0.627947;0.009913;0.618034;
0.001490;0.988062;0.999999;0.501671;0.988058;-0.626975;0.007172;0.619803;
0.001500;0.989855;0.999999;0.502893;0.989851;-0.625976;0.004465;0.621512;
0.001510;0.991706;0.999999;0.504120;0.991702;-0.624950;0.001792;0.623158;
0.001520;0.993609;0.999999;0.505346;0.993605;-0.623896;-0.000845;0.624741;
0.001530;0.995556;0.999999;0.506567;0.995553;-0.622814;-0.003445;0.626258;
0.001540;0.997543;0.999999;0.507780;0.997540;-0.621704;-0.006005;0.627709;
0.001550;0.999562;0.999999;0.508978;0.999559;-0.620567;-0.008526;0.629093;
0.001560;1.001606;0.999999;0.510157;1.001604;-0.619402;-0.011006;0.630408;
0.001570;1.003668;0.999999;0.511313;1.003666;-0.618210;-0.013445;0.631655;
0.001580;1.005741;0.999998;0.512442;1.005740;-0.616991;-0.015841;0.632832;
0.001590;1.007818;0.999998;0.513538;1.007817;-0.615746;-0.018195;0.633941;
0.001600;1.009892;0.999998;0.514598;1.009891;-0.614475;-0.020506;0.634980;
0.001610;1.011954;0.999998;0.515616;1.011953;-0.613178;-0.022773;0.635951;
0.001620;1.013998;0.999998;0.516590;1.013997;-0.611857;-0.024997;0.636854;
0.001630;1.016015;0.999998;0.517514;1.016015;-0.610512;-0.027178;0.637690;
0.001640;1.018000;0.999998;0.518386;1.018000;-0.609144;-0.029316;0.638459;
0.001650;1.019943;0.999998;0.519202;1.019944;-0.607753;-0.031411;0.639164;
0.001660;1.021838;0.999998;0.519958;1.021839;-0.606341;-0.033464;0.639805;
0.001670;1.023677;0.999998;0.520651;1.023679;-0.604908;-0.035476;0.640384;
0.001680;1.025455;0.999998;0.521279;1.025457;-0.603455;-0.037448;0.640903;
0.001690;1.027162;0.999998;0.521838;1.027165;-0.601984;-0.039380;0.641364;
0.001700;1.028794;0.999998;0.522327;1.028797;-0.600496;-0.041274;0.641770;
0.001710;1.030344;0.999998;0.522743;1.030347;-0.598991;-0.043131;0.642122;
0.001720;1.031805;0.999998;0.523084;1.031809;-0.597471;-0.044952;0.642423;
0.001730;1.033172;0.999998;0.523350;1.033176;-0.595936;-0.046739;0.642676;
0.001740;1.034439;0.999998;0.523539;1.034443;-0.594389;-0.048494;0.642883;
0.001750;1.035601;0.999998;0.523651;1.035606;-0.592830;-0.050218;0.643049;
0.001760;1.036653;0.999998;0.523684;1.036658;-0.591261;-0.051914;0.643175;
0.001770;1.037591;0.999998;0.523639;1.037596;-0.589683;-0.053582;0.643265;
0.001780;1.038410;0.999998;0.523515;1.038416;-0.588096;-0.055226;0.643322;
0.001790;1.039108;0.999998;0.523314;1.039114;-0.586503;-0.056847;0.643351;
0.001800;1.039681;0.999998;0.523036;1.039688;-0.584905;-0.058448;0.643353;
0.001810;1.040127;0.999998;0.522682;1.040133;-0.583302;-0.060031;0.643333;
0.001820;1.040442;0.999998;0.522253;1.040449;-0.581697;-0.061598;0.643294;
0.001830;1.040626;0.999998;0.521752;1.040634;-0.580089;-0.063151;0.643241;
0.001840;1.040678;0.999998;0.521179;1.040685;-0.578482;-0.064694;0.643176;
0.001850;1.040596;0.999998;0.520538;1.040603;-0.576875;-0.066228;0.643103;
0.001860;1.040380;0.999998;0.519831;1.040388;-0.575270;-0.067756;0.643026;
0.001870;1.040032;0.999998;0.519060;1.040039;-0.573667;-0.069281;0.642949;
0.001880;1.039550;0.999998;0.518228;1.039558;-0.572069;-0.070805;0.642875;
0.001890;1.038938;0.999998;0.517338;1.038946;-0.570476;-0.072331;0.642807;
0.001900;1.038196;0.999998;0.516395;1.038204;-0.568889;-0.073861;0.642751;
0.001910;1.037328;0.999998;0.515401;1.037336;-0.567310;-0.075398;0.642707;
0.001920;1.036335;0.999998;0.514360;1.036343;-0.565738;-0.076944;0.642681;
0.001930;1.035221;0.999998;0.513275;1.035229;-0.564175;-0.078501;0.642676;
0.001940;1.033990;0.999998;0.512152;1.033998;-0.562621;-0.080073;0.642694;
0.001950;1.032646;0.999998;0.510993;1.032653;-0.561079;-0.081661;0.642739;
0.001960;1.031193;0.999998;0.509803;1.031201;-0.559547;-0.083267;0.642814;
0.001970;1.029637;0.999998;0.508586;1.029644;-0.558027;-0.084894;0.642921;
0.001980;1.027983;0.999998;0.507347;1.027990;-0.556519;-0.086544;0.643063;
0.001990;1.026237;0.999998;0.506090;1.026243;-0.555024;-0.088219;0.643243;
0.002000;1.024405;0.999998;0.504819;1.024411;-0.553542;-0.089921;0.643463;
0.002010;1.022492;0.999998;0.503539;1.022498;-0.552074;-0.091651;0.643725;
0.002020;1.020507;0.999998;0.502253;1.020512;-0.550619;-0.093412;0.644032;
