time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;SM_generator_UStatorPu;SM_compensator_VcPu;
1.072048;1.007770;18.237221;0.858199;7.000000;0.858199;0.858199;
1.074096;1.007792;18.387122;0.865312;7.000000;0.865312;0.865312;
1.076144;1.007812;18.532209;0.872021;7.000000;0.872021;0.872010;
1.078192;1.007830;18.672832;0.878347;7.000000;0.878347;0.878332;
1.080240;1.007846;18.809332;0.884313;7.000000;0.884313;0.884298;
1.082288;1.007860;18.942024;0.889939;7.000000;0.889939;0.889925;
1.084336;1.007873;19.071202;0.895245;7.000000;0.895245;0.895231;
1.086384;1.007884;19.197131;0.900248;7.000000;0.900248;0.900236;
1.088432;1.007893;19.320055;0.904968;7.000000;0.904968;0.904957;
1.090480;1.007901;19.440196;0.909419;7.000000;0.909419;0.909409;
1.094576;1.007912;19.673308;0.917595;7.000000;0.917595;0.917595;
1.098672;1.007917;19.897497;0.924871;7.000000;0.924871;0.924870;
1.102768;1.007916;20.113837;0.931338;7.000000;0.931338;0.931336;
1.106864;1.007910;20.323259;0.937082;7.000000;0.937082;0.937079;
1.110960;1.007898;20.526546;0.942179;7.000000;0.942179;0.942175;
1.112533;1.007892;20.603186;0.943982;7.000000;0.943982;0.943978;
1.112533;1.007892;20.603218;0.943983;7.000000;0.943983;0.943981;
1.112534;1.007892;20.603266;0.943984;7.000000;0.943984;0.943984;
1.112535;1.007892;20.603315;0.943985;7.000000;0.943985;0.943985;
1.112537;1.007892;20.603411;0.943987;7.000000;0.943987;0.943987;
1.112541;1.007892;20.603605;0.943992;7.000000;0.943992;0.943992;
1.112549;1.007892;20.603991;0.944001;7.000000;0.944001;0.944001;
1.112565;1.007892;20.604764;0.944019;7.000000;0.944019;0.944019;
1.112597;1.007891;20.606310;0.944054;7.000000;0.944054;0.944054;
1.112661;1.007891;20.609402;0.944125;7.000000;0.944125;0.944125;
1.112789;1.007891;20.615580;0.944267;7.000000;0.944267;0.944267;
1.113045;1.007890;20.627922;0.944548;7.000000;0.944548;0.944548;
1.113557;1.007887;20.652548;0.945104;7.000000;0.945104;0.945104;
1.114581;1.007883;20.701567;0.946193;7.000000;0.946193;0.946193;
1.116629;1.007872;20.798713;0.948274;7.000000;0.948274;0.948274;
1.120725;1.007848;20.989661;0.952081;7.000000;0.952081;0.952081;
1.124821;1.007819;21.176287;0.955446;7.000000;0.955446;0.955446;
1.133013;1.007746;21.538202;0.961065;7.000000;0.961065;0.961065;
1.140386;1.007664;21.851026;0.964989;7.000000;0.964989;0.964993;
1.147759;1.007568;22.152335;0.968025;7.000000;0.968025;0.968022;
1.155132;1.007458;22.442595;0.970324;7.000000;0.970324;0.970317;
1.155668;1.007449;22.463280;0.970467;7.000000;0.970467;0.970460;
1.155668;1.007449;22.463292;0.970467;7.000001;0.970467;0.970466;
1.155669;1.007449;22.463331;0.970467;6.999454;0.970467;0.970467;
1.155670;1.007449;22.463369;0.970468;6.998907;0.970468;0.970468;
1.155672;1.007449;22.463446;0.970468;6.997813;0.970468;0.970468;
1.155676;1.007449;22.463600;0.970469;6.995625;0.970469;0.970469;
1.155684;1.007449;22.463907;0.970471;6.991250;0.970471;0.970471;
1.155700;1.007449;22.464522;0.970475;6.982505;0.970475;0.970475;
1.155732;1.007448;22.465751;0.970483;6.965030;0.970483;0.970483;
1.155796;1.007447;22.468206;0.970500;6.930149;0.970500;0.970500;
1.155924;1.007445;22.473103;0.970531;6.860657;0.970531;0.970531;
1.156180;1.007441;22.482846;0.970594;6.722745;0.970594;0.970594;
1.156692;1.007433;22.502134;0.970712;6.451165;0.970712;0.970712;
1.157716;1.007416;22.539917;0.970925;5.924639;0.970925;0.970925;
1.159764;1.007382;22.612383;0.971255;4.935485;0.971255;0.971255;
1.163860;1.007310;22.745459;0.971558;3.193685;0.971558;0.971558;
1.172052;1.007159;22.969046;0.970926;0.528176;0.970926;0.970926;
1.180244;1.006996;23.142325;0.968887;-1.189188;0.968887;0.968887;
1.188436;1.006826;23.274709;0.965766;-2.132782;0.965766;0.965766;
1.196628;1.006649;23.375870;0.961879;-2.454900;0.961879;0.961880;
1.204820;1.006467;23.455063;0.957513;-2.287742;0.957513;0.957513;
1.213012;1.006282;23.520672;0.952917;-1.747640;0.952917;0.952917;
1.221204;1.006093;23.579914;0.948300;-0.938264;0.948300;0.948300;
1.229396;1.005900;23.638669;0.943830;0.047706;0.943830;0.943830;
1.237588;1.005704;23.701414;0.939633;1.128106;0.939633;0.939634;
1.253972;1.005301;23.850580;0.932420;3.233216;0.932420;0.932421;
1.270356;1.004879;24.032375;0.926845;5.040023;0.926845;0.926842;
1.286740;1.004436;24.241591;0.922846;6.320421;0.922846;0.922849;
1.303124;1.003970;24.465215;0.920166;6.980601;0.920166;0.920170;
1.304097;1.003941;24.478837;0.920045;7.000001;0.920045;0.920048;
1.304097;1.003941;24.478834;0.920046;7.000000;0.920046;0.920047;
1.304098;1.003941;24.478848;0.920045;7.000000;0.920045;0.920045;
1.304099;1.003941;24.478862;0.920045;7.000000;0.920045;0.920045;
1.304101;1.003941;24.478890;0.920045;7.000000;0.920045;0.920045;
1.304105;1.003941;24.478947;0.920045;7.000000;0.920045;0.920045;
1.304113;1.003941;24.479060;0.920044;7.000000;0.920044;0.920044;
1.304129;1.003940;24.479286;0.920042;7.000000;0.920042;0.920042;
1.304161;1.003939;24.479738;0.920038;7.000000;0.920038;0.920038;
1.304225;1.003937;24.480642;0.920030;7.000000;0.920030;0.920030;
1.304353;1.003934;24.482450;0.920015;7.000000;0.920015;0.920015;
1.304609;1.003926;24.486064;0.919985;7.000000;0.919985;0.919985;
1.305121;1.003911;24.493286;0.919925;7.000000;0.919925;0.919925;
1.306145;1.003881;24.507699;0.919809;7.000000;0.919809;0.919809;
1.308193;1.003820;24.536394;0.919589;7.000000;0.919589;0.919589;
1.312289;1.003698;24.593139;0.919197;7.000000;0.919197;0.919197;
1.315471;1.003600;24.635976;0.918951;7.000000;0.918951;0.918960;
1.315471;1.003600;24.636239;0.918961;7.000001;0.918961;0.918961;
1.315472;1.003600;24.636253;0.918961;6.999995;0.918961;0.918961;
1.315473;1.003600;24.636267;0.918961;6.999989;0.918961;0.918961;
1.315475;1.003600;24.636294;0.918961;6.999977;0.918961;0.918961;
1.315479;1.003600;24.636348;0.918961;6.999952;0.918961;0.918961;
1.315487;1.003599;24.636457;0.918960;6.999903;0.918960;0.918960;
1.315503;1.003599;24.636675;0.918959;6.999803;0.918959;0.918959;
1.315535;1.003598;24.637110;0.918956;6.999602;0.918956;0.918956;
1.315599;1.003596;24.637980;0.918950;6.999192;0.918950;0.918950;
1.315727;1.003592;24.639719;0.918939;6.998335;0.918939;0.918939;
1.315983;1.003584;24.643194;0.918917;6.996483;0.918917;0.918917;
1.316495;1.003569;24.650129;0.918873;6.992229;0.918873;0.918873;
1.317519;1.003537;24.663939;0.918788;6.981564;0.918788;0.918788;
1.319567;1.003475;24.691272;0.918627;6.951971;0.918627;0.918627;
1.323663;1.003348;24.744504;0.918333;6.862761;0.918333;0.918331;
1.331855;1.003089;24.843278;0.917815;6.587925;0.917815;0.917817;
1.340047;1.002824;24.932446;0.917332;6.240370;0.917332;0.917334;
1.348239;1.002556;25.011021;0.916857;5.842451;0.916857;0.916859;
1.364623;1.002011;25.140908;0.915877;4.990854;0.915877;0.915901;
1.368719;1.001873;25.167391;0.915627;4.765246;0.915627;0.915627;
1.376911;1.001595;25.211561;0.915106;4.315636;0.915106;0.915107;
1.393295;1.001034;25.266500;0.914013;3.471821;0.914013;0.914012;
1.409679;1.000469;25.279552;0.912906;2.741925;0.912906;0.912904;
1.417871;1.000186;25.271315;0.912367;2.428123;0.912367;0.912367;
1.434255;0.999622;25.229837;0.911439;1.914520;0.911439;0.911439;
1.438351;0.999482;25.214290;0.911239;1.809072;0.911239;0.911239;
1.440399;0.999412;25.205788;0.911145;1.759591;0.911145;0.911145;
1.441423;0.999377;25.201364;0.911100;1.735637;0.911100;0.911099;
1.443471;0.999307;25.192190;0.911013;1.689219;0.911013;0.911013;
1.447567;0.999168;25.172568;0.910858;1.602026;0.910858;0.910858;
1.455759;0.998891;25.128504;0.910624;1.447156;0.910624;0.910624;
1.472143;0.998345;25.022596;0.910505;1.192297;0.910505;0.910504;
1.480335;0.998077;24.960702;0.910626;1.087264;0.910626;0.910626;
1.496719;0.997551;24.820153;0.911269;0.889777;0.911269;0.911268;
1.504911;0.997293;24.740952;0.911787;0.795000;0.911787;0.911787;
1.521295;0.996793;24.564126;0.913214;0.597051;0.913214;0.913214;
1.521807;0.996777;24.558173;0.913267;0.590737;0.913267;0.913267;
1.522831;0.996747;24.546184;0.913374;0.578080;0.913374;0.913374;
1.524879;0.996686;24.521888;0.913594;0.552545;0.913594;0.913594;
1.528975;0.996564;24.472006;0.914056;0.500592;0.914056;0.914057;
1.531023;0.996504;24.446406;0.914299;0.474216;0.914299;0.914299;
1.535119;0.996385;24.393861;0.914805;0.420808;0.914805;0.914805;
1.543311;0.996151;24.283228;0.915903;0.312437;0.915903;0.915903;
1.544335;0.996122;24.268861;0.916047;0.298735;0.916047;0.916048;
1.546383;0.996065;24.239762;0.916342;0.271321;0.916342;0.916342;
1.550479;0.995952;24.180080;0.916951;0.216596;0.916951;0.916951;
1.558671;0.995730;24.054662;0.918242;0.109188;0.918242;0.918242;
1.575055;0.995307;23.778898;0.921098;-0.084797;0.921098;0.921098;
1.607823;0.994565;23.127923;0.927794;-0.306107;0.927794;0.927800;
1.609871;0.994523;23.082286;0.928252;-0.312817;0.928252;0.928252;
1.613967;0.994441;22.989329;0.929182;-0.322700;0.929182;0.929182;
1.622159;0.994285;22.796997;0.931093;-0.325602;0.931093;0.931093;
1.638543;0.994005;22.388712;0.935114;-0.253882;0.935114;0.935113;
1.654927;0.993770;21.951387;0.939404;-0.074206;0.939404;0.939403;
1.663119;0.993670;21.722545;0.941650;0.056687;0.941650;0.941650;
1.664143;0.993659;21.693482;0.941935;0.074984;0.941935;0.941935;
1.664655;0.993653;21.678920;0.942078;0.084297;0.942078;0.942078;
1.665679;0.993641;21.649736;0.942365;0.103242;0.942365;0.942365;
1.667727;0.993619;21.591126;0.942942;0.142407;0.942942;0.942942;
1.668751;0.993609;21.561701;0.943233;0.162624;0.943233;0.943233;
1.670799;0.993588;21.502623;0.943817;0.204305;0.943817;0.943817;
1.671823;0.993578;21.472971;0.944111;0.225767;0.944111;0.944111;
1.673871;0.993558;21.413452;0.944702;0.269907;0.944702;0.944702;
1.674895;0.993548;21.383586;0.944999;0.292583;0.944999;0.944999;
1.676943;0.993530;21.323655;0.945597;0.339114;0.945597;0.945597;
1.677967;0.993521;21.293590;0.945898;0.362967;0.945898;0.945898;
1.680015;0.993504;21.233275;0.946503;0.411815;0.946503;0.946503;
1.681039;0.993495;21.203027;0.946807;0.436806;0.946807;0.946807;
1.683087;0.993479;21.142358;0.947419;0.487888;0.947419;0.947419;
1.687183;0.993450;21.020396;0.948658;0.594276;0.948658;0.948658;
1.689231;0.993436;20.959113;0.949284;0.649544;0.949284;0.949284;
1.693327;0.993411;20.836042;0.950551;0.763910;0.950551;0.950551;
1.695375;0.993400;20.774264;0.951192;0.822972;0.951192;0.951192;
1.699471;0.993380;20.650323;0.952489;0.944504;0.952489;0.952489;
1.701519;0.993372;20.588170;0.953145;1.006937;0.953145;0.953145;
1.705615;0.993357;20.463600;0.954471;1.134764;0.954471;0.954471;
1.707663;0.993351;20.401193;0.955141;1.200120;0.955141;0.955141;
1.711759;0.993341;20.276235;0.956497;1.333328;0.956497;0.956497;
1.713807;0.993337;20.213694;0.957182;1.401142;0.957182;0.957182;
1.717903;0.993333;20.088586;0.958568;1.538796;0.958568;0.958568;
1.719951;0.993332;20.026030;0.959268;1.608596;0.959268;0.959268;
1.724047;0.993332;19.901005;0.960682;1.749748;0.960682;0.960682;
1.726095;0.993333;19.838549;0.961397;1.821070;0.961397;0.961397;
1.730191;0.993339;19.713836;0.962841;1.964781;0.962841;0.962841;
1.732239;0.993343;19.651592;0.963570;2.037146;0.963570;0.963569;
1.736335;0.993353;19.527415;0.965042;2.182483;0.965042;0.965042;
1.738383;0.993359;19.465493;0.965785;2.255432;0.965785;0.965784;
1.742479;0.993374;19.342065;0.967284;2.401494;0.967284;0.967284;
1.744527;0.993383;19.280571;0.968041;2.474584;0.968041;0.968041;
1.748623;0.993404;19.158100;0.969567;2.620501;0.969567;0.969567;
1.750671;0.993415;19.097136;0.970337;2.693308;0.970337;0.970337;
1.754767;0.993440;18.975823;0.971889;2.838253;0.971889;0.971889;
1.756815;0.993454;18.915486;0.972672;2.910373;0.972672;0.972671;
1.760911;0.993484;18.795521;0.974248;3.053567;0.974248;0.974248;
1.762959;0.993500;18.735905;0.975042;3.124624;0.975042;0.975042;
1.767055;0.993535;18.617473;0.976642;3.265338;0.976642;0.976642;
1.769103;0.993553;18.558668;0.977447;3.334981;0.977447;0.977447;
1.773199;0.993593;18.441942;0.979068;3.472544;0.979068;0.979068;
1.775247;0.993613;18.384034;0.979884;3.540452;0.979884;0.979884;
1.779343;0.993658;18.269182;0.981525;3.674252;0.981525;0.981525;
1.781391;0.993681;18.212251;0.982350;3.740133;0.982350;0.982350;
1.785487;0.993729;18.099432;0.984010;3.869616;0.984010;0.984010;
1.787535;0.993755;18.043556;0.984843;3.933209;0.984843;0.984843;
1.791631;0.993808;17.932922;0.986519;4.057881;0.986519;0.986519;
1.793679;0.993836;17.878174;0.987360;4.118955;0.987360;0.987360;
1.797775;0.993893;17.769867;0.989050;4.238384;0.989050;0.989050;
1.799823;0.993923;17.716318;0.989898;4.296736;0.989898;0.989898;
1.803919;0.993985;17.610475;0.991600;4.410545;0.991600;0.991600;
1.805967;0.994017;17.558192;0.992454;4.466002;0.992454;0.992454;
1.810063;0.994083;17.454942;0.994166;4.573872;0.994166;0.994166;
1.812111;0.994117;17.403987;0.995025;4.626286;0.995025;0.995024;
1.816207;0.994187;17.303454;0.996745;4.727950;0.996745;0.996745;
1.818255;0.994223;17.253887;0.997607;4.777202;0.997607;0.997606;
1.822351;0.994297;17.156188;0.999333;4.872442;0.999333;0.999333;
1.824399;0.994335;17.108066;1.000197;4.918434;1.000197;1.000197;
1.828495;0.994412;17.013311;1.001927;5.007080;1.001927;1.001927;
1.830543;0.994452;16.966689;1.002792;5.049738;1.002792;1.002792;
1.834639;0.994534;16.874984;1.004523;5.131659;1.004523;1.004523;
1.842831;0.994704;16.697884;1.007981;5.281855;1.007981;1.007981;
1.859215;0.995071;16.370018;1.014844;5.527783;1.014844;1.014844;
1.891983;0.995893;15.826666;1.028091;5.812346;1.028091;1.028092;
1.924751;0.996811;15.444633;1.040425;5.833996;1.040425;1.040427;
1.957519;0.997790;15.231760;1.051436;5.613911;1.051436;1.051437;
1.990287;0.998794;15.188476;1.060717;5.183111;1.060717;1.060715;
1.998479;0.999048;15.204710;1.062749;5.044423;1.062749;1.062749;
2.002575;0.999174;15.216728;1.063714;4.971067;1.063714;1.063714;
2.004623;0.999238;15.223683;1.064184;4.933460;1.064184;1.064184;
2.008719;0.999363;15.239439;1.065096;4.856417;1.065096;1.065097;
2.016911;0.999614;15.278225;1.066807;4.695668;1.066807;1.066807;
2.021007;0.999738;15.301230;1.067606;4.612054;1.067606;1.067606;
2.029199;0.999985;15.354186;1.069087;4.439430;1.069087;1.069087;
2.033295;1.000107;15.384115;1.069768;4.350564;1.069768;1.069768;
2.041487;1.000349;15.450567;1.071008;4.169104;1.071008;1.071008;
2.045583;1.000468;15.487059;1.071567;4.076653;1.071567;1.071567;
2.053775;1.000704;15.566254;1.072560;3.889726;1.072560;1.072560;
2.057871;1.000821;15.608920;1.072994;3.795383;1.072994;1.072994;
2.066063;1.001050;15.700055;1.073735;3.606266;1.073735;1.073735;
2.070159;1.001162;15.748482;1.074041;3.511617;1.074041;1.074041;
2.078351;1.001384;15.850714;1.074528;3.323326;1.074528;1.074528;
2.082447;1.001492;15.904471;1.074707;3.229790;1.074707;1.074707;
2.084495;1.001546;15.931991;1.074781;3.183219;1.074781;1.074781;
2.088591;1.001652;15.988256;1.074896;3.090683;1.074896;1.074896;
2.090639;1.001705;16.016997;1.074938;3.044717;1.074938;1.074939;
2.094735;1.001809;16.075648;1.074991;2.953508;1.074991;1.074991;
2.096783;1.001861;16.105553;1.075001;2.908271;1.075001;1.075002;
2.100879;1.001962;16.166476;1.074991;2.818651;1.074991;1.074991;
2.102927;1.002013;16.197487;1.074970;2.774271;1.074970;1.074970;
2.107023;1.002112;16.260565;1.074898;2.686480;1.074898;1.074898;
2.109071;1.002161;16.292625;1.074846;2.643071;1.074846;1.074846;
2.113167;1.002258;16.357742;1.074712;2.557324;1.074712;1.074712;
2.115215;1.002305;16.390791;1.074629;2.514988;1.074629;1.074630;
2.119311;1.002399;16.457828;1.074435;2.431482;1.074435;1.074435;
2.121359;1.002446;16.491808;1.074322;2.390313;1.074322;1.074322;
2.125455;1.002537;16.560648;1.074068;2.309224;1.074068;1.074068;
2.127503;1.002582;16.595499;1.073925;2.269304;1.073925;1.073926;
2.131599;1.002671;16.666022;1.073612;2.190790;1.073612;1.073612;
2.133647;1.002714;16.701686;1.073441;2.152194;1.073441;1.073441;
2.137743;1.002800;16.773772;1.073070;2.076397;1.073070;1.073070;
2.139791;1.002842;16.810188;1.072870;2.039192;1.072870;1.072871;
2.143887;1.002925;16.883719;1.072443;1.966237;1.072443;1.072443;
2.152079;1.003085;17.033382;1.071479;1.826298;1.071479;1.071479;
2.153103;1.003104;17.052326;1.071348;1.809364;1.071348;1.071348;
2.155151;1.003143;17.090362;1.071080;1.775882;1.071080;1.071080;
2.159247;1.003218;17.166986;1.070517;1.710478;1.070517;1.070517;
2.167439;1.003363;17.322243;1.069289;1.586065;1.069289;1.069289;
2.171535;1.003432;17.400804;1.068625;1.527077;1.068625;1.068625;
2.179727;1.003564;17.559474;1.067200;1.415729;1.067200;1.067200;
