time;EmtTfoYD_circuit_vPrimA;EmtTfoYD_circuit_vSecA;EmtTfoYD_circuit_vSecB;EmtTfoYD_circuit_vSecC;
0.002880;0.875531;0.761230;-0.126096;-0.635133;
0.002890;0.872038;0.760303;-0.123563;-0.636740;
0.002900;0.868536;0.759368;-0.121029;-0.638340;
0.002910;0.865025;0.758426;-0.118493;-0.639933;
0.002920;0.861506;0.757477;-0.115956;-0.641521;
0.002930;0.857978;0.756520;-0.113418;-0.643102;
0.002940;0.854442;0.755555;-0.110879;-0.644676;
0.002950;0.850898;0.754583;-0.108338;-0.646245;
0.002960;0.847345;0.753604;-0.105797;-0.647807;
0.002970;0.843784;0.752617;-0.103255;-0.649362;
0.002980;0.840214;0.751623;-0.100711;-0.650912;
0.002990;0.836636;0.750621;-0.098167;-0.652454;
0.003000;0.833050;0.749612;-0.095621;-0.653991;
0.003010;0.829456;0.748596;-0.093075;-0.655520;
0.003020;0.825853;0.747572;-0.090528;-0.657044;
0.003030;0.822242;0.746540;-0.087980;-0.658561;
0.003040;0.818624;0.745502;-0.085431;-0.660071;
0.003050;0.814997;0.744456;-0.082881;-0.661575;
0.003060;0.811362;0.743403;-0.080330;-0.663072;
0.003070;0.807719;0.742342;-0.077779;-0.664563;
0.003080;0.804068;0.741274;-0.075226;-0.666047;
0.003090;0.800409;0.740199;-0.072674;-0.667525;
0.003100;0.796742;0.739116;-0.070120;-0.668996;
0.003110;0.793068;0.738026;-0.067565;-0.670461;
0.003120;0.789385;0.736929;-0.065010;-0.671919;
0.003130;0.785695;0.735825;-0.062455;-0.673370;
0.003140;0.781997;0.734713;-0.059898;-0.674814;
0.003150;0.778291;0.733594;-0.057342;-0.676252;
0.003160;0.774578;0.732468;-0.054784;-0.677684;
0.003170;0.770857;0.731334;-0.052226;-0.679108;
0.003180;0.767128;0.730194;-0.049668;-0.680526;
0.003190;0.763392;0.729046;-0.047109;-0.681937;
0.003200;0.759648;0.727891;-0.044549;-0.683342;
0.003210;0.755897;0.726729;-0.041989;-0.684739;
0.003220;0.752138;0.725559;-0.039429;-0.686130;
0.003230;0.748372;0.724383;-0.036868;-0.687514;
0.003240;0.744599;0.723199;-0.034307;-0.688892;
0.003250;0.740818;0.722008;-0.031746;-0.690262;
0.003260;0.737030;0.720810;-0.029184;-0.691626;
0.003270;0.733234;0.719605;-0.026622;-0.692983;
0.003280;0.729431;0.718393;-0.024060;-0.694333;
0.003290;0.725622;0.717173;-0.021497;-0.695676;
0.003300;0.721804;0.715947;-0.018934;-0.697013;
0.003310;0.717980;0.714714;-0.016371;-0.698342;
0.003320;0.714149;0.713473;-0.013808;-0.699665;
0.003330;0.710311;0.712226;-0.011245;-0.700980;
0.003340;0.706465;0.710971;-0.008682;-0.702289;
0.003350;0.702613;0.709709;-0.006118;-0.703591;
0.003360;0.698754;0.708441;-0.003555;-0.704886;
0.003370;0.694888;0.707165;-0.000991;-0.706174;
0.003380;0.691015;0.705883;0.001572;-0.707455;
0.003390;0.687135;0.704593;0.004136;-0.708729;
0.003400;0.683248;0.703297;0.006699;-0.709996;
0.003410;0.679355;0.701993;0.009262;-0.711256;
0.003420;0.675455;0.700683;0.011826;-0.712509;
0.003430;0.671548;0.699366;0.014389;-0.713755;
0.003440;0.667635;0.698042;0.016952;-0.714994;
0.003450;0.663715;0.696711;0.019515;-0.716225;
0.003460;0.659789;0.695373;0.022077;-0.717450;
0.003470;0.655856;0.694028;0.024640;-0.718668;
0.003480;0.651916;0.692676;0.027202;-0.719878;
0.003490;0.647970;0.691318;0.029764;-0.721082;
