time;GEN1_generator_delta;GEN1_generator_omegaPu;GEN1_generator_PGenPu;GEN1_generator_UPu;GEN2_generator_delta;GEN2_generator_omegaPu;GEN2_generator_PGenPu;GEN2_generator_UPu;NETWORK_GEN1_BUS_numcc_value;NETWORK_GEN2_BUS_numcc_value;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_1_value;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;
11.762661;0.780502;1.119700;5.837582;1.000049;0.711822;1.118948;4.672000;1.000018;0.000000;0.000000;1.119359;1.119359;1.119359;1.000000;
11.793642;0.783445;1.119660;5.853682;0.999837;0.708290;1.118995;4.653478;0.999939;0.000000;0.000000;1.119358;1.119358;1.119358;1.000000;
11.824624;0.785654;1.119583;5.865661;0.999666;0.705640;1.119084;4.639500;0.999868;0.000000;0.000000;1.119356;1.119356;1.119356;1.000000;
11.855605;0.786928;1.119486;5.872530;0.999562;0.704111;1.119198;4.631402;0.999822;0.000000;0.000000;1.119355;1.119355;1.119355;1.000000;
11.886587;0.787539;1.119382;5.875874;0.999518;0.703378;1.119319;4.627557;0.999806;0.000000;0.000000;1.119353;1.119353;1.119353;1.000000;
11.917568;0.787265;1.119278;5.874395;0.999541;0.703707;1.119439;4.629303;0.999816;0.000000;0.000000;1.119351;1.119351;1.119351;1.000000;
11.948550;0.786176;1.119191;5.868506;0.999627;0.705013;1.119541;4.636207;0.999853;0.000000;0.000000;1.119350;1.119350;1.119350;1.000000;
12.010513;0.782495;1.119099;5.848493;0.999907;0.709431;1.119646;4.659472;0.999966;0.000000;0.000000;1.119348;1.119348;1.119348;1.000000;
12.066279;0.778746;1.119126;5.827920;1.000170;0.713930;1.119617;4.683011;1.000059;0.000000;0.000000;1.119349;1.119349;1.119349;1.000000;
12.100276;0.777135;1.119201;5.819015;1.000275;0.715863;1.119530;4.693071;1.000092;0.000000;0.000000;1.119351;1.119351;1.119351;1.000000;
12.134272;0.776493;1.119292;5.815464;1.000316;0.716632;1.119427;4.697073;1.000104;0.000000;0.000000;1.119354;1.119354;1.119354;1.000000;
12.164869;0.776621;1.119369;5.816170;1.000308;0.716479;1.119340;4.696273;1.000101;0.000000;0.000000;1.119356;1.119356;1.119356;1.000000;
12.195466;0.777348;1.119433;5.820203;1.000262;0.715607;1.119267;4.691751;1.000089;0.000000;0.000000;1.119358;1.119358;1.119358;1.000000;
12.226062;0.778490;1.119478;5.826520;1.000188;0.714236;1.119216;4.684617;1.000066;0.000000;0.000000;1.119359;1.119359;1.119359;1.000000;
12.256659;0.779813;1.119507;5.833793;1.000097;0.712649;1.119183;4.676324;1.000035;0.000000;0.000000;1.119360;1.119360;1.119360;1.000000;
12.287256;0.781221;1.119515;5.841514;0.999997;0.710959;1.119174;4.667476;0.999999;0.000000;0.000000;1.119360;1.119360;1.119360;1.000000;
12.348449;0.783584;1.119472;5.854438;0.999827;0.708124;1.119224;4.652610;0.999936;0.000000;0.000000;1.119359;1.119359;1.119359;1.000000;
12.386377;0.784210;1.119409;5.857846;0.999779;0.707372;1.119296;4.648650;0.999916;0.000000;0.000000;1.119358;1.119358;1.119358;1.000000;
12.424305;0.784077;1.119348;5.857123;0.999790;0.707533;1.119367;4.649498;0.999921;0.000000;0.000000;1.119357;1.119357;1.119357;1.000000;
12.462233;0.783485;1.119307;5.853916;0.999835;0.708242;1.119414;4.653239;0.999940;0.000000;0.000000;1.119356;1.119356;1.119356;1.000000;
12.500161;0.782625;1.119282;5.849225;0.999899;0.709275;1.119442;4.658668;0.999965;0.000000;0.000000;1.119355;1.119355;1.119355;1.000000;
12.538089;0.781729;1.119275;5.844319;0.999963;0.710350;1.119451;4.664298;0.999988;0.000000;0.000000;1.119355;1.119355;1.119355;1.000000;
12.613945;0.780503;1.119304;5.837584;1.000049;0.711822;1.119417;4.671998;1.000018;0.000000;0.000000;1.119355;1.119355;1.119355;1.000000;
12.689801;0.780221;1.119345;5.836044;1.000069;0.712159;1.119371;4.673765;1.000026;0.000000;0.000000;1.119357;1.119357;1.119357;1.000000;
12.758071;0.780499;1.119370;5.837569;1.000050;0.711825;1.119342;4.672020;1.000019;0.000000;0.000000;1.119357;1.119357;1.119357;1.000000;
12.826341;0.780969;1.119379;5.840128;1.000015;0.711262;1.119332;4.669061;1.000005;0.000000;0.000000;1.119358;1.119358;1.119358;1.000000;
12.962882;0.781350;1.119366;5.842230;0.999989;0.710805;1.119347;4.666677;0.999997;0.000000;0.000000;1.119357;1.119357;1.119357;1.000000;
13.099422;0.781313;1.119356;5.842032;0.999992;0.710849;1.119358;4.666909;0.999998;0.000000;0.000000;1.119357;1.119357;1.119357;1.000000;
13.235963;0.781204;1.119354;5.841430;1.000000;0.710980;1.119360;4.667596;1.000001;0.000000;0.000000;1.119357;1.119357;1.119357;1.000000;
13.509044;0.781165;1.119357;5.841219;1.000002;0.711026;1.119358;4.667837;1.000002;0.000000;0.000000;1.119357;1.119357;1.119357;1.000000;
13.782125;0.781175;1.119357;5.841275;1.000002;0.711014;1.119357;4.667772;1.000001;0.000000;0.000000;1.119357;1.119357;1.119357;1.000000;
14.328287;0.781180;1.119357;5.841299;1.000001;0.711009;1.119357;4.667745;1.000001;0.000000;0.000000;1.119357;1.119357;1.119357;1.000000;
15.420612;0.781179;1.119357;5.841297;1.000001;0.711009;1.119357;4.667747;1.000001;0.000000;0.000000;1.119357;1.119357;1.119357;1.000000;
17.605261;0.781179;1.119357;5.841297;1.000001;0.711009;1.119357;4.667747;1.000001;0.000000;0.000000;1.119357;1.119357;1.119357;1.000000;
21.974560;0.781179;1.119358;5.841297;1.000001;0.711009;1.119358;4.667747;1.000001;0.000000;0.000000;1.119358;1.119358;1.119358;1.000000;
25.000000;0.781179;1.119358;5.841297;1.000001;0.711009;1.119358;4.667747;1.000001;0.000000;0.000000;1.119358;1.119358;1.119358;1.000000;
