time;GEN_A1_generator_omegaPu;GEN_A1_generator_PGen;GEN_A1_generator_QGen;GEN_A1_generator_UStatorPu;GEN_A1_voltageRegulator_EfdPu;GEN_A2_generator_omegaPu;GEN_A2_generator_PGen;GEN_A2_generator_QGen;GEN_A2_generator_UStatorPu;GEN_B1_generator_omegaPu;GEN_B1_generator_PGen;GEN_B1_generator_QGen;GEN_B1_generator_UStatorPu;GEN_B1_voltageRegulator_EfdPu;GEN_B2_generator_omegaPu;GEN_B2_generator_PGen;GEN_B2_generator_QGen;GEN_B2_generator_UStatorPu;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_2_value;NETWORK_A_HV1_Upu_value;NETWORK_A_HV2_Upu_value;NETWORK_A_HV3_Upu_value;NETWORK_B_HV1_Upu_value;NETWORK_B_HV2_Upu_value;NETWORK_A_LD1_Upu_value;NETWORK_B_LD2_Upu_value;NETWORK_A_HV1_numcc_value;NETWORK_B_HV1_numcc_value;
1.000008;0.999999;747.621868;-3.763359;1.006335;2.116587;0.999999;150.880453;23.948288;1.015396;1.000000;450.466595;36.649874;0.999540;1.599351;1.000000;107.463483;12.850127;1.002175;0.999999;1.000000;0.999999;1.000000;1.004473;1.004075;1.004257;0.995436;0.996085;0.991352;0.988675;0.000000;1.000000;
1.000016;0.999999;747.622327;-3.763276;1.006335;2.116583;0.999999;150.880258;23.948236;1.015396;1.000000;450.466269;36.649822;0.999540;1.599354;1.000000;107.463699;12.850155;1.002175;0.999999;1.000000;0.999999;1.000000;1.004473;1.004075;1.004258;0.995436;0.996085;0.991352;0.988674;0.000000;1.000000;
1.000032;0.999999;747.623245;-3.763110;1.006336;2.116574;0.999999;150.879869;23.948130;1.015397;1.000000;450.465615;36.649718;0.999540;1.599359;1.000000;107.464131;12.850212;1.002174;0.999999;1.000000;0.999999;1.000000;1.004474;1.004076;1.004258;0.995435;0.996084;0.991353;0.988674;0.000000;1.000000;
1.000064;0.999999;747.625078;-3.762778;1.006337;2.116556;0.999999;150.879091;23.947920;1.015397;1.000000;450.464310;36.649509;0.999539;1.599370;1.000000;107.464995;12.850324;1.002174;0.999999;1.000000;0.999999;1.000000;1.004475;1.004076;1.004259;0.995435;0.996084;0.991353;0.988674;0.000000;1.000000;
1.000128;1.000000;747.628741;-3.762115;1.006338;2.116521;1.000000;150.877539;23.947500;1.015399;0.999999;450.461701;36.649093;0.999538;1.599391;0.999999;107.466720;12.850548;1.002173;1.000000;0.999999;1.000000;0.999999;1.004476;1.004078;1.004261;0.995434;0.996083;0.991355;0.988673;0.000000;1.000000;
1.000256;1.000000;747.636048;-3.760793;1.006342;2.116451;1.000001;150.874443;23.946661;1.015401;0.999999;450.456496;36.648264;0.999536;1.599433;0.999999;107.470162;12.850993;1.002172;1.000000;0.999999;1.000000;0.999999;1.004480;1.004081;1.004264;0.995432;0.996081;0.991358;0.988671;0.000000;1.000000;
1.000512;1.000001;747.650594;-3.758160;1.006349;2.116312;1.000002;150.868292;23.944991;1.015407;0.999998;450.446137;36.646618;0.999532;1.599516;0.999997;107.477014;12.851875;1.002168;1.000001;0.999998;1.000001;0.999998;1.004486;1.004088;1.004270;0.995428;0.996078;0.991365;0.988667;0.000000;1.000000;
1.001024;1.000002;747.679409;-3.752945;1.006363;2.116034;1.000005;150.856148;23.941682;1.015418;0.999996;450.425614;36.643376;0.999523;1.599682;0.999995;107.490595;12.853605;1.002162;1.000003;0.999996;1.000003;0.999996;1.004500;1.004100;1.004283;0.995420;0.996070;0.991378;0.988660;0.000000;1.000000;
1.002048;1.000006;747.735940;-3.742705;1.006390;2.115488;1.000011;150.832487;23.935184;1.015439;0.999993;450.385351;36.637092;0.999507;1.600006;0.999989;107.517261;12.856926;1.002150;1.000007;0.999992;1.000007;0.999992;1.004526;1.004125;1.004309;0.995404;0.996056;0.991404;0.988646;0.000000;1.000000;
1.004096;1.000013;747.844688;-3.722978;1.006443;2.114426;1.000023;150.787639;23.922653;1.015480;0.999986;450.307890;36.625295;0.999476;1.600626;0.999979;107.568646;12.863035;1.002126;1.000014;0.999985;1.000014;0.999985;1.004577;1.004173;1.004358;0.995374;0.996029;0.991454;0.988619;0.000000;1.000000;
1.008192;1.000026;748.045539;-3.686367;1.006543;2.112422;1.000047;150.707547;23.899334;1.015559;0.999972;450.164791;36.604638;0.999420;1.601761;0.999958;107.663886;12.873227;1.002082;1.000030;0.999970;1.000030;0.999970;1.004673;1.004264;1.004452;0.995320;0.995979;0.991549;0.988570;0.000000;1.000000;
1.016384;1.000053;748.385206;-3.623353;1.006722;2.108850;1.000095;150.583615;23.858794;1.015701;0.999945;449.922578;36.573928;0.999325;1.603647;0.999915;107.826102;12.886366;1.002007;1.000061;0.999939;1.000061;0.999939;1.004845;1.004428;1.004619;0.995229;0.995895;0.991719;0.988486;0.000000;1.000000;
1.032768;1.000106;748.848279;-3.530126;1.007006;2.103172;1.000192;150.465353;23.796148;1.015932;0.999890;449.591401;36.547070;0.999201;1.606128;0.999829;108.050140;12.889502;1.001899;1.000121;0.999879;1.000121;0.999879;1.005120;1.004690;1.004887;0.995107;0.995781;0.991990;0.988373;0.000000;1.000000;
1.065536;1.000210;749.111963;-3.427703;1.007366;2.095980;1.000379;150.643170;23.710722;1.016237;0.999783;449.402030;36.584998;0.999136;1.607441;0.999656;108.175393;12.837519;1.001806;1.000241;0.999760;1.000241;0.999760;1.005471;1.005030;1.005232;0.995039;0.995706;0.992336;0.988299;0.000000;1.000000;
1.098304;1.000312;748.705505;-3.393437;1.007527;2.092743;1.000552;151.253711;23.648637;1.016387;0.999676;449.698790;36.700783;0.999239;1.605374;0.999490;107.954555;12.739985;1.001831;1.000356;0.999642;1.000356;0.999642;1.005633;1.005193;1.005395;0.995131;0.995775;0.992496;0.988367;0.000000;1.000000;
1.131072;1.000416;747.878118;-3.383291;1.007574;2.091808;1.000703;152.143908;23.582611;1.016437;0.999570;450.316052;36.850191;0.999435;1.601457;0.999335;107.490620;12.628209;1.001925;1.000468;0.999527;1.000468;0.999527;1.005685;1.005249;1.005449;0.995313;0.995923;0.992546;0.988514;0.000000;1.000000;
