time;GEN_generator_delta;GEN_generator_omegaPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;
1.896238;0.197763;0.993809;0.570018;0.036280;1.001783;
1.899465;0.191516;0.993863;0.552237;0.036781;1.002083;
1.902692;0.185328;0.993925;0.534602;0.037261;1.002371;
1.905919;0.179207;0.993995;0.517137;0.037721;1.002646;
1.909146;0.173160;0.994073;0.499867;0.038160;1.002909;
1.912373;0.167197;0.994158;0.482816;0.038579;1.003159;
1.915600;0.161324;0.994252;0.466007;0.038977;1.003397;
1.918827;0.155550;0.994353;0.449465;0.039354;1.003623;
1.922053;0.149882;0.994461;0.433212;0.039712;1.003837;
1.925280;0.144327;0.994577;0.417272;0.040049;1.004038;
1.928507;0.138894;0.994700;0.401666;0.040367;1.004228;
1.931734;0.133589;0.994830;0.386417;0.040666;1.004407;
1.934961;0.128419;0.994967;0.371546;0.040946;1.004574;
1.938188;0.123391;0.995110;0.357074;0.041207;1.004730;
1.941415;0.118511;0.995260;0.343021;0.041451;1.004876;
1.944642;0.113786;0.995416;0.329406;0.041678;1.005011;
1.947869;0.109223;0.995578;0.316249;0.041889;1.005137;
1.951096;0.104827;0.995746;0.303568;0.042083;1.005253;
1.954322;0.100604;0.995919;0.291381;0.042263;1.005360;
1.957549;0.096559;0.996098;0.279703;0.042428;1.005459;
1.960776;0.092698;0.996282;0.268552;0.042579;1.005549;
1.964003;0.089026;0.996471;0.257943;0.042717;1.005631;
1.967230;0.085548;0.996664;0.247889;0.042843;1.005706;
1.970457;0.082267;0.996862;0.238406;0.042957;1.005774;
1.973684;0.079189;0.997064;0.229505;0.043060;1.005836;
1.976911;0.076318;0.997269;0.221199;0.043152;1.005891;
1.980138;0.073656;0.997478;0.213498;0.043235;1.005940;
1.983365;0.071208;0.997690;0.206414;0.043308;1.005984;
1.986591;0.068976;0.997905;0.199954;0.043373;1.006022;
1.989818;0.066963;0.998123;0.194129;0.043430;1.006056;
1.993045;0.065173;0.998343;0.188946;0.043479;1.006085;
1.996272;0.063606;0.998565;0.184410;0.043520;1.006110;
1.999499;0.062265;0.998789;0.180528;0.043555;1.006131;
2.002726;0.061152;0.999014;0.177305;0.043582;1.006148;
2.005953;0.060268;0.999241;0.174745;0.043606;1.006161;
2.012407;0.059190;0.999695;0.171624;0.043633;1.006177;
2.018215;0.059009;1.000105;0.171097;0.043637;1.006180;
2.024023;0.059573;1.000514;0.172733;0.043624;1.006172;
2.029179;0.060697;1.000874;0.175987;0.043595;1.006155;
2.034334;0.062401;1.001231;0.180921;0.043552;1.006129;
2.039490;0.064679;1.001583;0.187516;0.043492;1.006093;
2.044645;0.067521;1.001930;0.195745;0.043414;1.006047;
2.049285;0.070555;1.002235;0.204524;0.043327;1.005995;
2.053925;0.074028;1.002534;0.214575;0.043223;1.005933;
2.058101;0.077523;1.002797;0.224685;0.043114;1.005868;
2.062276;0.081358;1.003053;0.235776;0.042988;1.005793;
2.066035;0.085093;1.003277;0.246575;0.042859;1.005716;
2.069793;0.089089;1.003495;0.258125;0.042715;1.005630;
2.073551;0.093339;1.003707;0.270403;0.042555;1.005534;
2.077310;0.097835;1.003911;0.283386;0.042377;1.005428;
2.081068;0.102567;1.004108;0.297046;0.042180;1.005311;
2.084450;0.107021;1.004279;0.309899;0.041987;1.005196;
2.087833;0.111654;1.004443;0.323259;0.041778;1.005071;
2.091215;0.116458;1.004601;0.337105;0.041551;1.004935;
2.094598;0.121425;1.004752;0.351414;0.041307;1.004789;
2.097980;0.126549;1.004895;0.366165;0.041044;1.004633;
2.101363;0.131821;1.005031;0.381333;0.040763;1.004465;
2.104745;0.137234;1.005160;0.396895;0.040462;1.004285;
2.108127;0.142779;1.005281;0.412825;0.040141;1.004093;
2.111510;0.148448;1.005394;0.429100;0.039800;1.003889;
2.114892;0.154234;1.005499;0.445692;0.039439;1.003673;
2.118275;0.160126;1.005596;0.462576;0.039056;1.003445;
2.121657;0.166117;1.005684;0.479726;0.038653;1.003204;
2.125040;0.172197;1.005764;0.497114;0.038229;1.002950;
2.128422;0.178358;1.005836;0.514714;0.037784;1.002683;
2.131805;0.184590;1.005899;0.532498;0.037317;1.002404;
2.135187;0.190884;1.005953;0.550438;0.036831;1.002113;
2.138570;0.197231;1.005998;0.568507;0.036323;1.001809;
2.141952;0.203622;1.006035;0.586677;0.035796;1.001493;
2.145334;0.210047;1.006063;0.604921;0.035249;1.001166;
2.148717;0.216498;1.006082;0.623210;0.034683;1.000826;
2.152099;0.222963;1.006092;0.641516;0.034099;1.000476;
2.155482;0.229435;1.006093;0.659814;0.033497;1.000115;
2.158864;0.235903;1.006086;0.678074;0.032879;0.999744;
2.162247;0.242359;1.006069;0.696270;0.032246;0.999364;
2.165629;0.248793;1.006044;0.714376;0.031597;0.998975;
2.169012;0.255195;1.006011;0.732364;0.030936;0.998577;
2.172394;0.261557;1.005968;0.750209;0.030262;0.998172;
2.175777;0.267870;1.005917;0.767886;0.029577;0.997761;
2.179159;0.274124;1.005858;0.785368;0.028884;0.997344;
2.182541;0.280310;1.005790;0.802631;0.028182;0.996921;
2.185924;0.286421;1.005714;0.819651;0.027474;0.996495;
2.189306;0.292446;1.005630;0.836405;0.026761;0.996066;
2.192689;0.298378;1.005539;0.852870;0.026045;0.995635;
2.196071;0.304209;1.005439;0.869023;0.025328;0.995202;
2.199454;0.309929;1.005332;0.884843;0.024611;0.994770;
2.202836;0.315531;1.005217;0.900308;0.023897;0.994339;
2.206219;0.321008;1.005095;0.915400;0.023187;0.993910;
2.209601;0.326352;1.004966;0.930097;0.022482;0.993485;
2.212984;0.331554;1.004830;0.944381;0.021786;0.993064;
2.216366;0.336609;1.004687;0.958235;0.021099;0.992649;
2.219748;0.341509;1.004538;0.971641;0.020423;0.992241;
2.223131;0.346247;1.004383;0.984582;0.019761;0.991841;
2.226513;0.350817;1.004222;0.997044;0.019115;0.991449;
2.229896;0.355212;1.004055;1.009010;0.018485;0.991068;
2.233278;0.359428;1.003882;1.020467;0.017874;0.990698;
2.236661;0.363457;1.003704;1.031401;0.017283;0.990340;
2.240043;0.367295;1.003522;1.041801;0.016715;0.989996;
2.243426;0.370936;1.003334;1.051654;0.016170;0.989666;
2.246808;0.374376;1.003142;1.060948;0.015651;0.989351;
2.250191;0.377610;1.002946;1.069675;0.015159;0.989052;
2.253573;0.380633;1.002746;1.077824;0.014695;0.988771;
2.256955;0.383442;1.002543;1.085386;0.014261;0.988508;
2.260338;0.386034;1.002336;1.092355;0.013858;0.988263;
2.263720;0.388404;1.002126;1.098721;0.013487;0.988038;
2.267103;0.390549;1.001914;1.104480;0.013150;0.987833;
2.270485;0.392468;1.001699;1.109625;0.012846;0.987648;
2.273868;0.394157;1.001481;1.114151;0.012578;0.987485;
2.277250;0.395614;1.001263;1.118054;0.012346;0.987344;
2.280633;0.396838;1.001042;1.121330;0.012150;0.987225;
2.284015;0.397827;1.000820;1.123976;0.011991;0.987129;
2.287398;0.398580;1.000598;1.125990;0.011869;0.987055;
2.294162;0.399376;1.000152;1.128116;0.011742;0.986977;
2.300927;0.399223;0.999705;1.127708;0.011766;0.986992;
2.307692;0.398124;0.999261;1.124771;0.011946;0.987100;
2.314457;0.396087;0.998822;1.119321;0.012275;0.987299;
2.321222;0.393124;0.998390;1.111387;0.012752;0.987587;
2.327310;0.389683;0.998009;1.102157;0.013286;0.987916;
2.332768;0.385988;0.997677;1.092233;0.013866;0.988267;
2.337680;0.382181;0.997385;1.081991;0.014457;0.988626;
2.342591;0.377929;0.997100;1.070535;0.015111;0.989023;
2.347012;0.373732;0.996852;1.059210;0.015749;0.989410;
2.351432;0.369196;0.996612;1.046948;0.016431;0.989824;
2.355853;0.364333;0.996380;1.033776;0.017154;0.990262;
2.359831;0.359684;0.996178;1.021164;0.017837;0.990675;
2.363810;0.354789;0.995985;1.007858;0.018546;0.991105;
2.367788;0.349656;0.995799;0.993882;0.019280;0.991549;
2.371767;0.344297;0.995621;0.979260;0.020035;0.992006;
2.375745;0.338721;0.995452;0.964018;0.020809;0.992474;
2.379326;0.333527;0.995308;0.949792;0.021520;0.992903;
2.382906;0.328175;0.995172;0.935105;0.022240;0.993339;
2.386487;0.322673;0.995043;0.919981;0.022969;0.993779;
2.390068;0.317031;0.994922;0.904442;0.023704;0.994223;
2.393648;0.311257;0.994809;0.888511;0.024444;0.994669;
2.397229;0.305361;0.994704;0.872213;0.025185;0.995116;
2.400810;0.299352;0.994608;0.855571;0.025927;0.995563;
