time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;SM_pss_UPssPu;
3.259487;0.999882;19.349462;1.001289;2.137484;0.000006;
3.317343;1.000118;19.339274;1.000626;2.258777;-0.000003;
3.375198;1.000334;19.432649;0.999876;2.402566;-0.000011;
3.433054;1.000496;19.616141;0.999145;2.549535;-0.000017;
3.490910;1.000580;19.860997;0.998528;2.679435;-0.000021;
3.548765;1.000571;20.128640;0.998122;2.772777;-0.000021;
3.606621;1.000469;20.376813;0.998003;2.813122;-0.000018;
3.636931;1.000371;20.479124;0.998117;2.800740;-0.000015;
3.667241;1.000258;20.554512;0.998322;2.769879;-0.000011;
3.697551;1.000136;20.600369;0.998606;2.722222;-0.000007;
3.758172;0.999891;20.619985;0.999310;2.596512;0.000002;
3.818792;0.999666;20.527235;1.000146;2.437443;0.000011;
3.879412;0.999498;20.334379;1.000967;2.272702;0.000018;
3.940032;0.999417;20.073629;1.001610;2.134120;0.000021;
4.000652;0.999440;19.790724;1.001956;2.048372;0.000021;
4.061273;0.999563;19.536980;1.001946;2.030640;0.000018;
4.115831;0.999745;19.370996;1.001642;2.074342;0.000011;
4.170389;0.999968;19.293001;1.001101;2.167642;0.000003;
4.224947;1.000199;19.315630;1.000417;2.295766;-0.000006;
4.279505;1.000404;19.436131;0.999666;2.441796;-0.000014;
4.338260;1.000561;19.654669;0.998900;2.597064;-0.000020;
4.397015;1.000626;19.930237;0.998286;2.728419;-0.000023;
4.455770;1.000587;20.218057;0.997926;2.814845;-0.000022;
4.514525;1.000449;20.471286;0.997898;2.839497;-0.000018;
4.573280;1.000233;20.647611;0.998229;2.793716;-0.000010;
4.632035;0.999974;20.716180;0.998887;2.680642;-0.000001;
4.690790;0.999715;20.662968;0.999769;2.517254;0.000008;
4.749545;0.999498;20.493101;1.000713;2.332098;0.000017;
4.808300;0.999361;20.231932;1.001540;2.159848;0.000023;
4.867055;0.999331;19.921847;1.002096;2.033074;0.000025;
4.925810;0.999413;19.615499;1.002284;1.974466;0.000023;
4.956763;0.999514;19.479450;1.002176;1.984415;0.000020;
4.987716;0.999635;19.373852;1.001964;2.015325;0.000015;
5.018669;0.999770;19.302733;1.001669;2.064511;0.000010;
5.080575;1.000052;19.246245;1.000938;2.194989;-0.000000;
5.142481;1.000321;19.324916;1.000062;2.361044;-0.000010;
5.204387;1.000533;19.525179;0.999177;2.537350;-0.000019;
5.266293;1.000648;19.810873;0.998413;2.696704;-0.000023;
5.328199;1.000646;20.130890;0.997902;2.812721;-0.000024;
5.383915;1.000542;20.403587;0.997745;2.861783;-0.000021;
5.413214;1.000439;20.519852;0.997846;2.852887;-0.000018;
5.442514;1.000320;20.608755;0.998044;2.824247;-0.000014;
5.471813;1.000190;20.667363;0.998331;2.777223;-0.000009;
5.530413;0.999922;20.709047;0.999064;2.648296;0.000001;
5.589012;0.999668;20.630759;0.999968;2.478268;0.000010;
5.647611;0.999467;20.441200;1.000893;2.294861;0.000018;
5.706210;0.999352;20.169002;1.001667;2.131534;0.000023;
5.764809;0.999344;19.858634;1.002148;2.018591;0.000025;
5.823408;0.999447;19.562884;1.002256;1.975670;0.000022;
5.852518;0.999548;19.443018;1.002122;1.991530;0.000018;
5.881627;0.999667;19.351237;1.001901;2.025481;0.000014;
5.910737;0.999797;19.290727;1.001608;2.074843;0.000009;
5.968956;1.000064;19.246152;1.000904;2.201291;-0.000000;
6.027176;1.000319;19.322143;1.000073;2.358809;-0.000010;
6.085395;1.000522;19.507517;0.999232;2.526008;-0.000018;
6.143614;1.000642;19.772615;0.998490;2.680025;-0.000023;
6.201833;1.000658;20.075139;0.997959;2.798260;-0.000024;
6.260053;1.000566;20.367003;0.997736;2.860592;-0.000022;
6.290536;1.000465;20.493909;0.997816;2.856319;-0.000018;
6.321019;1.000344;20.592135;0.998002;2.830508;-0.000014;
6.351502;1.000210;20.658089;0.998287;2.784566;-0.000010;
6.412469;0.999934;20.708945;0.999030;2.654448;0.000000;
6.473435;0.999670;20.630636;0.999963;2.479240;0.000010;
6.534402;0.999463;20.432645;1.000918;2.289563;0.000018;
6.595368;0.999349;20.147607;1.001706;2.122760;0.000024;
6.656335;0.999352;19.826119;1.002169;2.012078;0.000025;
6.717301;0.999473;19.526926;1.002230;1.977723;0.000021;
6.745322;0.999575;19.417464;1.002079;1.997498;0.000017;
6.773343;0.999692;19.334860;1.001850;2.033605;0.000013;
6.801365;0.999819;19.281665;1.001557;2.083495;0.000009;
6.857407;1.000077;19.246519;1.000866;2.208312;-0.000001;
6.913449;1.000323;19.323525;1.000060;2.361240;-0.000010;
6.969491;1.000520;19.502382;0.999247;2.522952;-0.000018;
7.025533;1.000640;19.756597;0.998522;2.672963;-0.000023;
7.081575;1.000663;20.048429;0.997989;2.790822;-0.000025;
7.137617;1.000585;20.334526;0.997736;2.858139;-0.000022;
7.169355;1.000484;20.471328;0.997797;2.857892;-0.000019;
7.201093;1.000362;20.577907;0.997976;2.834225;-0.000015;
7.232831;1.000224;20.649969;0.998260;2.788628;-0.000010;
7.296306;0.999938;20.706969;0.999021;2.655948;0.000000;
7.359782;0.999666;20.625103;0.999985;2.474729;0.000010;
7.423258;0.999455;20.415787;1.000968;2.279199;0.000019;
7.486734;0.999348;20.116533;1.001758;2.110717;0.000024;
7.550210;0.999365;19.784596;1.002189;2.005133;0.000024;
7.607338;0.999489;19.509464;1.002206;1.980759;0.000020;
7.664466;0.999696;19.305986;1.001875;2.026649;0.000013;
7.715882;0.999931;19.212506;1.001319;2.121607;0.000005;
7.767297;1.000178;19.219579;1.000613;2.252988;-0.000005;
7.818712;1.000405;19.327046;0.999824;2.405333;-0.000013;
7.870128;1.000583;19.521475;0.999043;2.561608;-0.000020;
7.921543;1.000687;19.778365;0.998357;2.704510;-0.000025;
7.972959;1.000702;20.065309;0.997851;2.817085;-0.000026;
8.024374;1.000627;20.346041;0.997597;2.883944;-0.000024;
8.055636;1.000523;20.491154;0.997651;2.885884;-0.000021;
8.086898;1.000397;20.605681;0.997825;2.863581;-0.000016;
8.118159;1.000254;20.685113;0.998111;2.818363;-0.000011;
8.180683;0.999955;20.754560;0.998888;2.683753;-0.000001;
8.243206;0.999666;20.680249;0.999893;2.496010;0.000010;
8.305730;0.999437;20.471453;1.000936;2.289482;0.000019;
8.368253;0.999311;20.164140;1.001800;2.106914;0.000025;
8.430776;0.999313;19.815311;1.002304;1.986564;0.000026;
8.487048;0.999428;19.518416;1.002374;1.950450;0.000023;
8.514775;0.999532;19.399888;1.002229;1.968538;0.000019;
8.542502;0.999653;19.308529;1.001999;2.003934;0.000015;
8.570229;0.999785;19.247366;1.001700;2.054375;0.000010;
8.625683;1.000056;19.199208;1.000993;2.181556;-0.000000;
