time;NETWORK_B1_v_a;NETWORK_B1_Urms;NETWORK_LINE_i_a;NETWORK_LINE_Irms;
0.002640;0.992128;0.966823;0.467871;0.501338;
0.002650;0.990706;0.967611;0.466668;0.501558;
0.002660;0.989259;0.968388;0.465429;0.501763;
0.002670;0.987785;0.969156;0.464155;0.501952;
0.002680;0.986285;0.969913;0.462846;0.502128;
0.002690;0.984755;0.970658;0.461502;0.502289;
0.002700;0.983197;0.971392;0.460124;0.502436;
0.002710;0.981607;0.972114;0.458713;0.502569;
0.002720;0.979987;0.972823;0.457268;0.502688;
0.002730;0.978334;0.973519;0.455791;0.502795;
0.002740;0.976649;0.974202;0.454281;0.502888;
0.002750;0.974930;0.974871;0.452740;0.502969;
0.002760;0.973176;0.975526;0.451167;0.503038;
0.002770;0.971387;0.976166;0.449564;0.503095;
0.002780;0.969563;0.976792;0.447931;0.503140;
0.002790;0.967702;0.977403;0.446269;0.503174;
0.002800;0.965804;0.978000;0.444577;0.503197;
0.002810;0.963869;0.978581;0.442857;0.503209;
0.002820;0.961896;0.979146;0.441110;0.503212;
0.002830;0.959885;0.979696;0.439335;0.503204;
0.002840;0.957835;0.980230;0.437534;0.503186;
0.002850;0.955747;0.980749;0.435707;0.503160;
0.002860;0.953619;0.981251;0.433855;0.503124;
0.002870;0.951451;0.981738;0.431979;0.503080;
0.002880;0.949244;0.982208;0.430078;0.503027;
0.002890;0.946997;0.982662;0.428154;0.502967;
0.002900;0.944709;0.983101;0.426208;0.502899;
0.002910;0.942382;0.983523;0.424239;0.502824;
0.002920;0.940014;0.983929;0.422249;0.502742;
0.002930;0.937606;0.984320;0.420239;0.502654;
0.002940;0.935158;0.984694;0.418208;0.502560;
0.002950;0.932669;0.985053;0.416158;0.502459;
0.002960;0.930140;0.985395;0.414090;0.502353;
0.002970;0.927571;0.985723;0.412003;0.502242;
0.002980;0.924962;0.986034;0.409899;0.502126;
0.002990;0.922313;0.986331;0.407779;0.502005;
0.003000;0.919624;0.986612;0.405642;0.501880;
0.003010;0.916896;0.986878;0.403490;0.501751;
0.003020;0.914129;0.987129;0.401322;0.501619;
0.003030;0.911322;0.987365;0.399141;0.501483;
0.003040;0.908477;0.987588;0.396946;0.501344;
0.003050;0.905593;0.987795;0.394739;0.501202;
0.003060;0.902671;0.987989;0.392519;0.501058;
0.003070;0.899712;0.988169;0.390287;0.500911;
0.003080;0.896715;0.988335;0.388044;0.500762;
0.003090;0.893680;0.988488;0.385791;0.500612;
0.003100;0.890610;0.988628;0.383528;0.500460;
0.003110;0.887503;0.988756;0.381255;0.500307;
