time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_edPPu;GEN_generator_eqPPPu;GEN_generator_edPPPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_psiAgPu;GEN_generator_psiArgPu;GEN_generator_satDPu;GEN_generator_satQPu;GEN_generator_UPu;
0.712357;0.949403;0.999972;0.852179;0.562386;0.780919;0.677736;0.665370;0.076854;1.024748;1.051366;1.144009;1.136808;1.006525;
0.729771;0.949260;0.999974;0.851905;0.562776;0.780735;0.677980;0.664164;0.076977;1.024781;1.051351;1.143995;1.136795;1.006561;
0.747185;0.949132;0.999978;0.851638;0.563136;0.780556;0.678200;0.663057;0.077069;1.024804;1.051330;1.143976;1.136777;1.006591;
0.764600;0.949034;0.999985;0.851377;0.563467;0.780381;0.678399;0.662070;0.077131;1.024819;1.051306;1.143954;1.136756;1.006615;
0.782014;0.948976;0.999993;0.851122;0.563771;0.780205;0.678583;0.661223;0.077162;1.024826;1.051279;1.143929;1.136733;1.006632;
0.799428;0.948969;1.000003;0.850872;0.564051;0.780027;0.678755;0.660530;0.077163;1.024824;1.051250;1.143902;1.136707;1.006642;
0.816842;0.949022;1.000015;0.850627;0.564310;0.779843;0.678921;0.660001;0.077136;1.024815;1.051219;1.143875;1.136681;1.006646;
0.834257;0.949138;1.000027;0.850386;0.564549;0.779652;0.679083;0.659641;0.077082;1.024798;1.051188;1.143846;1.136654;1.006644;
0.851671;0.949323;1.000040;0.850148;0.564773;0.779453;0.679246;0.659450;0.077003;1.024774;1.051156;1.143817;1.136626;1.006635;
0.869085;0.949578;1.000053;0.849913;0.564983;0.779242;0.679411;0.659425;0.076899;1.024744;1.051125;1.143789;1.136599;1.006620;
0.886499;0.949903;1.000066;0.849680;0.565182;0.779020;0.679582;0.659559;0.076774;1.024708;1.051094;1.143760;1.136572;1.006599;
0.903914;0.950297;1.000079;0.849448;0.565372;0.778785;0.679762;0.659843;0.076629;1.024666;1.051064;1.143732;1.136546;1.006573;
0.921328;0.950757;1.000090;0.849217;0.565557;0.778537;0.679952;0.660262;0.076466;1.024619;1.051034;1.143705;1.136520;1.006543;
0.938742;0.951279;1.000101;0.848985;0.565739;0.778276;0.680154;0.660804;0.076287;1.024569;1.051004;1.143679;1.136495;1.006508;
0.956156;0.951856;1.000111;0.848751;0.565918;0.778001;0.680368;0.661448;0.076095;1.024514;1.050976;1.143652;1.136470;1.006470;
0.973571;0.952481;1.000119;0.848516;0.566098;0.777714;0.680595;0.662174;0.075892;1.024457;1.050947;1.143626;1.136445;1.006429;
0.990985;0.953145;1.000125;0.848278;0.566281;0.777414;0.680835;0.662960;0.075680;1.024397;1.050919;1.143600;1.136420;1.006386;
1.000000;0.953500;1.000128;0.848154;0.566377;0.777255;0.680964;0.663381;0.075568;1.024366;1.050904;1.143587;1.136407;1.006363;
1.000000;0.953500;1.000128;0.848154;0.566377;0.777255;0.680964;0.000000;0.000000;0.712340;0.902260;1.034873;1.033129;0.000000;
1.000001;0.953500;1.000128;0.848154;0.566377;0.777246;0.680952;0.000000;0.000000;0.712190;0.902070;1.034839;1.033097;0.000000;
1.000002;0.953500;1.000128;0.848154;0.566377;0.777236;0.680941;0.000000;0.000000;0.712179;0.902055;1.034832;1.033090;0.000000;
1.000004;0.953500;1.000128;0.848154;0.566377;0.777217;0.680917;0.000000;0.000000;0.712155;0.902025;1.034816;1.033075;0.000000;
1.000008;0.953500;1.000128;0.848154;0.566377;0.777180;0.680869;0.000000;0.000000;0.712107;0.901965;1.034785;1.033046;0.000000;
1.000016;0.953501;1.000129;0.848154;0.566377;0.777105;0.680773;0.000000;0.000000;0.712012;0.901844;1.034723;1.032986;0.000000;
1.000032;0.953501;1.000130;0.848154;0.566377;0.776955;0.680582;0.000000;0.000000;0.711823;0.901604;1.034598;1.032868;0.000000;
1.000064;0.953503;1.000133;0.848155;0.566377;0.776656;0.680200;0.000000;0.000000;0.711444;0.901125;1.034350;1.032633;0.000000;
1.000128;0.953505;1.000138;0.848156;0.566377;0.776058;0.679437;0.000000;0.000000;0.710688;0.900168;1.033858;1.032165;0.000000;
1.000256;0.953511;1.000149;0.848159;0.566376;0.774866;0.677915;0.000000;0.000000;0.709185;0.898263;1.032887;1.031243;0.000000;
1.000512;0.953524;1.000170;0.848162;0.566370;0.772499;0.674888;0.000000;0.000000;0.706206;0.894490;1.031001;1.029451;0.000000;
1.001024;0.953555;1.000213;0.848163;0.566341;0.767829;0.668899;0.000000;0.000000;0.700363;0.887089;1.027441;1.026069;0.000000;
1.001536;0.953593;1.000255;0.848158;0.566290;0.763244;0.662996;0.000000;0.000000;0.694667;0.879874;1.024155;1.022947;0.000000;
1.002048;0.953637;1.000298;0.848146;0.566218;0.758741;0.657177;0.000000;0.000000;0.689114;0.872840;1.021130;1.020073;0.000000;
1.002560;0.953688;1.000340;0.848127;0.566125;0.754319;0.651440;0.000000;0.000000;0.683698;0.865981;1.018354;1.017436;0.000000;
1.003072;0.953747;1.000383;0.848102;0.566011;0.749975;0.645783;0.000000;0.000000;0.678414;0.859289;1.015815;1.015024;0.000000;
1.003584;0.953812;1.000426;0.848071;0.565877;0.745708;0.640205;0.000000;0.000000;0.673259;0.852759;1.013504;1.012828;0.000000;
1.004096;0.953883;1.000468;0.848034;0.565723;0.741515;0.634703;0.000000;0.000000;0.668227;0.846385;1.011409;1.010838;0.000000;
1.004608;0.953962;1.000511;0.847990;0.565551;0.737396;0.629277;0.000000;0.000000;0.663314;0.840163;1.009521;1.009045;0.000000;
1.005120;0.954048;1.000553;0.847941;0.565359;0.733349;0.623924;0.000000;0.000000;0.658517;0.834086;1.007830;1.007438;0.000000;
1.005632;0.954140;1.000596;0.847886;0.565149;0.729371;0.618643;0.000000;0.000000;0.653831;0.828151;1.006328;1.006011;0.000000;
1.006144;0.954239;1.000638;0.847826;0.564921;0.725462;0.613433;0.000000;0.000000;0.649252;0.822351;1.005006;1.004756;0.000000;
1.006656;0.954346;1.000681;0.847759;0.564676;0.721620;0.608291;0.000000;0.000000;0.644777;0.816684;1.003856;1.003663;0.000000;
1.007168;0.954458;1.000724;0.847687;0.564413;0.717844;0.603218;0.000000;0.000000;0.640403;0.811144;1.002871;1.002727;0.000000;
1.008192;0.954705;1.000809;0.847527;0.563837;0.710482;0.593267;0.000000;0.000000;0.631943;0.800428;1.001366;1.001297;0.000000;
1.009113;0.954950;1.000885;0.847365;0.563261;0.704068;0.584531;0.000000;0.000000;0.624641;0.791179;1.000503;1.000477;0.000000;
