time;NETWORK_B1_v_a;
0.005890;-0.178094;
0.005900;-0.181119;
0.005910;-0.184996;
0.005920;-0.189724;
0.005930;-0.195297;
0.005940;-0.201698;
0.005950;-0.208906;
0.005960;-0.216889;
0.005970;-0.225612;
0.005980;-0.235031;
0.005990;-0.245097;
0.006000;-0.255754;
0.006010;-0.266942;
0.006020;-0.278596;
0.006030;-0.290648;
0.006040;-0.303026;
0.006050;-0.315655;
0.006060;-0.328459;
0.006070;-0.341359;
0.006080;-0.354277;
0.006090;-0.367134;
0.006100;-0.379854;
0.006110;-0.392360;
0.006120;-0.404578;
0.006130;-0.416438;
0.006140;-0.427872;
0.006150;-0.438817;
0.006160;-0.449214;
0.006170;-0.459011;
0.006180;-0.468158;
0.006190;-0.476614;
0.006200;-0.484344;
0.006210;-0.491319;
0.006220;-0.497516;
0.006230;-0.502922;
0.006240;-0.507528;
0.006250;-0.511334;
0.006260;-0.514346;
0.006270;-0.516579;
0.006280;-0.518053;
0.006290;-0.518795;
0.006300;-0.518839;
0.006310;-0.518226;
0.006320;-0.517000;
0.006330;-0.515213;
0.006340;-0.512921;
0.006350;-0.510183;
0.006360;-0.507064;
0.006370;-0.503630;
0.006380;-0.499951;
0.006390;-0.496098;
0.006400;-0.492143;
0.006410;-0.488160;
0.006420;-0.484222;
0.006430;-0.480400;
0.006440;-0.476766;
0.006450;-0.473388;
0.006460;-0.470332;
0.006470;-0.467662;
0.006480;-0.465437;
0.006490;-0.463711;
0.006500;-0.462535;
0.006510;-0.461953;
0.006520;-0.462004;
0.006530;-0.462722;
0.006540;-0.464135;
0.006550;-0.466262;
0.006560;-0.469118;
0.006570;-0.472710;
0.006580;-0.477040;
0.006590;-0.482101;
0.006600;-0.487880;
0.006610;-0.494359;
0.006620;-0.501512;
0.006630;-0.509308;
0.006640;-0.517710;
0.006650;-0.526675;
0.006660;-0.536157;
0.006670;-0.546103;
0.006680;-0.556457;
0.006690;-0.567160;
0.006700;-0.578150;
0.006710;-0.589362;
0.006720;-0.600729;
0.006730;-0.612184;
0.006740;-0.623659;
0.006750;-0.635085;
0.006760;-0.646395;
0.006770;-0.657523;
0.006780;-0.668403;
0.006790;-0.678976;
0.006800;-0.689180;
0.006810;-0.698962;
0.006820;-0.708268;
0.006830;-0.717053;
0.006840;-0.725275;
0.006850;-0.732895;
0.006860;-0.739883;
0.006870;-0.746213;
0.006880;-0.751866;
0.006890;-0.756826;
0.006900;-0.761088;
0.006910;-0.764650;
0.006920;-0.767517;
0.006930;-0.769700;
0.006940;-0.771216;
0.006950;-0.772090;
0.006960;-0.772349;
0.006970;-0.772028;
0.006980;-0.771167;
0.006990;-0.769808;
0.007000;-0.767999;
0.007010;-0.765794;
0.007020;-0.763247;
0.007030;-0.760415;
0.007040;-0.757360;
0.007050;-0.754142;
0.007060;-0.750825;
0.007070;-0.747472;
0.007080;-0.744148;
0.007090;-0.740914;
0.007100;-0.737833;
0.007110;-0.734964;
0.007120;-0.732366;
0.007130;-0.730094;
0.007140;-0.728200;
0.007150;-0.726731;
0.007160;-0.725732;
0.007170;-0.725243;
0.007180;-0.725297;
0.007190;-0.725926;
0.007200;-0.727152;
0.007210;-0.728995;
0.007220;-0.731468;
0.007230;-0.734578;
0.007240;-0.738326;
0.007250;-0.742708;
0.007260;-0.747713;
0.007270;-0.753326;
0.007280;-0.759526;
0.007290;-0.766285;
0.007300;-0.773572;
0.007310;-0.781350;
0.007320;-0.789580;
0.007330;-0.798215;
0.007340;-0.807209;
0.007350;-0.816510;
0.007360;-0.826063;
0.007370;-0.835813;
0.007380;-0.845703;
0.007390;-0.855672;
0.007400;-0.865663;
0.007410;-0.875615;
0.007420;-0.885471;
0.007430;-0.895171;
0.007440;-0.904660;
0.007450;-0.913884;
0.007460;-0.922791;
0.007470;-0.931333;
0.007480;-0.939464;
0.007490;-0.947142;
0.007500;-0.954332;
0.007510;-0.960999;
0.007520;-0.967117;
0.007530;-0.972661;
0.007540;-0.977615;
0.007550;-0.981966;
0.007560;-0.985706;
0.007570;-0.988834;
0.007580;-0.991354;
0.007590;-0.993275;
0.007600;-0.994611;
0.007610;-0.995383;
0.007620;-0.995614;
0.007630;-0.995334;
0.007640;-0.994576;
0.007650;-0.993378;
0.007660;-0.991782;
0.007670;-0.989832;
0.007680;-0.987576;
0.007690;-0.985063;
0.007700;-0.982347;
0.007710;-0.979480;
0.007720;-0.976518;
0.007730;-0.973515;
0.007740;-0.970528;
0.007750;-0.967610;
0.007760;-0.964816;
0.007770;-0.962198;
0.007780;-0.959806;
0.007790;-0.957690;
0.007800;-0.955894;
0.007810;-0.954461;
0.007820;-0.953429;
0.007830;-0.952834;
0.007840;-0.952706;
0.007850;-0.953071;
0.007860;-0.953952;
0.007870;-0.955364;
0.007880;-0.957320;
0.007890;-0.959826;
0.007900;-0.962885;
0.007910;-0.966494;
0.007920;-0.970642;
0.007930;-0.975319;
0.007940;-0.980505;
0.007950;-0.986177;
0.007960;-0.992309;
0.007970;-0.998870;
0.007980;-1.005825;
0.007990;-1.013135;
0.008000;-1.020758;
0.008010;-1.028651;
0.008020;-1.036766;
0.008030;-1.045055;
0.008040;-1.053468;
0.008050;-1.061953;
0.008060;-1.070461;
0.008070;-1.078938;
0.008080;-1.087333;
0.008090;-1.095596;
0.008100;-1.103679;
0.008110;-1.111533;
0.008120;-1.119113;
0.008130;-1.126378;
0.008140;-1.133286;
0.008150;-1.139803;
0.008160;-1.145894;
0.008170;-1.151531;
0.008180;-1.156690;
0.008190;-1.161349;
0.008200;-1.165493;
0.008210;-1.169110;
0.008220;-1.172193;
0.008230;-1.174741;
0.008240;-1.176757;
0.008250;-1.178247;
0.008260;-1.179223;
0.008270;-1.179704;
0.008280;-1.179708;
0.008290;-1.179261;
0.008300;-1.178392;
0.008310;-1.177134;
0.008320;-1.175521;
0.008330;-1.173592;
0.008340;-1.171390;
0.008350;-1.168956;
0.008360;-1.166336;
0.008370;-1.163577;
0.008380;-1.160726;
0.008390;-1.157831;
0.008400;-1.154941;
0.008410;-1.152102;
0.008420;-1.149363;
0.008430;-1.146769;
0.008440;-1.144363;
0.008450;-1.142189;
0.008460;-1.140286;
0.008470;-1.138692;
0.008480;-1.137440;
0.008490;-1.136560;
0.008500;-1.136081;
0.008510;-1.136026;
0.008520;-1.136414;
0.008530;-1.137260;
0.008540;-1.138574;
0.008550;-1.140364;
0.008560;-1.142632;
0.008570;-1.145375;
0.008580;-1.148586;
0.008590;-1.152254;
0.008600;-1.156365;
0.008610;-1.160898;
0.008620;-1.165831;
0.008630;-1.171137;
0.008640;-1.176787;
0.008650;-1.182746;
0.008660;-1.188979;
0.008670;-1.195448;
0.008680;-1.202112;
0.008690;-1.208930;
0.008700;-1.215858;
0.008710;-1.222851;
0.008720;-1.229865;
0.008730;-1.236854;
0.008740;-1.243775;
0.008750;-1.250584;
0.008760;-1.257236;
0.008770;-1.263692;
0.008780;-1.269911;
0.008790;-1.275857;
0.008800;-1.281494;
0.008810;-1.286790;
0.008820;-1.291716;
0.008830;-1.296248;
0.008840;-1.300362;
0.008850;-1.304041;
0.008860;-1.307270;
0.008870;-1.310039;
0.008880;-1.312341;
0.008890;-1.314174;
0.008900;-1.315541;
0.008910;-1.316446;
0.008920;-1.316901;
0.008930;-1.316919;
0.008940;-1.316518;
0.008950;-1.315719;
0.008960;-1.314547;
0.008970;-1.313029;
0.008980;-1.311196;
0.008990;-1.309082;
0.009000;-1.306722;
0.009010;-1.304154;
0.009020;-1.301416;
0.009030;-1.298550;
0.009040;-1.295595;
0.009050;-1.292595;
0.009060;-1.289591;
0.009070;-1.286625;
0.009080;-1.283737;
0.009090;-1.280967;
0.009100;-1.278355;
0.009110;-1.275937;
0.009120;-1.273748;
0.009130;-1.271821;
0.009140;-1.270185;
0.009150;-1.268868;
0.009160;-1.267894;
0.009170;-1.267284;
0.009180;-1.267054;
0.009190;-1.267218;
0.009200;-1.267787;
0.009210;-1.268766;
0.009220;-1.270157;
0.009230;-1.271960;
0.009240;-1.274168;
0.009250;-1.276772;
0.009260;-1.279760;
0.009270;-1.283115;
0.009280;-1.286818;
0.009290;-1.290845;
0.009300;-1.295171;
0.009310;-1.299768;
0.009320;-1.304604;
0.009330;-1.309647;
0.009340;-1.314861;
0.009350;-1.320209;
0.009360;-1.325656;
0.009370;-1.331161;
0.009380;-1.336686;
0.009390;-1.342192;
0.009400;-1.347640;
0.009410;-1.352992;
0.009420;-1.358211;
0.009430;-1.363259;
0.009440;-1.368103;
0.009450;-1.372710;
0.009460;-1.377050;
0.009470;-1.381093;
0.009480;-1.384816;
0.009490;-1.388194;
0.009500;-1.391209;
0.009510;-1.393845;
0.009520;-1.396088;
0.009530;-1.397928;
0.009540;-1.399361;
0.009550;-1.400384;
0.009560;-1.400998;
