time;CAPBUS_cap_p_v_0_;MACHINE_generator_terminal_i_0_;MACHINE_generator_omegaPu;MACHINE_generator_UStatorPu;MACHINE_generator_efdPu;MACHINE_generator_ifPu;MACHINE_voltageRegulator_EfdPu;
0.002380;1.089153;-0.749905;0.999995;0.902396;1.826810;0.955477;1.826810;
0.002400;1.085081;-0.746232;0.999995;0.908677;1.701193;0.955568;1.701193;
0.002420;1.080631;-0.742407;0.999995;0.915440;1.565932;0.955624;1.565932;
0.002440;1.075854;-0.738426;0.999995;0.922572;1.423288;0.955642;1.423288;
0.002460;1.070811;-0.734286;0.999994;0.929947;1.275791;0.955620;1.275791;
0.002480;1.065564;-0.729988;0.999994;0.937428;1.126175;0.955554;1.126175;
0.002500;1.060181;-0.725534;0.999994;0.944871;0.977304;0.955445;0.977304;
0.002520;1.054728;-0.720930;0.999994;0.952132;0.832089;0.955290;0.832089;
0.002540;1.049271;-0.716183;0.999994;0.959066;0.693408;0.955092;0.693408;
0.002560;1.043870;-0.711303;0.999994;0.965535;0.564024;0.954851;0.564024;
0.002580;1.038579;-0.706302;0.999994;0.971412;0.446499;0.954570;0.446499;
0.002600;1.033445;-0.701193;0.999994;0.976580;0.343126;0.954250;0.343126;
0.002620;1.028502;-0.695992;0.999994;0.980944;0.255857;0.953898;0.255857;
0.002640;1.023777;-0.690713;0.999994;0.984424;0.186251;0.953515;0.186251;
0.002660;1.019281;-0.685374;0.999994;0.986965;0.135428;0.953109;0.135428;
0.002680;1.015016;-0.679992;0.999993;0.988534;0.104044;0.952684;0.104044;
0.002700;1.010968;-0.674584;0.999993;0.989123;0.092269;0.952247;0.092269;
0.002720;1.007113;-0.669166;0.999993;0.988747;0.099795;0.951803;0.099795;
0.002740;1.003415;-0.663753;0.999993;0.987444;0.125844;0.951359;0.125844;
0.002760;0.999827;-0.658360;0.999993;0.985276;0.169202;0.950920;0.169202;
0.002780;0.996294;-0.653000;0.999993;0.982324;0.228261;0.950492;0.228261;
