time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_psi1d;GEN_generator_psi2q;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_sePu;GEN_generator_UPu;
1.034816;0.488236;1.002890;1.004921;0.669295;-0.102430;0.000000;0.000000;0.103953;0.000000;
1.035737;0.489083;1.002967;1.004599;0.664726;-0.099876;0.000000;0.000000;0.103693;0.000000;
1.036659;0.489953;1.003043;1.004275;0.660278;-0.097390;0.000000;0.000000;0.103431;0.000000;
1.037581;0.490845;1.003119;1.003949;0.655946;-0.094971;0.000000;0.000000;0.103168;0.000000;
1.038502;0.491759;1.003195;1.003622;0.651730;-0.092617;0.000000;0.000000;0.102904;0.000000;
1.039424;0.492696;1.003272;1.003293;0.647624;-0.090327;0.000000;0.000000;0.102639;0.000000;
1.040345;0.493654;1.003348;1.002963;0.643626;-0.088098;0.000000;0.000000;0.102373;0.000000;
1.041267;0.494634;1.003424;1.002631;0.639732;-0.085929;0.000000;0.000000;0.102107;0.000000;
1.042189;0.495637;1.003501;1.002299;0.635941;-0.083818;0.000000;0.000000;0.101839;0.000000;
1.043110;0.496662;1.003577;1.001965;0.632250;-0.081764;0.000000;0.000000;0.101571;0.000000;
1.044032;0.497708;1.003653;1.001629;0.628654;-0.079766;0.000000;0.000000;0.101302;0.000000;
1.044953;0.498777;1.003729;1.001293;0.625153;-0.077821;0.000000;0.000000;0.101033;0.000000;
1.045875;0.499868;1.003806;1.000955;0.621743;-0.075928;0.000000;0.000000;0.100763;0.000000;
1.046797;0.500981;1.003882;1.000616;0.618421;-0.074087;0.000000;0.000000;0.100492;0.000000;
1.047718;0.502116;1.003958;1.000277;0.615186;-0.072294;0.000000;0.000000;0.100221;0.000000;
1.048640;0.503273;1.004034;0.999936;0.612035;-0.070551;0.000000;0.000000;0.099949;0.000000;
1.049561;0.504452;1.004111;0.999594;0.608965;-0.068853;0.000000;0.000000;0.099677;0.000000;
1.050483;0.505653;1.004187;0.999251;0.605975;-0.067202;0.000000;0.000000;0.099404;0.000000;
1.051405;0.506876;1.004263;0.998908;0.603062;-0.065595;0.000000;0.000000;0.099130;0.000000;
1.052326;0.508121;1.004339;0.998563;0.600224;-0.064031;0.000000;0.000000;0.098857;0.000000;
