time;GEN_generator_delta;GEN_generator_omegaPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;
1.818484;0.308747;1.002614;0.617104;0.050338;0.997771;
1.823784;0.313121;1.002643;0.625561;0.050882;0.997444;
1.829085;0.317539;1.002666;0.634091;0.051438;0.997109;
1.834386;0.321990;1.002683;0.642672;0.052007;0.996767;
1.839687;0.326463;1.002693;0.651282;0.052585;0.996419;
1.844987;0.330947;1.002696;0.659901;0.053173;0.996065;
1.850288;0.335431;1.002693;0.668507;0.053769;0.995706;
1.853073;0.337783;1.002688;0.673015;0.054084;0.995516;
1.855858;0.340129;1.002681;0.677508;0.054401;0.995325;
1.858644;0.342467;1.002672;0.681982;0.054719;0.995133;
1.861429;0.344799;1.002662;0.686442;0.055038;0.994941;
1.864214;0.347123;1.002651;0.690882;0.055358;0.994748;
1.866999;0.349437;1.002638;0.695298;0.055679;0.994554;
1.869784;0.351738;1.002623;0.699687;0.056000;0.994360;
1.872570;0.354025;1.002607;0.704047;0.056321;0.994167;
1.875355;0.356298;1.002588;0.708374;0.056642;0.993973;
1.878140;0.358554;1.002568;0.712665;0.056963;0.993779;
1.880925;0.360791;1.002547;0.716918;0.057283;0.993586;
1.883710;0.363009;1.002524;0.721131;0.057601;0.993394;
1.886495;0.365206;1.002499;0.725300;0.057919;0.993202;
1.889281;0.367380;1.002472;0.729422;0.058236;0.993011;
1.892066;0.369530;1.002444;0.733496;0.058550;0.992821;
1.897636;0.373752;1.002383;0.741484;0.059173;0.992444;
1.902650;0.377455;1.002323;0.748481;0.059725;0.992111;
1.907663;0.381060;1.002257;0.755281;0.060266;0.991783;
1.912676;0.384558;1.002188;0.761871;0.060797;0.991461;
1.917690;0.387943;1.002113;0.768239;0.061315;0.991148;
1.922703;0.391207;1.002035;0.774371;0.061818;0.990843;
1.927716;0.394345;1.001952;0.780258;0.062306;0.990548;
1.932730;0.397348;1.001865;0.785886;0.062777;0.990263;
1.937743;0.400213;1.001774;0.791247;0.063228;0.989989;
1.942756;0.402931;1.001680;0.796329;0.063660;0.989727;
1.947770;0.405499;1.001583;0.801123;0.064070;0.989479;
1.952783;0.407910;1.001482;0.805621;0.064458;0.989244;
1.957796;0.410161;1.001378;0.809814;0.064821;0.989023;
1.962810;0.412246;1.001271;0.813695;0.065160;0.988818;
1.967823;0.414161;1.001162;0.817258;0.065472;0.988628;
1.972836;0.415903;1.001051;0.820495;0.065757;0.988455;
1.977850;0.417468;1.000938;0.823401;0.066015;0.988299;
1.982863;0.418853;1.000823;0.825972;0.066243;0.988160;
1.987876;0.420056;1.000706;0.828203;0.066442;0.988039;
1.992890;0.421074;1.000588;0.830091;0.066611;0.987937;
1.997903;0.421906;1.000469;0.831631;0.066749;0.987853;
2.002916;0.422549;1.000349;0.832824;0.066856;0.987788;
2.012943;0.423268;1.000108;0.834154;0.066976;0.987715;
2.022970;0.423228;0.999867;0.834081;0.066970;0.987719;
2.032518;0.422489;0.999639;0.832712;0.066846;0.987794;
2.042066;0.421072;0.999415;0.830086;0.066611;0.987937;
2.051614;0.418991;0.999195;0.826227;0.066266;0.988146;
2.060207;0.416562;0.999003;0.821720;0.065866;0.988389;
2.068800;0.413626;0.998818;0.816262;0.065385;0.988681;
2.076503;0.410576;0.998658;0.810587;0.064889;0.988983;
2.083435;0.407507;0.998520;0.804868;0.064393;0.989283;
2.090368;0.404144;0.998389;0.798594;0.063854;0.989610;
2.096607;0.400879;0.998276;0.792492;0.063334;0.989925;
2.102846;0.397398;0.998169;0.785978;0.062785;0.990258;
2.109085;0.393713;0.998068;0.779074;0.062208;0.990607;
2.114700;0.390233;0.997983;0.772541;0.061668;0.990935;
2.120315;0.386607;0.997903;0.765726;0.061110;0.991272;
2.125930;0.382845;0.997829;0.758645;0.060537;0.991619;
2.131545;0.378958;0.997761;0.751317;0.059950;0.991974;
2.137161;0.374957;0.997699;0.743761;0.059351;0.992336;
2.142776;0.370851;0.997643;0.735996;0.058744;0.992703;
2.148391;0.366652;0.997594;0.728043;0.058129;0.993075;
2.154006;0.362373;0.997551;0.719922;0.057509;0.993449;
2.159621;0.358023;0.997514;0.711656;0.056886;0.993825;
2.164675;0.354058;0.997488;0.704108;0.056326;0.994164;
2.169729;0.350054;0.997466;0.696476;0.055765;0.994502;
2.174782;0.346021;0.997450;0.688776;0.055206;0.994839;
2.179836;0.341967;0.997440;0.681025;0.054651;0.995174;
2.184890;0.337901;0.997435;0.673240;0.054100;0.995506;
2.189943;0.333832;0.997436;0.665439;0.053556;0.995834;
2.194997;0.329769;0.997443;0.657638;0.053018;0.996158;
2.200051;0.325721;0.997455;0.649855;0.052489;0.996477;
2.205104;0.321697;0.997473;0.642107;0.051969;0.996790;
2.210158;0.317706;0.997496;0.634412;0.051459;0.997097;
2.215212;0.313755;0.997525;0.626786;0.050961;0.997396;
2.220265;0.309855;0.997559;0.619248;0.050475;0.997689;
2.225319;0.306014;0.997599;0.611813;0.050002;0.997973;
2.230373;0.302239;0.997644;0.604500;0.049543;0.998249;
2.235426;0.298540;0.997694;0.597324;0.049099;0.998516;
2.240480;0.294924;0.997749;0.590301;0.048669;0.998774;
2.245534;0.291400;0.997809;0.583449;0.048256;0.999023;
2.250587;0.287974;0.997874;0.576782;0.047858;0.999261;
2.255641;0.284655;0.997943;0.570316;0.047477;0.999490;
2.260695;0.281450;0.998017;0.564065;0.047114;0.999708;
2.265748;0.278365;0.998095;0.558044;0.046768;0.999916;
2.270802;0.275408;0.998177;0.552267;0.046439;1.000113;
2.275856;0.272584;0.998264;0.546747;0.046129;1.000299;
2.280909;0.269901;0.998354;0.541496;0.045837;1.000474;
2.285963;0.267363;0.998447;0.536527;0.045563;1.000638;
2.291017;0.264976;0.998544;0.531851;0.045308;1.000791;
2.296070;0.262746;0.998644;0.527478;0.045072;1.000933;
2.301124;0.260677;0.998747;0.523419;0.044855;1.001063;
2.306178;0.258773;0.998853;0.519682;0.044656;1.001182;
2.311231;0.257039;0.998961;0.516277;0.044476;1.001290;
2.316285;0.255478;0.999071;0.513211;0.044316;1.001386;
2.321339;0.254093;0.999184;0.510490;0.044174;1.001471;
2.326392;0.252888;0.999297;0.508120;0.044051;1.001545;
2.331446;0.251865;0.999413;0.506108;0.043947;1.001607;
2.336500;0.251025;0.999529;0.504456;0.043862;1.001657;
2.341553;0.250371;0.999646;0.503169;0.043796;1.001697;
2.346607;0.249903;0.999764;0.502249;0.043749;1.001725;
2.356714;0.249531;1.000001;0.501516;0.043712;1.001748;
2.366822;0.249906;1.000236;0.502255;0.043750;1.001725;
2.376929;0.251023;1.000469;0.504453;0.043862;1.001658;
2.387036;0.252870;1.000697;0.508085;0.044049;1.001546;
2.396133;0.255142;1.000896;0.512551;0.044281;1.001407;
2.404320;0.257666;1.001069;0.517509;0.044541;1.001251;
2.411688;0.260312;1.001220;0.522704;0.044817;1.001086;
2.418319;0.262986;1.001350;0.527949;0.045097;1.000918;
2.424951;0.265926;1.001475;0.533712;0.045410;1.000730;
2.430919;0.268789;1.001582;0.539320;0.045717;1.000546;
2.436887;0.271849;1.001684;0.545309;0.046049;1.000347;
2.442856;0.275096;1.001781;0.551657;0.046405;1.000134;
2.448824;0.278518;1.001872;0.558343;0.046784;0.999906;
2.454792;0.282105;1.001957;0.565344;0.047188;0.999664;
2.460164;0.285466;1.002029;0.571896;0.047570;0.999434;
2.465535;0.288943;1.002095;0.578668;0.047970;0.999194;
2.470907;0.292526;1.002155;0.585640;0.048387;0.998943;
2.476278;0.296207;1.002211;0.592793;0.048821;0.998683;
2.481649;0.299976;1.002260;0.600110;0.049270;0.998413;
2.487021;0.303824;1.002304;0.607571;0.049735;0.998133;
2.492392;0.307741;1.002342;0.615156;0.050213;0.997845;
2.497764;0.311717;1.002374;0.622847;0.050706;0.997550;
2.503135;0.315743;1.002400;0.630623;0.051211;0.997246;
2.508507;0.319807;1.002420;0.638465;0.051727;0.996936;
2.513878;0.323900;1.002434;0.646351;0.052253;0.996619;
2.519250;0.328012;1.002442;0.654262;0.052788;0.996297;
2.524621;0.332133;1.002444;0.662178;0.053330;0.995970;
2.529992;0.336251;1.002440;0.670078;0.053879;0.995640;
2.532696;0.338319;1.002435;0.674041;0.054157;0.995472;
2.535400;0.340381;1.002428;0.677990;0.054435;0.995304;
2.538103;0.342436;1.002420;0.681923;0.054715;0.995136;
2.543511;0.346526;1.002400;0.689742;0.055276;0.994797;
2.548918;0.350579;1.002374;0.697477;0.055838;0.994458;
2.553784;0.354186;1.002347;0.704352;0.056344;0.994153;
2.558651;0.357747;1.002314;0.711130;0.056848;0.993849;
2.563518;0.361254;1.002277;0.717798;0.057349;0.993546;
2.568384;0.364701;1.002235;0.724343;0.057846;0.993246;
2.573251;0.368082;1.002189;0.730752;0.058338;0.992949;
2.578117;0.371388;1.002138;0.737013;0.058823;0.992655;
2.582984;0.374614;1.002084;0.743114;0.059301;0.992367;
2.587850;0.377753;1.002025;0.749044;0.059769;0.992084;
2.592717;0.380800;1.001962;0.754790;0.060227;0.991806;
2.597583;0.383747;1.001895;0.760344;0.060674;0.991536;
2.602450;0.386590;1.001825;0.765695;0.061108;0.991274;
2.607316;0.389323;1.001751;0.770832;0.061528;0.991020;
2.612183;0.391940;1.001674;0.775747;0.061932;0.990774;
2.617049;0.394437;1.001594;0.780430;0.062321;0.990539;
2.621916;0.396808;1.001510;0.784874;0.062692;0.990314;
2.626782;0.399050;1.001424;0.789071;0.063045;0.990100;
2.631649;0.401157;1.001335;0.793013;0.063378;0.989898;
2.636516;0.403126;1.001243;0.796693;0.063691;0.989709;
2.641382;0.404954;1.001149;0.800106;0.063983;0.989532;
2.646249;0.406636;1.001053;0.803245;0.064253;0.989368;
2.651115;0.408170;1.000955;0.806105;0.064500;0.989218;
2.655982;0.409553;1.000855;0.808682;0.064723;0.989083;
2.660848;0.410782;1.000754;0.810971;0.064922;0.988962;
2.665715;0.411855;1.000651;0.812967;0.065096;0.988856;
2.670581;0.412770;1.000547;0.814670;0.065245;0.988766;
2.675448;0.413525;1.000442;0.816076;0.065368;0.988691;
2.680314;0.414120;1.000337;0.817182;0.065465;0.988632;
2.690047;0.414825;1.000125;0.818492;0.065581;0.988562;
2.699781;0.414880;0.999912;0.818594;0.065590;0.988557;
2.709514;0.414287;0.999700;0.817491;0.065493;0.988616;
2.717577;0.413309;0.999527;0.815673;0.065333;0.988713;
2.725640;0.411898;0.999357;0.813048;0.065103;0.988852;
2.733704;0.410062;0.999191;0.809629;0.064805;0.989033;
2.741767;0.407811;0.999030;0.805436;0.064442;0.989253;
2.749831;0.405160;0.998874;0.800491;0.064016;0.989512;
2.757088;0.402443;0.998740;0.795417;0.063583;0.989775;
2.764345;0.399426;0.998611;0.789776;0.063104;0.990064;
2.770876;0.396465;0.998500;0.784232;0.062638;0.990347;
2.777407;0.393283;0.998395;0.778267;0.062141;0.990648;
2.783939;0.389892;0.998296;0.771901;0.061616;0.990966;
2.789817;0.386670;0.998213;0.765846;0.061120;0.991266;
2.795695;0.383299;0.998134;0.759501;0.060606;0.991577;
2.801573;0.379788;0.998061;0.752884;0.060075;0.991899;
2.807452;0.376149;0.997994;0.746014;0.059529;0.992229;
2.813330;0.372390;0.997933;0.738910;0.058971;0.992566;
2.819208;0.368525;0.997878;0.731592;0.058403;0.992910;
2.825086;0.364564;0.997829;0.724083;0.057826;0.993258;
2.830377;0.360927;0.997791;0.717177;0.057302;0.993575;
2.835667;0.357231;0.997758;0.710149;0.056775;0.993893;
2.840957;0.353485;0.997731;0.703016;0.056245;0.994213;
2.846248;0.349697;0.997709;0.695795;0.055715;0.994532;
2.851538;0.345877;0.997692;0.688501;0.055186;0.994851;
2.856829;0.342034;0.997681;0.681154;0.054660;0.995169;
2.862119;0.338178;0.997675;0.673771;0.054138;0.995484;
2.867409;0.334316;0.997675;0.666369;0.053620;0.995795;
2.872700;0.330460;0.997681;0.658966;0.053109;0.996103;
2.877990;0.326618;0.997692;0.651581;0.052605;0.996407;
2.883281;0.322799;0.997709;0.644230;0.052111;0.996705;
2.888571;0.319013;0.997732;0.636933;0.051626;0.996997;
2.893861;0.315268;0.997759;0.629708;0.051151;0.997282;
2.899152;0.311574;0.997792;0.622571;0.050689;0.997560;
2.904442;0.307939;0.997831;0.615541;0.050239;0.997831;
2.909733;0.304373;0.997875;0.608634;0.049802;0.998093;
2.915023;0.300883;0.997923;0.601869;0.049379;0.998347;
2.920313;0.297478;0.997977;0.595261;0.048972;0.998592;
2.925604;0.294166;0.998035;0.588828;0.048580;0.998828;
2.930894;0.290956;0.998099;0.582585;0.048204;0.999054;
2.936185;0.287854;0.998166;0.576548;0.047844;0.999270;
2.941475;0.284869;0.998239;0.570732;0.047502;0.999475;
2.946765;0.282006;0.998315;0.565151;0.047177;0.999670;
2.952056;0.279274;0.998395;0.559819;0.046869;0.999855;
2.957346;0.276679;0.998479;0.554751;0.046580;1.000028;
2.962637;0.274226;0.998567;0.549957;0.046309;1.000191;
2.967927;0.271922;0.998658;0.545451;0.046057;1.000342;
2.973217;0.269771;0.998753;0.541243;0.045823;1.000483;
2.978508;0.267780;0.998850;0.537345;0.045608;1.000611;
2.983798;0.265952;0.998950;0.533764;0.045412;1.000729;
2.989089;0.264292;0.999052;0.530511;0.045236;1.000835;
2.994379;0.262804;0.999156;0.527592;0.045078;1.000929;
2.999669;0.261491;0.999263;0.525017;0.044940;1.001012;
3.004960;0.260356;0.999371;0.522790;0.044821;1.001083;
3.010250;0.259402;0.999480;0.520917;0.044721;1.001143;
3.015540;0.258630;0.999591;0.519402;0.044641;1.001191;
3.020831;0.258043;0.999702;0.518249;0.044580;1.001227;
3.026121;0.257641;0.999814;0.517460;0.044538;1.001252;
3.036702;0.257396;1.000038;0.516978;0.044513;1.001268;
3.047283;0.257893;1.000261;0.517955;0.044565;1.001237;
3.057864;0.259124;1.000481;0.520372;0.044693;1.001160;
3.068444;0.261075;1.000695;0.524201;0.044896;1.001038;
3.077952;0.263425;1.000881;0.528810;0.045144;1.000890;
3.086508;0.266008;1.001043;0.533872;0.045418;1.000725;
3.094209;0.268696;1.001182;0.539137;0.045707;1.000552;
