time;GEN1A_generator_omegaPu;GEN1A_generator_PGenPu;GEN1A_generator_UPu;GEN1B_generator_omegaPu;GEN1B_generator_PGenPu;GEN1B_generator_UPu;GEN2A_generator_omegaPu;GEN2A_generator_PGenPu;GEN2A_generator_UPu;GEN2B_generator_omegaPu;GEN2B_generator_PGenPu;GEN2B_generator_UPu;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_1_value;OMEGA_REF_omegaRef_grp_2_value;OMEGA_REF_omegaRef_grp_3_value;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;NETWORK_GEN1A_BUS_numcc_value;NETWORK_GEN2A_BUS_numcc_value;
1.002048;1.000019;4.684324;1.077047;1.000040;3.200260;1.076226;1.000004;4.109376;0.909368;1.000046;3.705665;0.906030;1.000028;1.000028;1.000024;1.000024;1.000028;1.000024;0.000000;1.000000;
1.004096;1.000038;4.684279;1.077048;1.000080;3.200312;1.076226;1.000007;4.109295;0.909367;1.000091;3.705716;0.906027;1.000056;1.000056;1.000048;1.000048;1.000056;1.000048;0.000000;1.000000;
1.008192;1.000075;4.684100;1.077053;1.000160;3.200519;1.076226;1.000014;4.108972;0.909363;1.000182;3.705921;0.906012;1.000111;1.000111;1.000096;1.000096;1.000111;1.000096;0.000000;1.000000;
1.016384;1.000151;4.683391;1.077073;1.000320;3.201345;1.076228;1.000030;4.107686;0.909349;1.000363;3.706733;0.905953;1.000222;1.000222;1.000191;1.000191;1.000222;1.000191;0.000000;1.000000;
1.032768;1.000304;4.680616;1.077149;1.000634;3.204571;1.076236;1.000066;4.102634;0.909292;1.000718;3.709909;0.905720;1.000443;1.000443;1.000382;1.000382;1.000443;1.000382;0.000000;1.000000;
1.065536;1.000629;4.670420;1.077424;1.001228;3.216371;1.076259;1.000179;4.083763;0.909062;1.001383;3.721589;0.904836;1.000881;1.000881;1.000762;1.000762;1.000881;1.000762;0.000000;1.000000;
1.098304;1.000987;4.655376;1.077813;1.001761;3.233615;1.076279;1.000367;4.055169;0.908665;1.001967;3.738697;0.903452;1.001313;1.001313;1.001141;1.001141;1.001313;1.001141;0.000000;1.000000;
1.131072;1.001386;4.637721;1.078245;1.002218;3.253608;1.076280;1.000649;4.020209;0.908100;1.002451;3.758677;0.901691;1.001736;1.001736;1.001521;1.001521;1.001736;1.001521;0.000000;1.000000;
1.163840;1.001827;4.620061;1.078655;1.002597;3.273371;1.076262;1.001037;3.982989;0.907413;1.002827;3.778920;0.899739;1.002151;1.002151;1.001903;1.001903;1.002151;1.001903;0.000000;1.000000;
1.196608;1.002322;4.607319;1.078949;1.002879;3.287616;1.076247;1.001571;3.951119;0.906795;1.003059;3.795881;0.898039;1.002557;1.002557;1.002291;1.002291;1.002557;1.002291;0.000000;1.000000;
1.224519;1.002758;4.600656;1.079094;1.003094;3.294967;1.076231;1.002078;3.930155;0.906335;1.003208;3.806416;0.896873;1.002899;1.002899;1.002625;1.002625;1.002899;1.002625;0.000000;1.000000;
1.248781;1.003141;4.598375;1.079142;1.003273;3.297477;1.076225;1.002545;3.917759;0.906053;1.003314;3.812515;0.896175;1.003196;1.003196;1.002917;1.002917;1.003196;1.002917;0.000000;1.000000;
1.270617;1.003483;4.599076;1.079127;1.003438;3.296706;1.076227;1.002976;3.911627;0.905910;1.003398;3.815493;0.895826;1.003464;1.003464;1.003180;1.003180;1.003464;1.003180;0.000000;1.000000;
1.290269;1.003788;4.601764;1.079070;1.003593;3.293746;1.076234;1.003366;3.910218;0.905877;1.003473;3.816170;0.895745;1.003706;1.003706;1.003418;1.003418;1.003706;1.003418;0.000000;1.000000;
1.309921;1.004085;4.606248;1.078964;1.003762;3.288714;1.076237;1.003750;3.912762;0.905893;1.003554;3.814441;0.895853;1.003949;1.003949;1.003655;1.003655;1.003949;1.003655;0.000000;1.000000;
1.329573;1.004372;4.612165;1.078836;1.003948;3.282183;1.076251;1.004121;3.919158;0.906044;1.003646;3.811359;0.896218;1.004194;1.004194;1.003891;1.003891;1.004194;1.003891;0.000000;1.000000;
1.368877;1.004923;4.625954;1.078529;1.004363;3.266891;1.076278;1.004820;3.938937;0.906533;1.003868;3.802067;0.897367;1.004687;1.004687;1.004359;1.004359;1.004687;1.004359;0.000000;1.000000;
1.404251;1.005384;4.639677;1.078204;1.004800;3.251460;1.076286;1.005377;3.964242;0.907069;1.004133;3.789127;0.898756;1.005138;1.005138;1.004775;1.004775;1.005138;1.004775;0.000000;1.000000;
1.450243;1.005914;4.653007;1.077874;1.005495;3.236333;1.076282;1.005901;4.001166;0.907780;1.004672;3.769407;0.900720;1.005738;1.005738;1.005306;1.005306;1.005738;1.005306;0.000000;1.000000;
