time;GEN_generator_omegaPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;GEN_generator_delta;LOAD_load_PPu;LOAD_load_QPu;OMEGA_REF_setPoint_setPoint;NETWORK_BUS_Upu_value;
7.700000;0.924008;1.200000;0.199255;0.245556;-106.637240;1.200000;0.200000;1.000000;0.245556;
7.750000;0.923771;1.200000;0.200369;0.245654;-107.834648;1.200000;0.200000;1.000000;0.245654;
7.850000;0.923305;1.200000;0.199534;0.245580;-110.244108;1.200000;0.200000;1.000000;0.245580;
7.900000;0.923074;1.200000;0.200611;0.245676;-111.452462;1.200000;0.200000;1.000000;0.245676;
8.000000;0.922621;1.200000;0.199999;0.245622;-113.883383;1.200000;0.200000;1.000000;0.245622;
8.050000;0.922397;1.200000;0.199743;0.245599;-115.102362;1.200000;0.200000;1.000000;0.245599;
8.100000;0.922176;1.200000;0.199691;0.245594;-116.324824;1.200000;0.200000;1.000000;0.245594;
8.150000;0.921956;1.200000;0.199627;0.245589;-117.550736;1.200000;0.200000;1.000000;0.245589;
8.200000;0.921739;1.200000;0.199550;0.245582;-118.780061;1.200000;0.200000;1.000000;0.245582;
8.250000;0.921523;1.200000;0.199459;0.245574;-120.012768;1.200000;0.200000;1.000000;0.245574;
8.300000;0.921310;1.200000;0.199350;0.245564;-121.248822;1.200000;0.200000;1.000000;0.245564;
8.350000;0.921099;1.200000;0.199221;0.245553;-122.488191;1.200000;0.200000;1.000000;0.245553;
8.400000;0.920890;1.200000;0.199069;0.245539;-123.730841;1.200000;0.200000;1.000000;0.245539;
8.450000;0.920684;1.200000;0.200000;0.245622;-124.976740;1.200000;0.200000;1.000000;0.245622;
8.550000;0.920278;1.200000;0.199231;0.245554;-127.481278;1.200000;0.200000;1.000000;0.245554;
8.600000;0.920077;1.200000;0.200702;0.245684;-128.736702;1.200000;0.200000;1.000000;0.245684;
8.650000;0.919878;1.200000;0.200924;0.245704;-129.995247;1.200000;0.200000;1.000000;0.245704;
8.700000;0.919682;1.200000;0.200000;0.245622;-131.256884;1.200000;0.200000;1.000000;0.245622;
8.800000;0.919296;1.200000;0.199954;0.245617;-133.792283;1.200000;0.200000;1.000000;0.245617;
8.850000;0.919105;1.200000;0.199999;0.245622;-135.062983;1.200000;0.200000;1.000000;0.245622;
8.950000;0.918730;1.200000;0.199930;0.245615;-137.616152;1.200000;0.200000;1.000000;0.245615;
9.000000;0.918545;1.200000;0.199996;0.245621;-138.895649;1.200000;0.200000;1.000000;0.245621;
9.100000;0.918181;1.200000;0.199894;0.245612;-141.466067;1.200000;0.200000;1.000000;0.245612;
9.150000;0.918001;1.200000;0.199988;0.245621;-142.754104;1.200000;0.200000;1.000000;0.245621;
9.250000;0.917648;1.200000;0.199838;0.245607;-145.341266;1.200000;0.200000;1.000000;0.245607;
9.300000;0.917473;1.200000;0.199963;0.245618;-146.637592;1.200000;0.200000;1.000000;0.245618;
9.400000;0.917131;1.200000;0.199743;0.245599;-149.241007;1.200000;0.200000;1.000000;0.245599;
9.450000;0.916961;1.200000;0.199885;0.245611;-150.545379;1.200000;0.200000;1.000000;0.245611;
9.550000;0.916629;1.200000;0.199562;0.245583;-153.164570;1.200000;0.200000;1.000000;0.245583;
9.600000;0.916464;1.200000;0.199651;0.245591;-154.476752;1.200000;0.200000;1.000000;0.245591;
9.700000;0.916141;1.200000;0.199159;0.245547;-157.111258;1.200000;0.200000;1.000000;0.245547;
9.750000;0.915981;1.200000;0.200035;0.245625;-158.431021;1.200000;0.200000;1.000000;0.245625;
9.850000;0.915668;1.200000;0.199767;0.245601;-161.080391;1.200000;0.200000;1.000000;0.245601;
9.900000;0.915513;1.200000;0.200203;0.245640;-162.407514;1.200000;0.200000;1.000000;0.245640;
9.950000;0.915359;1.200000;0.199882;0.245611;-163.737048;1.200000;0.200000;1.000000;0.245611;
10.000000;0.915207;1.200000;0.199999;0.245622;-165.068972;1.200000;0.200000;1.000000;0.245622;
