time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;SM_pss_UPssPu;
2.843878;0.999856;19.351216;0.996885;2.125113;-0.004370;
2.886852;1.000033;19.332199;0.996665;2.454250;-0.003100;
2.929825;1.000200;19.398170;0.996876;2.766183;-0.001489;
2.972798;1.000337;19.540377;0.997485;3.024249;0.000267;
3.016937;1.000429;19.744659;0.998424;3.200507;0.001980;
3.061075;1.000460;19.978975;0.999536;3.266268;0.003368;
3.105214;1.000426;20.210434;1.000666;3.214893;0.004247;
3.149353;1.000334;20.407030;1.001663;3.054731;0.004501;
3.193491;1.000196;20.541930;1.002400;2.808160;0.004103;
3.237630;1.000032;20.597033;1.002782;2.509103;0.003116;
3.281768;0.999866;20.565378;1.002762;2.199035;0.001683;
3.325907;0.999720;20.452101;1.002340;1.921629;0.000009;
3.373873;0.999610;20.257261;1.001490;1.704736;-0.001797;
3.421839;0.999565;20.019813;1.000374;1.608829;-0.003309;
3.469805;0.999592;19.779334;0.999176;1.648572;-0.004284;
3.517771;0.999684;19.575365;0.998101;1.815059;-0.004570;
3.560940;0.999812;19.449382;0.997408;2.049539;-0.004203;
3.604110;0.999964;19.396247;0.997037;2.330406;-0.003295;
3.647279;1.000118;19.422359;0.997059;2.618491;-0.001975;
3.690449;1.000255;19.523077;0.997463;2.874807;-0.000426;
3.739200;1.000364;19.706050;0.998288;3.082983;0.001317;
3.787951;1.000411;19.931628;0.999350;3.177372;0.002786;
3.836702;1.000388;20.161543;1.000468;3.145689;0.003742;
3.885453;1.000301;20.357611;1.001461;2.995162;0.004036;
3.909229;1.000233;20.425931;1.001855;2.871488;0.003843;
3.933006;1.000157;20.471337;1.002124;2.733606;0.003483;
3.956782;1.000077;20.493396;1.002285;2.587984;0.002981;
4.004335;0.999922;20.484136;1.002354;2.299742;0.001741;
4.051887;0.999785;20.395794;1.002035;2.039921;0.000253;
4.099440;0.999685;20.242306;1.001376;1.846088;-0.001267;
4.146992;0.999638;20.049270;1.000489;1.747915;-0.002578;
4.194545;0.999649;19.847996;0.999500;1.760198;-0.003478;
4.242098;0.999716;19.670920;0.998581;1.879106;-0.003829;
4.268240;0.999781;19.600440;0.998190;1.996817;-0.003680;
4.294383;0.999853;19.553780;0.997908;2.130215;-0.003351;
4.320526;0.999929;19.531861;0.997747;2.271222;-0.002872;
4.372811;1.000077;19.543861;0.997702;2.546747;-0.001672;
4.425096;1.000204;19.637041;0.998072;2.785910;-0.000232;
4.477382;1.000289;19.793031;0.998778;2.947865;0.001187;
4.529667;1.000317;19.981157;0.999674;3.006684;0.002327;
4.581953;1.000284;20.165349;1.000585;2.954611;0.002982;
4.634238;1.000182;20.281439;1.001214;2.771184;0.002766;
4.672114;1.000097;20.325674;1.001486;2.616468;0.002331;
4.706202;1.000019;20.332755;1.001577;2.472474;0.001767;
4.736881;0.999953;20.314041;1.001535;2.348292;0.001164;
4.767560;0.999894;20.273327;1.001383;2.237863;0.000516;
4.798239;0.999848;20.215023;1.001138;2.148016;-0.000129;
4.859598;0.999788;20.074207;1.000505;2.030012;-0.001280;
4.913556;0.999782;19.935339;0.999838;2.012094;-0.002009;
4.967514;0.999819;19.809256;0.999197;2.077330;-0.002336;
5.021472;0.999902;19.744875;0.998824;2.228438;-0.002016;
5.060532;0.999965;19.728994;0.998702;2.346270;-0.001603;
5.099593;1.000026;19.742249;0.998725;2.458859;-0.001073;
5.134748;1.000073;19.774506;0.998850;2.546984;-0.000553;
5.169903;1.000109;19.822190;0.999057;2.615495;-0.000041;
5.205058;1.000131;19.879588;0.999321;2.660169;0.000418;
5.240213;1.000145;19.940692;0.999609;2.687564;0.000822;
5.275367;1.000146;20.003301;0.999912;2.692000;0.001138;
5.345677;1.000112;20.108507;1.000445;2.633181;0.001391;
5.386637;1.000068;20.142496;1.000640;2.554918;0.001227;
5.427597;1.000022;20.153234;1.000725;2.470205;0.000927;
5.468557;0.999979;20.142251;1.000704;2.389783;0.000543;
5.550476;0.999914;20.082775;1.000466;2.264800;-0.000254;
5.624204;0.999889;19.996558;1.000069;2.215168;-0.000866;
5.697932;0.999903;19.909322;0.999637;2.238298;-0.001181;
5.771660;0.999950;19.850312;0.999318;2.322015;-0.001113;
5.845387;1.000011;19.837902;0.999216;2.434642;-0.000703;
5.919115;1.000065;19.873855;0.999354;2.536688;-0.000108;
5.992843;1.000094;19.943605;0.999673;2.594545;0.000464;
6.066571;1.000091;20.022016;1.000056;2.591239;0.000823;
6.140298;1.000057;20.082348;1.000373;2.531002;0.000860;
6.214026;1.000006;20.086984;1.000433;2.436409;0.000490;
6.266793;0.999975;20.070351;1.000376;2.378266;0.000172;
6.319561;0.999954;20.040352;1.000247;2.338500;-0.000134;
6.372328;0.999946;20.004464;1.000081;2.321357;-0.000374;
6.425095;0.999949;19.970964;0.999917;2.325950;-0.000512;
6.530630;0.999976;19.940651;0.999752;2.375071;-0.000450;
6.614360;0.999998;19.939368;0.999731;2.416115;-0.000285;
6.698091;1.000013;19.953137;0.999789;2.443845;-0.000103;
6.781822;1.000018;19.971529;0.999876;2.453183;0.000024;
6.865553;1.000014;19.986257;0.999951;2.447490;0.000071;
7.033015;1.000002;19.990960;0.999985;2.425628;0.000006;
7.183731;0.999997;19.985417;0.999964;2.415606;-0.000060;
7.334446;0.999997;19.980350;0.999942;2.415185;-0.000083;
7.635877;0.999999;19.978687;0.999936;2.419866;-0.000068;
7.937309;1.000000;19.979636;0.999944;2.421218;-0.000054;
8.540171;1.000000;19.980050;0.999953;2.420861;-0.000047;
9.745896;1.000000;19.980008;0.999963;2.420733;-0.000037;
10.000000;1.000000;19.980000;0.999965;2.420730;-0.000035;
