time;MACHINE_machine_omegaPu;MACHINE_machine_UStatorPu;MACHINE_machine_PGenPu;BUSGEN_bus_p_v_0_;BUSHV_bus_p_v_0_;
0.002520;0.999994;1.009977;0.619166;0.699991;0.769504;
0.002540;0.999994;1.007239;0.615871;0.694358;0.763657;
0.002560;0.999994;1.004347;0.612550;0.688715;0.757817;
0.002580;0.999995;1.001306;0.609207;0.683057;0.751983;
0.002600;0.999995;0.998120;0.605849;0.677377;0.746157;
0.002620;0.999995;0.994794;0.602480;0.671669;0.740340;
0.002640;0.999995;0.991332;0.599106;0.665927;0.734530;
0.002660;0.999995;0.987739;0.595731;0.660145;0.728730;
0.002680;0.999995;0.984022;0.592363;0.654319;0.722937;
0.002700;0.999995;0.980186;0.589005;0.648443;0.717151;
0.002720;0.999995;0.976237;0.585663;0.642513;0.711373;
0.002740;0.999995;0.972181;0.582343;0.636523;0.705599;
0.002760;0.999995;0.968027;0.579050;0.630472;0.699829;
0.002780;0.999995;0.963779;0.575790;0.624354;0.694061;
0.002800;0.999995;0.959447;0.572567;0.618168;0.688292;
0.002820;0.999996;0.955038;0.569389;0.611910;0.682520;
0.002840;0.999996;0.950558;0.566260;0.605579;0.676741;
0.002860;0.999996;0.946018;0.563185;0.599172;0.670952;
0.002880;0.999996;0.941424;0.560171;0.592690;0.665150;
0.002900;0.999996;0.936786;0.557222;0.586131;0.659331;
0.002920;0.999996;0.932113;0.554344;0.579496;0.653490;
0.002940;0.999996;0.927413;0.551543;0.572783;0.647622;
0.002960;0.999996;0.922695;0.548824;0.565995;0.641724;
0.002980;0.999996;0.917970;0.546192;0.559132;0.635790;
0.003000;0.999996;0.913246;0.543652;0.552196;0.629815;
0.003020;0.999997;0.908533;0.541210;0.545187;0.623794;
0.003040;0.999997;0.903841;0.538871;0.538110;0.617722;
0.003060;0.999997;0.899179;0.536640;0.530965;0.611593;
0.003080;0.999997;0.894558;0.534521;0.523756;0.605402;
0.003100;0.999997;0.889987;0.532519;0.516484;0.599145;
0.003120;0.999997;0.885475;0.530640;0.509154;0.592815;
0.003140;0.999997;0.881034;0.528886;0.501768;0.586408;
0.003160;0.999997;0.876671;0.527264;0.494330;0.579920;
0.003180;0.999997;0.872398;0.525776;0.486841;0.573345;
0.003200;0.999997;0.868223;0.524428;0.479306;0.566680;
0.003220;0.999997;0.864155;0.523222;0.471728;0.559920;
0.003240;0.999997;0.860205;0.522162;0.464109;0.553062;
0.003260;0.999997;0.856380;0.521253;0.456453;0.546103;
0.003280;0.999998;0.852690;0.520496;0.448762;0.539040;
0.003300;0.999998;0.849143;0.519896;0.441038;0.531870;
0.003320;0.999998;0.845747;0.519455;0.433284;0.524592;
0.003340;0.999998;0.842510;0.519175;0.425502;0.517205;
0.003360;0.999998;0.839440;0.519059;0.417694;0.509708;
0.003380;0.999998;0.836544;0.519110;0.409862;0.502100;
0.003400;0.999998;0.833829;0.519329;0.402005;0.494381;
0.003420;0.999998;0.831302;0.519717;0.394126;0.486553;
0.003440;0.999998;0.828968;0.520277;0.386225;0.478617;
0.003460;0.999998;0.826833;0.521009;0.378302;0.470574;
0.003480;0.999998;0.824903;0.521914;0.370357;0.462428;
0.003500;0.999998;0.823182;0.522993;0.362390;0.454180;
0.003520;0.999998;0.821676;0.524246;0.354399;0.445835;
0.003540;0.999998;0.820388;0.525672;0.346385;0.437395;
0.003560;0.999998;0.819321;0.527273;0.338345;0.428867;
0.003580;0.999998;0.818479;0.529046;0.330279;0.420253;
0.003600;0.999998;0.817864;0.530991;0.322184;0.411559;
0.003620;0.999998;0.817479;0.533107;0.314060;0.402792;
0.003640;0.999998;0.817325;0.535392;0.305902;0.393955;
