time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_edPPu;GEN_generator_psi2q;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_sePu;GEN_generator_UPu;
1.087408;1.034988;1.004730;0.789887;0.157879;-0.275189;1.166125;-0.794449;0.002014;0.835125;
1.088432;1.036499;1.004666;0.789765;0.163146;-0.279873;1.166625;-0.786527;0.002145;0.836930;
1.089456;1.037990;1.004602;0.789646;0.168369;-0.284524;1.167047;-0.778673;0.002285;0.838713;
1.090480;1.039460;1.004538;0.789530;0.173547;-0.289143;1.167393;-0.770887;0.002432;0.840475;
1.091504;1.040910;1.004474;0.789416;0.178680;-0.293729;1.167665;-0.763167;0.002588;0.842215;
1.092528;1.042338;1.004410;0.789304;0.183770;-0.298282;1.167864;-0.755513;0.002753;0.843935;
1.093552;1.043747;1.004345;0.789194;0.188815;-0.302803;1.167992;-0.747924;0.002926;0.845635;
1.094576;1.045134;1.004281;0.789087;0.193817;-0.307292;1.168051;-0.740398;0.003108;0.847315;
1.095600;1.046501;1.004217;0.788981;0.198776;-0.311749;1.168042;-0.732936;0.003298;0.848976;
1.096624;1.047847;1.004153;0.788878;0.203691;-0.316173;1.167967;-0.725536;0.003498;0.850617;
1.097648;1.049173;1.004088;0.788776;0.208563;-0.320566;1.167828;-0.718197;0.003707;0.852240;
1.098672;1.050478;1.004024;0.788677;0.213393;-0.324927;1.167625;-0.710919;0.003925;0.853845;
1.099696;1.051762;1.003960;0.788579;0.218180;-0.329256;1.167362;-0.703700;0.004152;0.855431;
1.100720;1.053026;1.003896;0.788483;0.222925;-0.333553;1.167038;-0.696541;0.004389;0.857001;
1.101744;1.054269;1.003832;0.788388;0.227627;-0.337819;1.166655;-0.689441;0.004635;0.858552;
1.102768;1.055491;1.003768;0.788296;0.232288;-0.342053;1.166215;-0.682397;0.004891;0.860087;
1.103792;1.056693;1.003704;0.788205;0.236907;-0.346255;1.165718;-0.675411;0.005156;0.861606;
1.104816;1.057874;1.003640;0.788115;0.241484;-0.350427;1.165167;-0.668481;0.005431;0.863108;
1.105840;1.059035;1.003576;0.788027;0.246021;-0.354567;1.164562;-0.661606;0.005716;0.864593;
1.106864;1.060175;1.003512;0.787941;0.250516;-0.358676;1.163905;-0.654787;0.006010;0.866064;
1.107888;1.061295;1.003449;0.787856;0.254971;-0.362755;1.163196;-0.648021;0.006314;0.867518;
1.108912;1.062394;1.003385;0.787772;0.259385;-0.366802;1.162437;-0.641309;0.006627;0.868958;
1.109936;1.063473;1.003322;0.787690;0.263759;-0.370819;1.161629;-0.634649;0.006950;0.870382;
1.111984;1.065570;1.003195;0.787528;0.272386;-0.378760;1.159873;-0.621484;0.007624;0.873188;
