time;NL_G1_generator_omegaPu;NL_G1_generator_PGenPu;NL_G1_generator_QGenPu;NL_G1_generator_UPu;NL_G1_generator_efdPu;NL_G1_compensator_VcPu;NL_G1_pss_VPssPu;NL_G1_governor_PmPu;NL_G2_generator_omegaPu;NL_G2_generator_PGenPu;NL_G2_generator_QGenPu;NL_G2_generator_UPu;NL_G2_generator_efdPu;NL_G3_generator_omegaPu;NL_G3_generator_PGenPu;NL_G3_generator_QGenPu;NL_G3_generator_UPu;NL_G3_generator_efdPu;
0.213660;1.000001;5.716390;0.870495;1.018010;1.697623;1.018010;0.000061;0.519787;1.000002;1.328103;0.777496;1.018010;1.865723;1.000002;1.428124;0.833158;1.018010;2.036944;
0.344732;1.000002;5.716383;0.870597;1.018014;1.697750;1.018014;0.000055;0.519787;1.000002;1.328139;0.777490;1.018014;1.865129;1.000002;1.428130;0.833103;1.018014;2.036675;
0.475280;1.000003;5.716440;0.870721;1.018017;1.697750;1.018017;0.000044;0.519788;1.000003;1.328128;0.777461;1.018017;1.864970;1.000003;1.428112;0.833042;1.018017;2.036949;
0.475804;1.000003;5.716440;0.870721;1.018017;1.697750;1.018017;0.000044;0.519788;1.000003;1.328128;0.777460;1.018017;1.864969;1.000003;1.428112;0.833042;1.018017;2.036950;
0.500305;1.000003;5.716449;0.870738;1.018018;1.697732;1.018018;0.000042;0.519788;1.000003;1.328125;0.777455;1.018018;1.864966;1.000003;1.428110;0.833034;1.018018;2.036967;
0.737948;1.000004;5.716532;0.870906;1.018022;1.697558;1.018022;0.000027;0.519788;1.000004;1.328094;0.777400;1.018022;1.864938;1.000004;1.428091;0.832960;1.018022;2.037134;
1.000000;1.000005;5.716538;0.871001;1.018021;1.697407;1.018021;0.000020;0.519789;1.000005;1.328088;0.777357;1.018021;1.864879;1.000006;1.428088;0.832906;1.018021;2.037075;
1.000000;1.000005;6.002447;0.886241;1.016197;1.697407;1.016196;0.000020;0.519789;1.000005;1.419060;0.784181;1.016197;1.864879;1.000006;1.519326;0.838821;1.016197;2.037075;
1.000001;1.000005;6.002442;0.886247;1.016197;1.697407;1.016197;0.000017;0.519789;1.000005;1.419064;0.784178;1.016197;1.864879;1.000006;1.519329;0.838819;1.016197;2.037075;
1.000002;1.000005;6.002438;0.886254;1.016197;1.697407;1.016197;0.000014;0.519789;1.000005;1.419067;0.784176;1.016197;1.864879;1.000006;1.519333;0.838816;1.016197;2.037075;
1.000004;1.000005;6.002428;0.886268;1.016198;1.697407;1.016198;0.000008;0.519789;1.000005;1.419074;0.784171;1.016198;1.864879;1.000005;1.519339;0.838812;1.016198;2.037075;
1.000006;1.000005;6.002419;0.886281;1.016198;1.697407;1.016198;0.000003;0.519789;1.000005;1.419080;0.784167;1.016198;1.864879;1.000005;1.519346;0.838807;1.016198;2.037075;
1.000010;1.000005;6.002400;0.886309;1.016199;1.697407;1.016199;-0.000008;0.519789;1.000005;1.419094;0.784157;1.016199;1.864879;1.000005;1.519360;0.838797;1.016199;2.037075;
1.000014;1.000005;6.002381;0.886337;1.016200;1.697407;1.016200;-0.000020;0.519789;1.000005;1.419107;0.784148;1.016200;1.864879;1.000005;1.519373;0.838788;1.016200;2.037074;
1.000018;1.000005;6.002362;0.886364;1.016201;1.697407;1.016201;-0.000031;0.519789;1.000005;1.419120;0.784138;1.016201;1.864879;1.000005;1.519387;0.838778;1.016201;2.037074;
1.000022;1.000005;6.002343;0.886392;1.016201;1.697407;1.016201;-0.000042;0.519789;1.000005;1.419134;0.784129;1.016201;1.864879;1.000005;1.519400;0.838769;1.016201;2.037074;
1.000026;1.000005;6.002325;0.886420;1.016202;1.697407;1.016202;-0.000053;0.519789;1.000005;1.419147;0.784119;1.016202;1.864878;1.000005;1.519414;0.838759;1.016202;2.037073;
1.000030;1.000005;6.002306;0.886447;1.016203;1.697407;1.016203;-0.000064;0.519789;1.000005;1.419160;0.784110;1.016203;1.864878;1.000005;1.519428;0.838750;1.016203;2.037072;
1.000038;1.000005;6.002268;0.886502;1.016205;1.697407;1.016205;-0.000087;0.519789;1.000005;1.419187;0.784091;1.016205;1.864878;1.000005;1.519455;0.838731;1.016205;2.037071;
1.000046;1.000005;6.002231;0.886557;1.016207;1.697407;1.016207;-0.000109;0.519789;1.000005;1.419213;0.784072;1.016207;1.864877;1.000005;1.519482;0.838712;1.016207;2.037069;
1.000054;1.000005;6.002193;0.886612;1.016208;1.697407;1.016208;-0.000132;0.519789;1.000005;1.419240;0.784053;1.016208;1.864877;1.000005;1.519509;0.838693;1.016208;2.037067;
1.000062;1.000005;6.002156;0.886667;1.016210;1.697407;1.016210;-0.000154;0.519789;1.000005;1.419266;0.784034;1.016210;1.864876;1.000005;1.519536;0.838674;1.016210;2.037064;
1.000078;1.000005;6.002081;0.886777;1.016214;1.697407;1.016214;-0.000198;0.519789;1.000005;1.419319;0.783997;1.016214;1.864875;1.000005;1.519590;0.838636;1.016214;2.037058;
1.000110;1.000005;6.001932;0.886995;1.016220;1.697407;1.016220;-0.000287;0.519789;1.000005;1.419424;0.783922;1.016220;1.864869;1.000005;1.519697;0.838561;1.016220;2.037038;
1.000174;1.000005;6.001637;0.887429;1.016234;1.697407;1.016234;-0.000464;0.519789;1.000005;1.419632;0.783774;1.016234;1.864853;1.000005;1.519910;0.838412;1.016234;2.036974;
1.000302;1.000005;6.001059;0.888282;1.016261;1.697407;1.016261;-0.000812;0.519789;1.000004;1.420041;0.783482;1.016261;1.864796;1.000004;1.520328;0.838119;1.016261;2.036753;
1.000558;1.000005;5.999947;0.889938;1.016313;1.697406;1.016313;-0.001489;0.519789;1.000003;1.420831;0.782916;1.016313;1.864579;1.000003;1.521136;0.837550;1.016313;2.035937;
1.000814;1.000004;5.998876;0.891544;1.016364;1.697406;1.016363;-0.002149;0.519789;1.000002;1.421594;0.782369;1.016364;1.864256;1.000002;1.521916;0.837000;1.016364;2.034749;
1.001326;1.000004;5.996894;0.894569;1.016461;1.697406;1.016461;-0.003400;0.519789;1.000000;1.423017;0.781341;1.016461;1.863183;1.000000;1.523372;0.835968;1.016461;2.030924;
1.001838;1.000003;5.995062;0.897417;1.016553;1.697405;1.016549;-0.004585;0.519789;0.999998;1.424342;0.780377;1.016553;1.861686;0.999998;1.524730;0.835000;1.016553;2.025694;
1.002350;1.000002;5.993372;0.900099;1.016640;1.697404;1.016637;-0.005708;0.519789;0.999995;1.425575;0.779473;1.016640;1.859771;0.999995;1.525995;0.834093;1.016640;2.019110;
1.002862;1.000002;5.991815;0.902623;1.016722;1.697403;1.016719;-0.006773;0.519789;0.999993;1.426722;0.778625;1.016722;1.857450;0.999993;1.527172;0.833242;1.016722;2.011227;
1.003886;1.000000;5.989178;0.907111;1.016872;1.697400;1.016872;-0.008686;0.519789;0.999988;1.428706;0.777132;1.016872;1.851301;0.999988;1.529213;0.831742;1.016872;1.990716;
1.004081;1.000000;5.988756;0.907872;1.016898;1.697399;1.016898;-0.009014;0.519789;0.999987;1.429032;0.776881;1.016898;1.849864;0.999987;1.529549;0.831490;1.016898;1.985983;
1.004081;1.000000;5.988755;0.907872;1.016898;1.697399;1.016898;-0.009014;0.519789;0.999987;1.429032;0.776881;1.016898;1.849864;0.999987;1.529549;0.831490;1.016898;1.985983;
1.004082;1.000000;5.988753;0.907876;1.016898;1.697399;1.016898;-0.009016;0.519789;0.999987;1.429034;0.776880;1.016898;1.849858;0.999987;1.529551;0.831489;1.016898;1.985962;
1.004083;1.000000;5.988750;0.907880;1.016898;1.697399;1.016898;-0.009017;0.519789;0.999987;1.429036;0.776879;1.016898;1.849852;0.999987;1.529552;0.831487;1.016898;1.985941;
1.004085;1.000000;5.988745;0.907889;1.016898;1.697399;1.016898;-0.009021;0.519789;0.999987;1.429039;0.776876;1.016898;1.849839;0.999987;1.529556;0.831484;1.016898;1.985900;
1.004089;1.000000;5.988736;0.907906;1.016899;1.697399;1.016899;-0.009028;0.519789;0.999987;1.429047;0.776870;1.016899;1.849814;0.999987;1.529564;0.831479;1.016899;1.985816;
1.004097;1.000000;5.988716;0.907940;1.016900;1.697399;1.016900;-0.009043;0.519789;0.999987;1.429062;0.776859;1.016900;1.849764;0.999987;1.529580;0.831467;1.016900;1.985649;
1.004113;1.000000;5.988676;0.908009;1.016902;1.697399;1.016902;-0.009072;0.519789;0.999987;1.429092;0.776836;1.016902;1.849663;0.999987;1.529611;0.831444;1.016902;1.985314;
1.004145;1.000000;5.988597;0.908145;1.016907;1.697398;1.016907;-0.009131;0.519789;0.999987;1.429152;0.776791;1.016907;1.849461;0.999987;1.529672;0.831399;1.016907;1.984641;
1.004209;1.000000;5.988440;0.908417;1.016916;1.697398;1.016916;-0.009247;0.519789;0.999987;1.429271;0.776701;1.016916;1.849051;0.999987;1.529795;0.831308;1.016916;1.983281;
1.004337;1.000000;5.988131;0.908953;1.016934;1.697398;1.016934;-0.009476;0.519789;0.999986;1.429505;0.776523;1.016934;1.848215;0.999986;1.530036;0.831130;1.016934;1.980507;
1.004403;1.000000;5.987975;0.909226;1.016943;1.697397;1.016943;-0.009593;0.519789;0.999986;1.429624;0.776432;1.016943;1.847777;0.999986;1.530158;0.831039;1.016943;1.979053;
1.004404;1.000000;5.987973;0.909230;1.016943;1.697397;1.016943;-0.009595;0.519789;0.999986;1.429626;0.776431;1.016943;1.847770;0.999986;1.530160;0.831038;1.016943;1.979030;
1.004405;1.000000;5.987971;0.909234;1.016944;1.697397;1.016944;-0.009597;0.519789;0.999986;1.429627;0.776430;1.016944;1.847763;0.999986;1.530162;0.831036;1.016944;1.979008;
