time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;
1.385505;1.110596;0.995076;0.748566;0.798075;0.003544;0.993245;
1.390880;1.102216;0.994993;0.748433;0.782884;0.000621;0.993078;
1.396254;1.093705;0.994920;0.748323;0.767599;-0.002419;0.992888;
1.401629;1.085079;0.994858;0.748235;0.752258;-0.005573;0.992676;
1.407004;1.076356;0.994805;0.748170;0.736897;-0.008837;0.992443;
1.412379;1.067554;0.994763;0.748127;0.721553;-0.012205;0.992187;
1.417753;1.058690;0.994732;0.748106;0.706261;-0.015671;0.991910;
1.423128;1.049781;0.994711;0.748108;0.691057;-0.019227;0.991613;
1.428503;1.040846;0.994700;0.748133;0.675972;-0.022866;0.991295;
1.433878;1.031900;0.994699;0.748179;0.661040;-0.026579;0.990958;
1.439253;1.022961;0.994708;0.748248;0.646291;-0.030356;0.990603;
1.444627;1.014046;0.994727;0.748339;0.631753;-0.034187;0.990232;
1.450002;1.005171;0.994756;0.748451;0.617454;-0.038062;0.989845;
1.455377;0.996353;0.994794;0.748584;0.603420;-0.041970;0.989444;
1.460752;0.987608;0.994842;0.748738;0.589676;-0.045898;0.989032;
1.466126;0.978951;0.994899;0.748912;0.576243;-0.049836;0.988609;
1.471501;0.970397;0.994965;0.749107;0.563142;-0.053771;0.988178;
1.476876;0.961961;0.995039;0.749321;0.550391;-0.057692;0.987740;
1.482251;0.953659;0.995122;0.749554;0.538010;-0.061585;0.987297;
1.487625;0.945503;0.995213;0.749805;0.526011;-0.065440;0.986852;
1.493000;0.937508;0.995312;0.750075;0.514410;-0.069244;0.986406;
1.498375;0.929686;0.995419;0.750362;0.503218;-0.072985;0.985962;
1.503750;0.922051;0.995533;0.750666;0.492446;-0.076652;0.985520;
1.509125;0.914614;0.995655;0.750986;0.482104;-0.080232;0.985085;
1.514499;0.907388;0.995783;0.751322;0.472199;-0.083716;0.984656;
1.519874;0.900383;0.995917;0.751673;0.462738;-0.087092;0.984237;
1.525249;0.893610;0.996058;0.752038;0.453725;-0.090351;0.983829;
1.530624;0.887079;0.996204;0.752417;0.445164;-0.093483;0.983434;
1.535998;0.880801;0.996356;0.752808;0.437059;-0.096478;0.983053;
1.541373;0.874784;0.996514;0.753212;0.429412;-0.099328;0.982688;
1.546748;0.869036;0.996676;0.753628;0.422224;-0.102024;0.982341;
1.552123;0.863566;0.996843;0.754054;0.415494;-0.104560;0.982013;
1.557498;0.858382;0.997014;0.754491;0.409224;-0.106928;0.981705;
1.562872;0.853490;0.997189;0.754937;0.403412;-0.109122;0.981419;
1.568247;0.848897;0.997368;0.755392;0.398056;-0.111135;0.981156;
1.573622;0.844609;0.997551;0.755854;0.393155;-0.112963;0.980917;
1.578997;0.840631;0.997736;0.756324;0.388707;-0.114601;0.980703;
1.584371;0.836969;0.997924;0.756801;0.384709;-0.116045;0.980514;
1.589746;0.833626;0.998115;0.757283;0.381160;-0.117291;0.980352;
1.595121;0.830606;0.998308;0.757770;0.378056;-0.118337;0.980216;
1.600496;0.827914;0.998502;0.758262;0.375396;-0.119179;0.980109;
1.605870;0.825551;0.998698;0.758757;0.373175;-0.119817;0.980029;
1.611245;0.823521;0.998896;0.759255;0.371392;-0.120248;0.979977;
1.616620;0.821825;0.999094;0.759755;0.370044;-0.120473;0.979954;
1.621995;0.820464;0.999294;0.760257;0.369129;-0.120489;0.979959;
1.632744;0.818752;0.999692;0.761260;0.368586;-0.119903;0.980056;
1.643494;0.818384;1.000090;0.762260;0.369744;-0.118497;0.980266;
1.654243;0.819353;1.000485;0.763252;0.372588;-0.116286;0.980586;
1.664993;0.821645;1.000874;0.764229;0.377106;-0.113291;0.981014;
1.674668;0.824821;1.001219;0.765093;0.382595;-0.109949;0.981486;
1.684342;0.829032;1.001555;0.765936;0.389424;-0.106021;0.982035;
1.692995;0.833653;1.001849;0.766671;0.396663;-0.102037;0.982588;
1.700782;0.838485;1.002105;0.767314;0.404085;-0.098091;0.983132;
1.708570;0.843936;1.002354;0.767938;0.412359;-0.093825;0.983714;
1.715578;0.849354;1.002571;0.768481;0.420531;-0.089731;0.984270;
1.722587;0.855241;1.002780;0.769006;0.429381;-0.085413;0.984850;
1.728895;0.860928;1.002962;0.769461;0.437921;-0.081351;0.985392;
1.735203;0.866966;1.003136;0.769900;0.446998;-0.077137;0.985950;
1.741510;0.873343;1.003303;0.770320;0.456603;-0.072786;0.986520;
1.747818;0.880043;1.003463;0.770722;0.466726;-0.068315;0.987101;
1.754126;0.887051;1.003614;0.771104;0.477356;-0.063739;0.987689;
1.760434;0.894348;1.003756;0.771465;0.488479;-0.059074;0.988282;
1.766111;0.901151;1.003877;0.771773;0.498899;-0.054815;0.988817;
1.771788;0.908162;1.003989;0.772062;0.509697;-0.050511;0.989351;
1.777465;0.915366;1.004095;0.772333;0.520855;-0.046177;0.989883;
1.783142;0.922751;1.004192;0.772586;0.532360;-0.041823;0.990410;
1.788819;0.930301;1.004281;0.772819;0.544194;-0.037465;0.990930;
1.794496;0.938003;1.004361;0.773033;0.556341;-0.033115;0.991441;
1.800173;0.945839;1.004433;0.773227;0.568780;-0.028786;0.991941;
1.805850;0.953796;1.004495;0.773401;0.581489;-0.024491;0.992429;
1.811527;0.961856;1.004549;0.773554;0.594448;-0.020243;0.992901;
1.817204;0.970003;1.004593;0.773686;0.607630;-0.016054;0.993357;
1.822881;0.978221;1.004628;0.773797;0.621010;-0.011937;0.993796;
1.828558;0.986494;1.004654;0.773887;0.634561;-0.007902;0.994214;
1.833668;0.993972;1.004669;0.773949;0.646877;-0.004346;0.994574;
1.838777;1.001469;1.004676;0.773994;0.659293;-0.000878;0.994915;
1.843886;1.008970;1.004675;0.774021;0.671780;0.002500;0.995238;
1.848996;1.016463;1.004666;0.774031;0.684315;0.005779;0.995541;
1.854105;1.023935;1.004649;0.774024;0.696873;0.008955;0.995824;
1.859214;1.031374;1.004624;0.773998;0.709431;0.012021;0.996087;
1.864323;1.038766;1.004591;0.773956;0.721964;0.014971;0.996329;
1.869433;1.046100;1.004550;0.773896;0.734445;0.017803;0.996550;
1.874542;1.053361;1.004502;0.773819;0.746849;0.020510;0.996750;
1.879651;1.060538;1.004445;0.773725;0.759150;0.023091;0.996930;
1.884761;1.067618;1.004381;0.773614;0.771322;0.025543;0.997088;
1.889870;1.074589;1.004309;0.773487;0.783338;0.027863;0.997225;
1.894979;1.081438;1.004229;0.773344;0.795172;0.030050;0.997342;
1.900089;1.088153;1.004142;0.773184;0.806798;0.032103;0.997440;
1.905198;1.094723;1.004048;0.773009;0.818191;0.034023;0.997519;
1.910307;1.101136;1.003946;0.772819;0.829324;0.035808;0.997579;
1.915417;1.107381;1.003838;0.772614;0.840174;0.037461;0.997621;
