time;NETWORK_LINE_i_a;NETWORK_LINE_i_b;NETWORK_LINE_i_c;NETWORK_B1_v_a;
0.002230;0.486154;0.164576;-0.650730;1.048588;
0.002240;0.486328;0.165810;-0.652137;1.046709;
0.002250;0.486481;0.167054;-0.653535;1.044884;
0.002260;0.486613;0.168310;-0.654922;1.043111;
0.002270;0.486721;0.169577;-0.656299;1.041389;
0.002280;0.486806;0.170857;-0.657663;1.039713;
0.002290;0.486865;0.172150;-0.659015;1.038082;
0.002300;0.486898;0.173456;-0.660354;1.036494;
0.002310;0.486904;0.174776;-0.661679;1.034946;
0.002320;0.486881;0.176109;-0.662991;1.033436;
0.002330;0.486829;0.177458;-0.664287;1.031961;
0.002340;0.486748;0.178821;-0.665569;1.030520;
0.002350;0.486635;0.180200;-0.666835;1.029109;
0.002360;0.486490;0.181594;-0.668084;1.027727;
0.002370;0.486314;0.183004;-0.669317;1.026371;
0.002380;0.486104;0.184429;-0.670533;1.025038;
0.002390;0.485861;0.185871;-0.671732;1.023728;
0.002400;0.485583;0.187330;-0.672913;1.022437;
0.002410;0.485271;0.188805;-0.674076;1.021163;
0.002420;0.484923;0.190297;-0.675220;1.019905;
0.002430;0.484539;0.191806;-0.676345;1.018659;
0.002440;0.484120;0.193332;-0.677452;1.017425;
0.002450;0.483664;0.194875;-0.678539;1.016199;
0.002460;0.483171;0.196435;-0.679606;1.014980;
0.002470;0.482641;0.198012;-0.680653;1.013766;
0.002480;0.482074;0.199607;-0.681681;1.012555;
0.002490;0.481469;0.201218;-0.682688;1.011345;
0.002500;0.480827;0.202847;-0.683674;1.010134;
0.002510;0.480147;0.204493;-0.684640;1.008920;
0.002520;0.479428;0.206156;-0.685585;1.007702;
0.002530;0.478672;0.207837;-0.686509;1.006477;
0.002540;0.477878;0.209534;-0.687412;1.005244;
0.002550;0.477046;0.211248;-0.688294;1.004002;
0.002560;0.476177;0.212978;-0.689155;1.002748;
0.002570;0.475269;0.214725;-0.689994;1.001481;
0.002580;0.474324;0.216489;-0.690812;1.000200;
0.002590;0.473341;0.218268;-0.691609;0.998903;
0.002600;0.472321;0.220064;-0.692385;0.997588;
0.002610;0.471263;0.221875;-0.693139;0.996255;
0.002620;0.470169;0.223702;-0.693871;0.994901;
0.002630;0.469038;0.225545;-0.694583;0.993526;
0.002640;0.467871;0.227402;-0.695273;0.992128;
0.002650;0.466668;0.229274;-0.695942;0.990706;
0.002660;0.465429;0.231161;-0.696590;0.989259;
0.002670;0.464155;0.233062;-0.697217;0.987785;
0.002680;0.462846;0.234977;-0.697823;0.986285;
0.002690;0.461502;0.236906;-0.698408;0.984755;
0.002700;0.460124;0.238848;-0.698972;0.983197;
0.002710;0.458713;0.240803;-0.699516;0.981607;
0.002720;0.457268;0.242771;-0.700039;0.979987;
0.002730;0.455791;0.244752;-0.700542;0.978334;
0.002740;0.454281;0.246744;-0.701025;0.976649;
0.002750;0.452740;0.248749;-0.701488;0.974930;
0.002760;0.451167;0.250764;-0.701931;0.973176;
0.002770;0.449564;0.252791;-0.702355;0.971387;
0.002780;0.447931;0.254828;-0.702759;0.969563;
0.002790;0.446269;0.256876;-0.703144;0.967702;
0.002800;0.444577;0.258933;-0.703510;0.965804;
0.002810;0.442857;0.261000;-0.703858;0.963869;
0.002820;0.441110;0.263076;-0.704186;0.961896;
0.002830;0.439335;0.265161;-0.704497;0.959885;
0.002840;0.437534;0.267255;-0.704789;0.957835;
0.002850;0.435707;0.269356;-0.705064;0.955747;
0.002860;0.433855;0.271465;-0.705321;0.953619;
0.002870;0.431979;0.273582;-0.705560;0.951451;
0.002880;0.430078;0.275705;-0.705783;0.949244;
0.002890;0.428154;0.277834;-0.705989;0.946997;
0.002900;0.426208;0.279970;-0.706178;0.944709;
0.002910;0.424239;0.282112;-0.706351;0.942382;
0.002920;0.422249;0.284258;-0.706508;0.940014;
0.002930;0.420239;0.286410;-0.706649;0.937606;
0.002940;0.418208;0.288566;-0.706774;0.935158;
0.002950;0.416158;0.290726;-0.706885;0.932669;
0.002960;0.414090;0.292890;-0.706980;0.930140;
0.002970;0.412003;0.295058;-0.707061;0.927571;
0.002980;0.409899;0.297228;-0.707128;0.924962;
0.002990;0.407779;0.299401;-0.707180;0.922313;
0.003000;0.405642;0.301577;-0.707218;0.919624;
0.003010;0.403490;0.303754;-0.707243;0.916896;
0.003020;0.401322;0.305933;-0.707255;0.914129;
0.003030;0.399141;0.308113;-0.707254;0.911322;
0.003040;0.396946;0.310294;-0.707240;0.908477;
0.003050;0.394739;0.312475;-0.707214;0.905593;
0.003060;0.392519;0.314656;-0.707175;0.902671;
0.003070;0.390287;0.316838;-0.707125;0.899712;
0.003080;0.388044;0.319018;-0.707063;0.896715;
0.003090;0.385791;0.321198;-0.706989;0.893680;
0.003100;0.383528;0.323377;-0.706905;0.890610;
0.003110;0.381255;0.325554;-0.706809;0.887503;
0.003120;0.378974;0.327729;-0.706703;0.884360;
0.003130;0.376685;0.329903;-0.706587;0.881183;
0.003140;0.374388;0.332073;-0.706461;0.877970;
0.003150;0.372083;0.334242;-0.706325;0.874723;
0.003160;0.369773;0.336407;-0.706179;0.871442;
0.003170;0.367456;0.338569;-0.706025;0.868129;
0.003180;0.365134;0.340727;-0.705861;0.864782;
0.003190;0.362806;0.342881;-0.705688;0.861403;
0.003200;0.360475;0.345032;-0.705506;0.857993;
0.003210;0.358139;0.347178;-0.705317;0.854551;
0.003220;0.355799;0.349319;-0.705119;0.851079;
0.003230;0.353457;0.351456;-0.704913;0.847577;
0.003240;0.351111;0.353588;-0.704699;0.844046;
0.003250;0.348764;0.355714;-0.704478;0.840487;
0.003260;0.346415;0.357835;-0.704250;0.836899;
0.003270;0.344064;0.359950;-0.704014;0.833283;
0.003280;0.341712;0.362060;-0.703772;0.829641;
0.003290;0.339360;0.364163;-0.703523;0.825973;
0.003300;0.337007;0.366260;-0.703267;0.822279;
0.003310;0.334655;0.368350;-0.703005;0.818560;
0.003320;0.332303;0.370434;-0.702737;0.814817;
0.003330;0.329952;0.372511;-0.702463;0.811050;
0.003340;0.327601;0.374581;-0.702183;0.807260;
0.003350;0.325253;0.376644;-0.701897;0.803447;
0.003360;0.322906;0.378700;-0.701606;0.799613;
0.003370;0.320561;0.380748;-0.701310;0.795757;
0.003380;0.318219;0.382789;-0.701008;0.791881;
0.003390;0.315879;0.384822;-0.700701;0.787986;
0.003400;0.313542;0.386848;-0.700389;0.784070;
0.003410;0.311208;0.388865;-0.700073;0.780137;
0.003420;0.308877;0.390874;-0.699751;0.776185;
0.003430;0.306550;0.392876;-0.699425;0.772215;
0.003440;0.304226;0.394869;-0.699095;0.768229;
0.003450;0.301907;0.396853;-0.698760;0.764227;
0.003460;0.299591;0.398830;-0.698421;0.760209;
0.003470;0.297280;0.400798;-0.698078;0.756176;
0.003480;0.294973;0.402757;-0.697731;0.752128;
0.003490;0.292671;0.404708;-0.697380;0.748067;
0.003500;0.290374;0.406650;-0.697024;0.743992;
0.003510;0.288081;0.408584;-0.696665;0.739905;
0.003520;0.285794;0.410509;-0.696303;0.735806;
0.003530;0.283511;0.412425;-0.695936;0.731694;
0.003540;0.281234;0.414332;-0.695566;0.727572;
0.003550;0.278962;0.416231;-0.695193;0.723439;
0.003560;0.276695;0.418120;-0.694816;0.719297;
0.003570;0.274434;0.420001;-0.694435;0.715144;
0.003580;0.272178;0.421873;-0.694051;0.710983;
0.003590;0.269928;0.423736;-0.693664;0.706813;
0.003600;0.267683;0.425590;-0.693273;0.702635;
0.003610;0.265444;0.427435;-0.692879;0.698450;
0.003620;0.263210;0.429271;-0.692481;0.694258;
0.003630;0.260982;0.431099;-0.692081;0.690058;
0.003640;0.258760;0.432917;-0.691677;0.685853;
0.003650;0.256543;0.434727;-0.691270;0.681642;
0.003660;0.254332;0.436528;-0.690859;0.677425;
0.003670;0.252126;0.438320;-0.690446;0.673204;
0.003680;0.249926;0.440103;-0.690029;0.668978;
0.003690;0.247732;0.441877;-0.689609;0.664748;
0.003700;0.245543;0.443643;-0.689186;0.660514;
0.003710;0.243359;0.445400;-0.688759;0.656277;
0.003720;0.241181;0.447148;-0.688329;0.652036;
0.003730;0.239008;0.448888;-0.687896;0.647793;
0.003740;0.236841;0.450619;-0.687460;0.643548;
0.003750;0.234678;0.452342;-0.687020;0.639300;
0.003760;0.232521;0.454056;-0.686578;0.635051;
0.003770;0.230369;0.455762;-0.686131;0.630800;
0.003780;0.228222;0.457460;-0.685682;0.626548;
0.003790;0.226080;0.459149;-0.685229;0.622295;
0.003800;0.223942;0.460830;-0.684772;0.618041;
0.003810;0.221810;0.462503;-0.684312;0.613787;
