time;CAPBUS_cap_p_v_0_;CAPBUS_cap_p_v_1_;CAPBUS_cap_p_v_2_;MACHINE_machine_terminal_i_0_;MACHINE_machine_terminal_i_1_;MACHINE_machine_terminal_i_2_;MACHINE_machine_Wr;MACHINE_machine_dtheta;MACHINE_machine_Te;
0.002760;0.925135;0.310412;-1.235548;-0.226818;-0.070411;0.297229;1.000000;1.919776;0.602728;
0.002780;0.919477;0.318229;-1.237706;-0.225481;-0.072331;0.297812;1.000000;1.919776;0.602769;
0.002800;0.913783;0.326053;-1.239837;-0.224135;-0.074249;0.298384;1.000000;1.919776;0.602813;
0.002820;0.908055;0.333883;-1.241938;-0.222781;-0.076165;0.298946;1.000000;1.919776;0.602859;
0.002840;0.902293;0.341717;-1.244009;-0.221418;-0.078079;0.299498;1.000000;1.919776;0.602908;
0.002860;0.896495;0.349552;-1.246047;-0.220047;-0.079991;0.300038;1.000000;1.919776;0.602959;
0.002880;0.890663;0.357385;-1.248048;-0.218667;-0.081900;0.300568;1.000000;1.919776;0.603013;
0.002900;0.884796;0.365216;-1.250012;-0.217279;-0.083807;0.301086;1.000000;1.919776;0.603068;
0.002920;0.878894;0.373040;-1.251934;-0.215883;-0.085711;0.301594;1.000000;1.919776;0.603126;
0.002940;0.872958;0.380855;-1.253813;-0.214478;-0.087612;0.302090;1.000000;1.919776;0.603185;
0.002960;0.866988;0.388658;-1.255646;-0.213065;-0.089510;0.302575;1.000000;1.919776;0.603245;
0.002980;0.860984;0.396448;-1.257431;-0.211644;-0.091404;0.303048;1.000000;1.919776;0.603307;
0.003000;0.854945;0.404221;-1.259166;-0.210215;-0.093295;0.303510;1.000000;1.919776;0.603369;
0.003020;0.848873;0.411976;-1.260849;-0.208777;-0.095182;0.303959;1.000000;1.919776;0.603431;
0.003040;0.842767;0.419712;-1.262479;-0.207332;-0.097065;0.304396;1.000000;1.919776;0.603494;
0.003060;0.836629;0.427426;-1.264055;-0.205878;-0.098943;0.304821;1.000000;1.919776;0.603556;
0.003080;0.830457;0.435119;-1.265576;-0.204416;-0.100817;0.305234;1.000000;1.919776;0.603617;
0.003100;0.824253;0.442789;-1.267042;-0.202947;-0.102686;0.305633;1.000000;1.919776;0.603677;
0.003120;0.818018;0.450435;-1.268453;-0.201469;-0.104551;0.306020;1.000000;1.919776;0.603736;
0.003140;0.811751;0.458059;-1.269810;-0.199984;-0.106409;0.306393;1.000000;1.919776;0.603792;
0.003160;0.805452;0.465661;-1.271114;-0.198491;-0.108263;0.306754;1.000000;1.919776;0.603846;
0.003180;0.799124;0.473242;-1.272366;-0.196990;-0.110110;0.307100;1.000000;1.919776;0.603897;
0.003200;0.792765;0.480801;-1.273567;-0.195481;-0.111952;0.307433;1.000000;1.919776;0.603945;
0.003220;0.786377;0.488342;-1.274719;-0.193965;-0.113788;0.307752;1.000000;1.919776;0.603990;
0.003240;0.779960;0.495864;-1.275825;-0.192440;-0.115617;0.308057;1.000000;1.919776;0.604031;
0.003260;0.773515;0.503371;-1.276885;-0.190909;-0.117440;0.308349;1.000000;1.919776;0.604069;
0.003280;0.767041;0.510862;-1.277903;-0.189369;-0.119256;0.308626;1.000000;1.919776;0.604102;
0.003300;0.760540;0.518340;-1.278880;-0.187822;-0.121066;0.308889;1.000000;1.919776;0.604132;
0.003320;0.754011;0.525806;-1.279817;-0.186268;-0.122870;0.309138;1.000000;1.919776;0.604157;
0.003340;0.747455;0.533261;-1.280716;-0.184706;-0.124667;0.309372;1.000000;1.919776;0.604178;
0.003360;0.740872;0.540707;-1.281579;-0.183136;-0.126457;0.309593;1.000000;1.919776;0.604195;
0.003380;0.734263;0.548143;-1.282406;-0.181559;-0.128240;0.309799;1.000000;1.919776;0.604208;
0.003400;0.727627;0.555571;-1.283198;-0.179975;-0.130016;0.309992;1.000000;1.919776;0.604217;
0.003420;0.720966;0.562990;-1.283956;-0.178384;-0.131786;0.310170;1.000000;1.919776;0.604222;
0.003440;0.714278;0.570401;-1.284678;-0.176785;-0.133549;0.310335;1.000000;1.919776;0.604224;
