time;GEN_generator_UStatorPu;GEN_voltageRegulator_EfdPu;GEN_governor_PmPu;GEN_generator_omegaPu;GEN_generator_Te;
0.002800;0.912420;1.087825;0.602725;1.000000;0.602813;
0.002820;0.912319;1.089832;0.602725;1.000000;0.602859;
0.002840;0.912223;1.091767;0.602725;1.000000;0.602908;
0.002860;0.912131;1.093604;0.602725;1.000000;0.602959;
0.002880;0.912046;1.095311;0.602725;1.000000;0.603013;
0.002900;0.911968;1.096859;0.602725;1.000000;0.603069;
0.002920;0.911900;1.098217;0.602725;1.000000;0.603126;
0.002940;0.911843;1.099357;0.602725;1.000000;0.603186;
0.002960;0.911799;1.100250;0.602725;1.000000;0.603246;
0.002980;0.911768;1.100874;0.602725;1.000000;0.603308;
0.003000;0.911751;1.101205;0.602725;1.000000;0.603370;
0.003020;0.911750;1.101227;0.602725;1.000000;0.603433;
0.003040;0.911765;1.100927;0.602725;1.000000;0.603496;
0.003060;0.911797;1.100296;0.602725;1.000000;0.603558;
0.003080;0.911845;1.099331;0.602725;1.000000;0.603620;
0.003100;0.911910;1.098036;0.602726;1.000000;0.603680;
0.003120;0.911991;1.096417;0.602726;1.000000;0.603739;
0.003140;0.912087;1.094488;0.602726;1.000000;0.603795;
0.003160;0.912198;1.092267;0.602726;1.000000;0.603849;
0.003180;0.912323;1.089777;0.602726;1.000000;0.603901;
0.003200;0.912460;1.087044;0.602726;1.000000;0.603949;
0.003220;0.912607;1.084099;0.602726;1.000000;0.603994;
0.003240;0.912763;1.080975;0.602726;1.000000;0.604035;
0.003260;0.912927;1.077708;0.602726;1.000000;0.604073;
0.003280;0.913095;1.074333;0.602726;1.000000;0.604107;
0.003300;0.913268;1.070889;0.602726;1.000000;0.604136;
0.003320;0.913442;1.067412;0.602726;1.000000;0.604162;
0.003340;0.913615;1.063936;0.602726;1.000000;0.604183;
0.003360;0.913787;1.060495;0.602726;1.000000;0.604200;
0.003380;0.913956;1.057119;0.602726;1.000000;0.604213;
0.003400;0.914120;1.053835;0.602726;1.000000;0.604222;
0.003420;0.914279;1.050665;0.602726;1.000000;0.604227;
0.003440;0.914431;1.047629;0.602726;1.000000;0.604228;
0.003460;0.914575;1.044739;0.602726;1.000000;0.604226;
0.003480;0.914712;1.042004;0.602727;1.000000;0.604220;
0.003500;0.914841;1.039428;0.602727;1.000000;0.604211;
0.003520;0.914962;1.037012;0.602727;1.000000;0.604199;
0.003540;0.915075;1.034749;0.602727;1.000000;0.604185;
0.003560;0.915180;1.032632;0.602727;1.000000;0.604167;
0.003580;0.915280;1.030647;0.602727;1.000000;0.604147;
0.003600;0.915373;1.028780;0.602727;1.000000;0.604125;
0.003620;0.915461;1.027014;0.602727;1.000000;0.604100;
0.003640;0.915546;1.025330;0.602727;1.000000;0.604073;
0.003660;0.915626;1.023710;0.602727;1.000000;0.604044;
0.003680;0.915705;1.022135;0.602727;1.000000;0.604014;
0.003700;0.915782;1.020589;0.602727;1.000000;0.603981;
0.003720;0.915859;1.019056;0.602727;1.000000;0.603946;
0.003740;0.915936;1.017524;0.602727;1.000000;0.603910;
0.003760;0.916013;1.015983;0.602727;1.000000;0.603871;
0.003780;0.916090;1.014427;0.602727;1.000000;0.603831;
0.003800;0.916169;1.012856;0.602727;1.000000;0.603789;
0.003820;0.916248;1.011272;0.602727;1.000000;0.603745;
0.003840;0.916328;1.009682;0.602727;1.000000;0.603699;
0.003860;0.916407;1.008098;0.602727;1.000000;0.603651;
0.003880;0.916485;1.006537;0.602728;1.000000;0.603601;
0.003900;0.916561;1.005019;0.602728;1.000000;0.603549;
0.003920;0.916633;1.003565;0.602728;1.000000;0.603495;
0.003940;0.916701;1.002204;0.602728;1.000000;0.603440;
0.003960;0.916763;1.000963;0.602728;1.000000;0.603383;
0.003980;0.916818;0.999871;0.602728;1.000000;0.603325;
0.004000;0.916863;0.998960;0.602728;1.000000;0.603265;
0.004020;0.916898;0.998258;0.602728;1.000000;0.603205;
0.004040;0.916921;0.997796;0.602728;1.000000;0.603144;
0.004060;0.916931;0.997598;0.602728;1.000000;0.603082;
0.004080;0.916927;0.997690;0.602728;1.000000;0.603020;
0.004100;0.916907;0.998090;0.602728;1.000000;0.602959;
0.004120;0.916870;0.998815;0.602728;1.000000;0.602898;
0.004140;0.916817;0.999876;0.602728;1.000000;0.602838;
0.004160;0.916747;1.001277;0.602728;1.000000;0.602779;
0.004180;0.916660;1.003018;0.602728;1.000000;0.602723;
0.004200;0.916556;1.005094;0.602728;1.000000;0.602668;
0.004220;0.916436;1.007492;0.602728;1.000000;0.602616;
0.004240;0.916301;1.010194;0.602728;1.000000;0.602568;
0.004260;0.916152;1.013178;0.602728;1.000000;0.602522;
0.004280;0.915990;1.016415;0.602728;1.000000;0.602480;
0.004300;0.915817;1.019874;0.602728;1.000000;0.602442;
0.004320;0.915635;1.023519;0.602728;1.000000;0.602408;
0.004340;0.915445;1.027310;0.602728;1.000000;0.602379;
0.004360;0.915250;1.031208;0.602728;1.000000;0.602354;
0.004380;0.915052;1.035171;0.602728;1.000000;0.602333;
0.004400;0.914853;1.039156;0.602728;1.000000;0.602317;
0.004420;0.914654;1.043123;0.602728;1.000000;0.602306;
0.004440;0.914459;1.047033;0.602728;1.000000;0.602300;
0.004460;0.914268;1.050849;0.602728;1.000000;0.602297;
0.004480;0.914084;1.054537;0.602728;1.000000;0.602300;
0.004500;0.913907;1.058069;0.602728;1.000000;0.602306;
0.004520;0.913739;1.061420;0.602728;1.000000;0.602317;
0.004540;0.913582;1.064570;0.602728;1.000000;0.602331;
0.004560;0.913435;1.067504;0.602728;1.000000;0.602349;
0.004580;0.913300;1.070214;0.602728;1.000000;0.602370;
0.004600;0.913176;1.072697;0.602728;1.000000;0.602394;
0.004620;0.913063;1.074952;0.602728;1.000000;0.602421;
0.004640;0.912961;1.076988;0.602727;1.000000;0.602450;
0.004660;0.912870;1.078814;0.602727;1.000000;0.602482;
0.004680;0.912788;1.080445;0.602727;1.000000;0.602515;
0.004700;0.912716;1.081899;0.602727;1.000000;0.602550;
0.004720;0.912651;1.083196;0.602727;1.000000;0.602587;
0.004740;0.912593;1.084358;0.602727;1.000000;0.602626;
0.004760;0.912541;1.085405;0.602727;1.000000;0.602665;
0.004780;0.912493;1.086362;0.602727;1.000000;0.602706;
0.004800;0.912448;1.087248;0.602727;1.000000;0.602747;
0.004820;0.912407;1.088082;0.602727;1.000000;0.602790;
0.004840;0.912367;1.088882;0.602727;1.000000;0.602833;
0.004860;0.912328;1.089660;0.602727;1.000000;0.602877;
0.004880;0.912290;1.090427;0.602727;1.000000;0.602922;
0.004900;0.912252;1.091188;0.602727;1.000000;0.602968;
0.004920;0.912214;1.091945;0.602727;1.000000;0.603015;
0.004940;0.912176;1.092694;0.602727;1.000000;0.603062;
0.004960;0.912140;1.093427;0.602728;1.000000;0.603111;
0.004980;0.912105;1.094134;0.602728;1.000000;0.603160;
0.005000;0.912071;1.094798;0.602728;1.000000;0.603209;
0.005020;0.912041;1.095400;0.602728;1.000000;0.603260;
0.005040;0.912015;1.095918;0.602728;1.000000;0.603310;
0.005060;0.911995;1.096329;0.602728;1.000000;0.603362;
0.005080;0.911981;1.096606;0.602728;1.000000;0.603413;
0.005100;0.911975;1.096724;0.602728;1.000000;0.603465;
0.005120;0.911979;1.096657;0.602728;1.000000;0.603517;
0.005140;0.911993;1.096379;0.602728;1.000000;0.603568;
0.005160;0.912018;1.095869;0.602728;1.000000;0.603619;
0.005180;0.912056;1.095105;0.602728;1.000000;0.603669;
0.005200;0.912108;1.094073;0.602728;1.000000;0.603717;
0.005220;0.912174;1.092758;0.602728;1.000000;0.603765;
0.005240;0.912254;1.091154;0.602728;1.000000;0.603810;
0.005260;0.912349;1.089258;0.602728;1.000000;0.603854;
0.005280;0.912458;1.087072;0.602728;1.000000;0.603895;
0.005300;0.912582;1.084605;0.602728;1.000000;0.603933;
0.005320;0.912718;1.081871;0.602728;1.000000;0.603968;
0.005340;0.912868;1.078888;0.602728;1.000000;0.604000;
0.005360;0.913028;1.075679;0.602728;1.000000;0.604028;
0.005380;0.913198;1.072275;0.602728;1.000000;0.604053;
0.005400;0.913377;1.068706;0.602728;1.000000;0.604073;
0.005420;0.913562;1.065008;0.602728;1.000000;0.604089;
0.005440;0.913751;1.061219;0.602728;1.000000;0.604101;
0.005460;0.913943;1.057379;0.602728;1.000000;0.604108;
0.005480;0.914136;1.053528;0.602729;1.000000;0.604111;
0.005500;0.914327;1.049706;0.602729;1.000000;0.604110;
0.005520;0.914514;1.045953;0.602729;1.000000;0.604104;
0.005540;0.914697;1.042305;0.602729;1.000000;0.604094;
0.005560;0.914872;1.038797;0.602729;1.000000;0.604080;
0.005580;0.915039;1.035460;0.602729;1.000000;0.604062;
0.005600;0.915196;1.032320;0.602729;1.000000;0.604041;
0.005620;0.915342;1.029402;0.602729;1.000000;0.604016;
0.005640;0.915476;1.026720;0.602729;1.000000;0.603988;
0.005660;0.915598;1.024289;0.602729;1.000000;0.603957;
0.005680;0.915706;1.022115;0.602729;1.000000;0.603923;
0.005700;0.915802;1.020200;0.602729;1.000000;0.603887;
0.005720;0.915885;1.018541;0.602729;1.000000;0.603849;
0.005740;0.915955;1.017128;0.602729;1.000000;0.603810;
0.005760;0.916014;1.015951;0.602729;1.000000;0.603769;
0.005780;0.916062;1.014994;0.602729;1.000000;0.603727;
0.005800;0.916100;1.014237;0.602729;1.000000;0.603684;
0.005820;0.916129;1.013659;0.602729;1.000000;0.603641;
0.005840;0.916150;1.013237;0.602729;1.000000;0.603597;
0.005860;0.916164;1.012947;0.602729;1.000000;0.603553;
0.005880;0.916173;1.012767;0.602729;1.000000;0.603508;
0.005900;0.916178;1.012673;0.602729;1.000000;0.603464;
0.005920;0.916179;1.012645;0.602730;1.000000;0.603420;
0.005940;0.916178;1.012663;0.602730;1.000000;0.603375;
0.005960;0.916176;1.012711;0.602730;1.000000;0.603331;
0.005980;0.916173;1.012777;0.602730;1.000000;0.603287;
0.006000;0.916169;1.012852;0.602730;1.000000;0.603244;
0.006020;0.916165;1.012930;0.602730;1.000000;0.603200;
0.006040;0.916161;1.013010;0.602730;1.000000;0.603157;
0.006060;0.916157;1.013096;0.602730;1.000000;0.603114;
0.006080;0.916152;1.013193;0.602730;1.000000;0.603071;
0.006100;0.916146;1.013313;0.602730;1.000000;0.603028;
0.006120;0.916138;1.013468;0.602730;1.000000;0.602986;
0.006140;0.916127;1.013675;0.602730;1.000000;0.602944;
0.006160;0.916114;1.013952;0.602730;1.000000;0.602902;
0.006180;0.916095;1.014318;0.602730;1.000000;0.602861;
0.006200;0.916071;1.014792;0.602730;1.000000;0.602821;
0.006220;0.916041;1.015396;0.602730;1.000000;0.602781;
0.006240;0.916004;1.016148;0.602730;1.000000;0.602742;
0.006260;0.915958;1.017066;0.602730;1.000000;0.602704;
0.006280;0.915903;1.018165;0.602730;1.000000;0.602668;
0.006300;0.915838;1.019457;0.602730;1.000000;0.602633;
0.006320;0.915763;1.020952;0.602730;1.000000;0.602599;
0.006340;0.915678;1.022655;0.602730;1.000000;0.602568;
0.006360;0.915582;1.024567;0.602730;1.000000;0.602538;
0.006380;0.915477;1.026685;0.602730;1.000000;0.602511;
0.006400;0.915361;1.029000;0.602730;1.000000;0.602486;
0.006420;0.915236;1.031500;0.602730;1.000000;0.602464;
0.006440;0.915102;1.034168;0.602730;1.000000;0.602445;
0.006460;0.914961;1.036984;0.602730;1.000000;0.602430;
0.006480;0.914814;1.039924;0.602730;1.000000;0.602417;
0.006500;0.914663;1.042960;0.602730;1.000000;0.602407;
0.006520;0.914508;1.046062;0.602730;1.000000;0.602401;
0.006540;0.914351;1.049198;0.602730;1.000000;0.602399;
0.006560;0.914194;1.052336;0.602730;1.000000;0.602400;
0.006580;0.914039;1.055442;0.602730;1.000000;0.602404;
0.006600;0.913886;1.058484;0.602730;1.000000;0.602412;
0.006620;0.913739;1.061429;0.602730;1.000000;0.602423;
0.006640;0.913598;1.064248;0.602730;1.000000;0.602437;
0.006660;0.913465;1.066912;0.602730;1.000000;0.602454;
0.006680;0.913341;1.069399;0.602730;1.000000;0.602473;
0.006700;0.913226;1.071687;0.602730;1.000000;0.602495;
0.006720;0.913123;1.073759;0.602730;1.000000;0.602520;
0.006740;0.913031;1.075602;0.602730;1.000000;0.602546;
0.006760;0.912950;1.077209;0.602729;1.000000;0.602574;
0.006780;0.912882;1.078576;0.602729;1.000000;0.602604;
0.006800;0.912826;1.079703;0.602729;1.000000;0.602635;
0.006820;0.912781;1.080596;0.602729;1.000000;0.602666;
0.006840;0.912748;1.081264;0.602729;1.000000;0.602698;
0.006860;0.912725;1.081718;0.602729;1.000000;0.602731;
0.006880;0.912712;1.081976;0.602729;1.000000;0.602764;
0.006900;0.912708;1.082054;0.602729;1.000000;0.602797;
0.006920;0.912712;1.081974;0.602729;1.000000;0.602830;
0.006940;0.912723;1.081755;0.602729;1.000000;0.602862;
0.006960;0.912740;1.081421;0.602729;1.000000;0.602894;
0.006980;0.912762;1.080993;0.602730;1.000000;0.602925;
0.007000;0.912787;1.080491;0.602730;1.000000;0.602955;
0.007020;0.912814;1.079937;0.602730;1.000000;0.602985;
0.007040;0.912844;1.079348;0.602730;1.000000;0.603013;
0.007060;0.912874;1.078740;0.602730;1.000000;0.603041;
0.007080;0.912905;1.078127;0.602730;1.000000;0.603068;
0.007100;0.912935;1.077517;0.602730;1.000000;0.603094;
0.007120;0.912965;1.076918;0.602730;1.000000;0.603119;
0.007140;0.912995;1.076334;0.602730;1.000000;0.603144;
0.007160;0.913023;1.075766;0.602730;1.000000;0.603168;
0.007180;0.913051;1.075210;0.602730;1.000000;0.603190;
0.007200;0.913078;1.074662;0.602730;1.000000;0.603212;
0.007220;0.913106;1.074113;0.602730;1.000000;0.603234;
0.007240;0.913134;1.073554;0.602730;1.000000;0.603254;
0.007260;0.913163;1.072971;0.602730;1.000000;0.603274;
0.007280;0.913194;1.072354;0.602730;1.000000;0.603293;
0.007300;0.913227;1.071686;0.602730;1.000000;0.603311;
0.007320;0.913264;1.070956;0.602730;1.000000;0.603328;
0.007340;0.913304;1.070149;0.602730;1.000000;0.603344;
0.007360;0.913349;1.069253;0.602730;1.000000;0.603360;
0.007380;0.913399;1.068258;0.602730;1.000000;0.603374;
0.007400;0.913454;1.067155;0.602730;1.000000;0.603387;
0.007420;0.913515;1.065937;0.602730;1.000000;0.603398;
0.007440;0.913582;1.064601;0.602730;1.000000;0.603408;
0.007460;0.913654;1.063146;0.602730;1.000000;0.603417;
0.007480;0.913733;1.061574;0.602730;1.000000;0.603424;
0.007500;0.913817;1.059892;0.602730;1.000000;0.603429;
0.007520;0.913906;1.058107;0.602730;1.000000;0.603432;
0.007540;0.914000;1.056231;0.602730;1.000000;0.603433;
0.007560;0.914098;1.054279;0.602730;1.000000;0.603432;
0.007580;0.914198;1.052268;0.602730;1.000000;0.603429;
0.007600;0.914301;1.050216;0.602730;1.000000;0.603424;
0.007620;0.914405;1.048144;0.602730;1.000000;0.603417;
0.007640;0.914508;1.046075;0.602730;1.000000;0.603408;
0.007660;0.914610;1.044029;0.602730;1.000000;0.603396;
0.007680;0.914710;1.042031;0.602730;1.000000;0.603383;
0.007700;0.914807;1.040102;0.602730;1.000000;0.603367;
0.007720;0.914899;1.038263;0.602730;1.000000;0.603350;
0.007740;0.914985;1.036533;0.602730;1.000000;0.603331;
0.007760;0.915065;1.034932;0.602730;1.000000;0.603311;
0.007780;0.915138;1.033473;0.602730;1.000000;0.603289;
0.007800;0.915203;1.032171;0.602730;1.000000;0.603266;
0.007820;0.915260;1.031035;0.602730;1.000000;0.603241;
0.007840;0.915308;1.030071;0.602730;1.000000;0.603216;
0.007860;0.915347;1.029284;0.602730;1.000000;0.603190;
0.007880;0.915378;1.028674;0.602730;1.000000;0.603164;
0.007900;0.915400;1.028238;0.602731;1.000000;0.603137;
0.007920;0.915413;1.027971;0.602731;1.000000;0.603111;
0.007940;0.915418;1.027864;0.602731;1.000000;0.603084;
0.007960;0.915416;1.027907;0.602731;1.000000;0.603057;
0.007980;0.915407;1.028087;0.602731;1.000000;0.603031;
0.008000;0.915392;1.028388;0.602731;1.000000;0.603006;
0.008020;0.915372;1.028796;0.602731;1.000000;0.602981;
0.008040;0.915347;1.029294;0.602731;1.000000;0.602956;
0.008060;0.915318;1.029865;0.602731;1.000000;0.602933;
0.008080;0.915287;1.030492;0.602731;1.000000;0.602910;
0.008100;0.915253;1.031159;0.602731;1.000000;0.602889;
0.008120;0.915219;1.031851;0.602731;1.000000;0.602868;
0.008140;0.915184;1.032554;0.602731;1.000000;0.602848;
0.008160;0.915148;1.033256;0.602731;1.000000;0.602829;
0.008180;0.915114;1.033946;0.602731;1.000000;0.602811;
0.008200;0.915080;1.034616;0.602731;1.000000;0.602793;
0.008220;0.915048;1.035260;0.602731;1.000000;0.602777;
0.008240;0.915018;1.035874;0.602731;1.000000;0.602761;
0.008260;0.914988;1.036457;0.602731;1.000000;0.602746;
0.008280;0.914961;1.037008;0.602731;1.000000;0.602732;
0.008300;0.914935;1.037530;0.602731;1.000000;0.602719;
0.008320;0.914910;1.038027;0.602731;1.000000;0.602706;
0.008340;0.914886;1.038505;0.602731;1.000000;0.602693;
0.008360;0.914863;1.038969;0.602731;1.000000;0.602682;
0.008380;0.914840;1.039429;0.602731;1.000000;0.602670;
0.008400;0.914817;1.039890;0.602731;1.000000;0.602660;
0.008420;0.914793;1.040363;0.602731;1.000000;0.602649;
0.008440;0.914768;1.040853;0.602731;1.000000;0.602640;
0.008460;0.914743;1.041370;0.602731;1.000000;0.602630;
0.008480;0.914715;1.041919;0.602731;1.000000;0.602622;
0.008500;0.914686;1.042506;0.602731;1.000000;0.602614;
0.008520;0.914654;1.043135;0.602731;1.000000;0.602606;
0.008540;0.914621;1.043808;0.602731;1.000000;0.602599;
0.008560;0.914585;1.044527;0.602731;1.000000;0.602593;
0.008580;0.914547;1.045290;0.602731;1.000000;0.602588;
0.008600;0.914506;1.046096;0.602731;1.000000;0.602583;
0.008620;0.914464;1.046941;0.602731;1.000000;0.602579;
0.008640;0.914420;1.047818;0.602731;1.000000;0.602575;
0.008660;0.914375;1.048721;0.602731;1.000000;0.602573;
0.008680;0.914329;1.049642;0.602731;1.000000;0.602571;
0.008700;0.914283;1.050571;0.602731;1.000000;0.602570;
0.008720;0.914236;1.051498;0.602731;1.000000;0.602570;
0.008740;0.914190;1.052414;0.602731;1.000000;0.602570;
0.008760;0.914146;1.053308;0.602731;1.000000;0.602571;
0.008780;0.914103;1.054169;0.602731;1.000000;0.602573;
0.008800;0.914062;1.054987;0.602731;1.000000;0.602575;
0.008820;0.914023;1.055754;0.602731;1.000000;0.602578;
0.008840;0.913988;1.056459;0.602731;1.000000;0.602581;
0.008860;0.913956;1.057098;0.602731;1.000000;0.602585;
