time;BE_G1_generator_omegaPu;BE_G1_generator_PGenPu;BE_G1_generator_QGenPu;BE_G1_generator_UPu;BE_G1_generator_efdPu;BE_G1_compensator_VcPu;BE_G1_pss_VPssPu;BE_G1_governor_Pm1Pu;BE_G2_generator_omegaPu;BE_G2_generator_PGenPu;BE_G2_generator_QGenPu;BE_G2_generator_UPu;
1.326907;1.000245;0.892497;-0.737567;0.988046;0.778551;0.988046;0.000618;0.298802;1.000249;1.174608;0.779154;1.047939;
1.440504;1.000263;0.892011;-0.737775;0.988061;0.778250;0.988061;0.000597;0.298597;1.000269;1.175254;0.779226;1.047966;
1.554100;1.000280;0.891590;-0.738012;0.988075;0.776931;0.988075;0.000570;0.298380;1.000286;1.175847;0.779320;1.047995;
1.667696;1.000296;0.891213;-0.738262;0.988083;0.775431;0.988083;0.000545;0.298152;1.000301;1.176355;0.779466;1.048019;
1.894888;1.000321;0.890493;-0.738739;0.988075;0.773643;0.988075;0.000518;0.297665;1.000325;1.177191;0.779871;1.048047;
2.122081;1.000339;0.889734;-0.739166;0.988059;0.772967;0.988060;0.000507;0.297161;1.000343;1.177987;0.780291;1.048062;
2.349273;1.000351;0.888935;-0.739541;0.988041;0.772765;0.988042;0.000499;0.296649;1.000355;1.178805;0.780672;1.048074;
2.803658;1.000351;0.887313;-0.740088;0.987999;0.772156;0.987999;0.000460;0.295680;1.000356;1.180346;0.781316;1.048077;
3.258042;1.000333;0.885775;-0.740412;0.987935;0.771379;0.987932;0.000394;0.294825;1.000338;1.181592;0.781910;1.048047;
4.166812;1.000266;0.883373;-0.740232;0.987723;0.770500;0.987723;0.000195;0.293745;1.000269;1.182596;0.782952;1.047857;
4.984704;1.000204;0.881844;-0.739587;0.987507;0.770568;0.987506;0.000000;0.293245;1.000206;1.182550;0.783662;1.047631;
5.802596;1.000157;0.880957;-0.738730;0.987324;0.771248;0.987309;-0.000172;0.293099;1.000159;1.181999;0.784025;1.047418;
6.620489;1.000128;0.880498;-0.737861;0.987182;0.771922;0.987172;-0.000291;0.293149;1.000129;1.181268;0.784153;1.047237;
8.256274;1.000117;0.880465;-0.736712;0.987091;0.772866;0.987091;-0.000357;0.293397;1.000118;1.180343;0.783769;1.047082;
9.892058;1.000120;0.880801;-0.736212;0.987128;0.773036;0.987129;-0.000321;0.293585;1.000122;1.180076;0.783162;1.047080;
10.000000;1.000121;0.880825;-0.736182;0.987131;0.773045;0.987131;-0.000318;0.293597;1.000122;1.180061;0.783120;1.047080;
