time;MACHINE_machine_omegaPu;MACHINE_machine_UStatorPu;MACHINE_machine_ifPu;MACHINE_machine_MdSatPPu;MACHINE_machine_MqSatPPu;MACHINE_machine_lambdaAirGapPu;
0.002060;1.000075;1.427228;0.947413;1.550916;1.500916;0.899691;
0.002080;1.000075;1.517501;0.938938;1.548692;1.498692;0.902461;
0.002100;1.000075;1.608300;0.929209;1.546056;1.496056;0.905692;
0.002120;1.000076;1.697711;0.918246;1.542981;1.492981;0.909388;
0.002140;1.000076;1.783743;0.906093;1.539447;1.489447;0.913545;
0.002160;1.000076;1.864391;0.892823;1.535436;1.485436;0.918152;
0.002180;1.000077;1.937695;0.878529;1.530937;1.480937;0.923187;
0.002200;1.000077;2.001802;0.863333;1.525947;1.475947;0.928618;
0.002220;1.000078;2.055019;0.847375;1.520471;1.470471;0.934406;
0.002240;1.000079;2.095865;0.830816;1.514527;1.464527;0.940500;
0.002260;1.000079;2.123119;0.813835;1.508143;1.458143;0.946841;
0.002280;1.000080;2.135856;0.796620;1.501364;1.451364;0.953363;
0.002300;1.000081;2.133483;0.779372;1.494249;1.444249;0.959992;
0.002320;1.000082;2.115758;0.762293;1.486870;1.436870;0.966652;
0.002340;1.000083;2.082813;0.745585;1.479318;1.429318;0.973259;
0.002360;1.000084;2.035152;0.729447;1.471695;1.421695;0.979733;
0.002380;1.000085;1.973657;0.714068;1.464113;1.414113;0.985989;
0.002400;1.000086;1.899575;0.699622;1.456695;1.406695;0.991948;
0.002420;1.000087;1.814505;0.686269;1.449565;1.399565;0.997535;
0.002440;1.000088;1.720372;0.674147;1.442849;1.392849;1.002680;
0.002460;1.000089;1.619402;0.663373;1.436665;1.386666;1.007322;
0.002480;1.000091;1.514087;0.654039;1.431124;1.381125;1.011409;
0.002500;1.000092;1.407151;0.646212;1.426321;1.376321;1.014898;
0.002520;1.000093;1.301495;0.639933;1.422332;1.372333;1.017759;
0.002540;1.000095;1.200127;0.635217;1.419214;1.369214;1.019974;
0.002560;1.000096;1.106058;0.632055;1.417001;1.367001;1.021536;
0.002580;1.000097;1.022123;0.630414;1.415701;1.365701;1.022448;
0.002600;1.000099;0.950737;0.630238;1.415304;1.365304;1.022727;
0.002620;1.000100;0.893570;0.631453;1.415775;1.365775;1.022399;
0.002640;1.000101;0.851222;0.633966;1.417060;1.367061;1.021498;
0.002660;1.000102;0.823048;0.637672;1.419093;1.369093;1.020067;
0.002680;1.000104;0.807235;0.642453;1.421791;1.371791;1.018154;
0.002700;1.000105;0.801180;0.648184;1.425066;1.375067;1.015812;
0.002720;1.000106;0.801992;0.654736;1.428826;1.378826;1.013097;
0.002740;1.000107;0.806960;0.661977;1.432975;1.382975;1.010066;
0.002760;1.000109;0.813851;0.669781;1.437423;1.387423;1.006774;
0.002780;1.000110;0.821033;0.678023;1.442086;1.392086;1.003275;
0.002800;1.000111;0.827467;0.686591;1.446885;1.396886;0.999619;
0.002820;1.000112;0.832620;0.695382;1.451756;1.401756;0.995851;
0.002840;1.000113;0.836356;0.704306;1.456641;1.406641;0.992009;
