time;NETWORK_B1_Urms;NETWORK_DL1_fict_Urms;NETWORK_DL1_Irms;
0.002140;0.910890;0.693586;0.138717;
0.002150;0.911383;0.694507;0.138901;
0.002160;0.911913;0.695425;0.139085;
0.002170;0.912478;0.696339;0.139268;
0.002180;0.913078;0.697249;0.139450;
0.002190;0.913709;0.698156;0.139631;
0.002200;0.914371;0.699060;0.139812;
0.002210;0.915062;0.699961;0.139992;
0.002220;0.915780;0.700860;0.140172;
0.002230;0.916524;0.701757;0.140351;
0.002240;0.917293;0.702652;0.140530;
0.002250;0.918084;0.703546;0.140709;
0.002260;0.918897;0.704438;0.140888;
0.002270;0.919729;0.705329;0.141066;
0.002280;0.920580;0.706219;0.141244;
0.002290;0.921448;0.707109;0.141422;
0.002300;0.922331;0.707997;0.141599;
0.002310;0.923228;0.708886;0.141777;
0.002320;0.924138;0.709773;0.141955;
0.002330;0.925059;0.710661;0.142132;
0.002340;0.925991;0.711548;0.142310;
0.002350;0.926931;0.712435;0.142487;
0.002360;0.927878;0.713322;0.142664;
0.002370;0.928832;0.714210;0.142842;
0.002380;0.929790;0.715097;0.143019;
0.002390;0.930753;0.715984;0.143197;
0.002400;0.931718;0.716872;0.143374;
0.002410;0.932684;0.717760;0.143552;
0.002420;0.933652;0.718648;0.143730;
0.002430;0.934618;0.719536;0.143907;
0.002440;0.935583;0.720425;0.144085;
0.002450;0.936545;0.721313;0.144263;
0.002460;0.937503;0.722202;0.144440;
0.002470;0.938457;0.723091;0.144618;
0.002480;0.939406;0.723979;0.144796;
0.002490;0.940348;0.724868;0.144974;
0.002500;0.941283;0.725757;0.145151;
0.002510;0.942210;0.726645;0.145329;
0.002520;0.943128;0.727534;0.145507;
0.002530;0.944037;0.728422;0.145684;
0.002540;0.944935;0.729309;0.145862;
0.002550;0.945823;0.730197;0.146039;
0.002560;0.946698;0.731083;0.146217;
0.002570;0.947562;0.731969;0.146394;
0.002580;0.948413;0.732854;0.146571;
0.002590;0.949251;0.733739;0.146748;
0.002600;0.950075;0.734622;0.146924;
0.002610;0.950884;0.735504;0.147101;
0.002620;0.951679;0.736385;0.147277;
0.002630;0.952458;0.737264;0.147453;
0.002640;0.953222;0.738142;0.147628;
0.002650;0.953970;0.739018;0.147804;
0.002660;0.954701;0.739892;0.147978;
0.002670;0.955416;0.740765;0.148153;
0.002680;0.956114;0.741635;0.148327;
0.002690;0.956795;0.742504;0.148501;
0.002700;0.957458;0.743369;0.148674;
0.002710;0.958103;0.744233;0.148847;
0.002720;0.958731;0.745093;0.149019;
0.002730;0.959341;0.745951;0.149190;
0.002740;0.959933;0.746806;0.149361;
0.002750;0.960507;0.747658;0.149532;
0.002760;0.961062;0.748507;0.149701;
0.002770;0.961600;0.749353;0.149871;
0.002780;0.962119;0.750195;0.150039;
0.002790;0.962619;0.751033;0.150207;
0.002800;0.963101;0.751868;0.150374;
0.002810;0.963566;0.752698;0.150540;
0.002820;0.964011;0.753525;0.150705;
0.002830;0.964439;0.754347;0.150869;
0.002840;0.964849;0.755166;0.151033;
0.002850;0.965241;0.755979;0.151196;
0.002860;0.965615;0.756789;0.151358;
0.002870;0.965972;0.757593;0.151519;
0.002880;0.966311;0.758393;0.151679;
0.002890;0.966632;0.759188;0.151838;
0.002900;0.966937;0.759977;0.151995;
0.002910;0.967225;0.760762;0.152152;
0.002920;0.967497;0.761541;0.152308;
0.002930;0.967752;0.762315;0.152463;
0.002940;0.967991;0.763084;0.152617;
0.002950;0.968214;0.763846;0.152769;
0.002960;0.968422;0.764604;0.152921;
0.002970;0.968614;0.765355;0.153071;
0.002980;0.968791;0.766101;0.153220;
0.002990;0.968954;0.766840;0.153368;
0.003000;0.969102;0.767574;0.153515;
0.003010;0.969237;0.768301;0.153660;
0.003020;0.969357;0.769022;0.153804;
0.003030;0.969465;0.769737;0.153947;
0.003040;0.969559;0.770446;0.154089;
0.003050;0.969641;0.771148;0.154230;
0.003060;0.969710;0.771843;0.154369;
0.003070;0.969768;0.772533;0.154507;
0.003080;0.969813;0.773215;0.154643;
0.003090;0.969848;0.773891;0.154778;
0.003100;0.969872;0.774560;0.154912;
0.003110;0.969885;0.775222;0.155044;
0.003120;0.969888;0.775878;0.155176;
0.003130;0.969881;0.776527;0.155305;
0.003140;0.969865;0.777169;0.155434;
0.003150;0.969840;0.777804;0.155561;
0.003160;0.969807;0.778432;0.155686;
0.003170;0.969765;0.779053;0.155811;
0.003180;0.969715;0.779668;0.155934;
0.003190;0.969657;0.780275;0.156055;
0.003200;0.969592;0.780875;0.156175;
0.003210;0.969521;0.781469;0.156294;
0.003220;0.969443;0.782055;0.156411;
0.003230;0.969359;0.782635;0.156527;
0.003240;0.969269;0.783207;0.156641;
0.003250;0.969173;0.783773;0.156755;
0.003260;0.969073;0.784331;0.156866;
0.003270;0.968967;0.784883;0.156977;
0.003280;0.968857;0.785427;0.157085;
0.003290;0.968743;0.785965;0.157193;
0.003300;0.968626;0.786496;0.157299;
0.003310;0.968504;0.787020;0.157404;
0.003320;0.968380;0.787537;0.157507;
0.003330;0.968252;0.788047;0.157609;
0.003340;0.968122;0.788551;0.157710;
0.003350;0.967990;0.789048;0.157810;
0.003360;0.967855;0.789538;0.157908;
0.003370;0.967719;0.790021;0.158004;
0.003380;0.967581;0.790498;0.158100;
0.003390;0.967442;0.790968;0.158194;
0.003400;0.967302;0.791432;0.158286;
0.003410;0.967161;0.791889;0.158378;
0.003420;0.967019;0.792340;0.158468;
0.003430;0.966877;0.792784;0.158557;
0.003440;0.966735;0.793222;0.158644;
0.003450;0.966593;0.793654;0.158731;
0.003460;0.966452;0.794079;0.158816;
0.003470;0.966311;0.794499;0.158900;
0.003480;0.966170;0.794912;0.158982;
0.003490;0.966030;0.795320;0.159064;
0.003500;0.965892;0.795721;0.159144;
0.003510;0.965754;0.796116;0.159223;
0.003520;0.965618;0.796506;0.159301;
0.003530;0.965484;0.796890;0.159378;
0.003540;0.965350;0.797268;0.159454;
0.003550;0.965219;0.797641;0.159528;
0.003560;0.965090;0.798008;0.159602;
0.003570;0.964962;0.798370;0.159674;
0.003580;0.964837;0.798726;0.159745;
