time;CAPBUS_cap_p_v_0_;MACHINE_machine_terminal_i_0_;MACHINE_machine_terminal_i_1_;MACHINE_machine_terminal_i_2_;MACHINE_machine_omegaPu;MACHINE_machine_theta;MACHINE_machine_cePu;MACHINE_machine_UStatorPu;MACHINE_machine_ifPu;
0.002100;2.497230;-0.718872;0.083970;0.634902;1.000075;1.465738;0.492610;1.597161;0.897255;
0.002120;2.471565;-0.683682;0.059232;0.624450;1.000075;1.472021;0.478272;1.687219;0.886166;
0.002140;2.435319;-0.644728;0.032267;0.612461;1.000076;1.478305;0.462538;1.774121;0.873826;
0.002160;2.390766;-0.602205;0.003206;0.598999;1.000076;1.484589;0.445520;1.855860;0.860302;
0.002180;2.340225;-0.556380;-0.027779;0.584159;1.000077;1.490872;0.427362;1.930468;0.845683;
0.002200;2.285985;-0.507598;-0.060470;0.568067;1.000077;1.497156;0.408236;1.996079;0.830088;
0.002220;2.230228;-0.456266;-0.094609;0.550876;1.000078;1.503440;0.388337;2.050985;0.813654;
0.002240;2.174960;-0.402859;-0.129904;0.532763;1.000078;1.509723;0.367881;2.093686;0.796541;
0.002260;2.121946;-0.347901;-0.166027;0.513928;1.000079;1.516007;0.347101;2.122935;0.778926;
0.002280;2.072656;-0.291960;-0.202630;0.494590;1.000080;1.522291;0.326240;2.137780;0.761001;
0.002300;2.028224;-0.235639;-0.239344;0.474982;1.000081;1.528574;0.305547;2.137593;0.742967;
0.002320;1.989409;-0.179556;-0.275789;0.455346;1.000082;1.534858;0.285273;2.122098;0.725033;
0.002340;1.956583;-0.124340;-0.311586;0.435926;1.000083;1.541142;0.265660;2.091379;0.707410;
0.002360;1.929719;-0.070611;-0.346356;0.416967;1.000084;1.547425;0.246943;2.045895;0.690303;
0.002380;1.908403;-0.018970;-0.379738;0.398708;1.000085;1.553709;0.229338;1.986472;0.673914;
0.002400;1.891849;0.030014;-0.411389;0.381374;1.000086;1.559993;0.213043;1.914299;0.658433;
0.002420;1.878936;0.075817;-0.440995;0.365177;1.000087;1.566277;0.198229;1.830905;0.644032;
0.002440;1.868252;0.117970;-0.468276;0.350306;1.000088;1.572560;0.185041;1.738141;0.630867;
0.002460;1.858146;0.156067;-0.492993;0.336926;1.000089;1.578844;0.173594;1.638151;0.619071;
0.002480;1.846792;0.189775;-0.514951;0.325176;1.000090;1.585128;0.163969;1.533337;0.608753;
0.002500;1.832256;0.218840;-0.534003;0.315163;1.000092;1.591412;0.156216;1.426326;0.599994;
0.002520;1.812571;0.243087;-0.550052;0.306965;1.000093;1.597695;0.150351;1.319921;0.592850;
0.002540;1.785809;0.262426;-0.563050;0.300625;1.000094;1.603979;0.146358;1.217039;0.587347;
0.002560;1.750155;0.276848;-0.573003;0.296155;1.000096;1.610263;0.144193;1.120623;0.583486;
0.002580;1.703979;0.286424;-0.579962;0.293538;1.000097;1.616547;0.143780;1.033495;0.581238;
0.002600;1.645898;0.291300;-0.584024;0.292724;1.000098;1.622831;0.145023;0.958150;0.580552;
0.002620;1.574837;0.291692;-0.585329;0.293637;1.000100;1.629114;0.147802;0.896458;0.581354;
0.002640;1.490077;0.287872;-0.584051;0.296179;1.000101;1.635398;0.151980;0.849353;0.583548;
0.002660;1.391291;0.280166;-0.580394;0.300228;1.000102;1.641682;0.157407;0.816600;0.587023;
0.002680;1.278571;0.268939;-0.574587;0.305648;1.000103;1.647966;0.163925;0.796785;0.591657;
0.002700;1.152441;0.254583;-0.566874;0.312290;1.000105;1.654250;0.171370;0.787591;0.597317;
0.002720;1.013855;0.237510;-0.557508;0.319998;1.000106;1.660533;0.179580;0.786259;0.603863;
0.002740;0.864186;0.218133;-0.546744;0.328612;1.000107;1.666817;0.188394;0.790071;0.611158;
0.002760;0.705195;0.196860;-0.534834;0.337974;1.000108;1.673101;0.197661;0.796690;0.619065;
0.002780;0.538996;0.174083;-0.522014;0.347931;1.000109;1.679385;0.207239;0.804337;0.627453;
0.002800;0.368003;0.150164;-0.508506;0.358342;1.000110;1.685669;0.216999;0.811813;0.636202;
0.002820;0.194867;0.125431;-0.494506;0.369075;1.000112;1.691953;0.226829;0.818431;0.645203;
0.002840;0.022416;0.100169;-0.480186;0.380017;1.000113;1.698237;0.236633;0.823918;0.654361;
0.002860;-0.146428;0.074614;-0.465686;0.391072;1.000114;1.704521;0.246332;0.828294;0.663598;
0.002880;-0.308719;0.048951;-0.451114;0.402163;1.000115;1.710805;0.255865;0.831768;0.672853;
0.002900;-0.461572;0.023312;-0.436546;0.413234;1.000116;1.717088;0.265190;0.834644;0.682081;
0.002920;-0.602235;-0.002224;-0.422026;0.424251;1.000117;1.723372;0.274282;0.837260;0.691256;
0.002940;-0.728169;-0.027628;-0.407567;0.435196;1.000117;1.729656;0.283129;0.839935;0.700368;
0.002960;-0.837113;-0.052918;-0.393155;0.446073;1.000118;1.735940;0.291734;0.842951;0.709420;
0.002980;-0.927146;-0.078151;-0.378750;0.456901;1.000119;1.742224;0.300112;0.846541;0.718429;
0.003000;-0.996740;-0.103417;-0.364297;0.467714;1.000120;1.748508;0.308286;0.850899;0.727424;
0.003020;-1.044800;-0.128832;-0.349725;0.478556;1.000121;1.754792;0.316284;0.856183;0.736440;
0.003040;-1.070691;-0.154526;-0.334954;0.489480;1.000122;1.761076;0.324139;0.862515;0.745516;
0.003060;-1.074256;-0.180634;-0.319906;0.500541;1.000123;1.767360;0.331884;0.869979;0.754695;
0.003080;-1.055817;-0.207289;-0.304506;0.511795;1.000123;1.773644;0.339551;0.878600;0.764016;
0.003100;-1.016162;-0.234604;-0.288691;0.523295;1.000124;1.779928;0.347167;0.888315;0.773514;
0.003120;-0.956522;-0.262672;-0.272414;0.535086;1.000125;1.786212;0.354753;0.898945;0.783216;
0.003140;-0.878533;-0.291551;-0.255652;0.547203;1.000125;1.792496;0.362322;0.910169;0.793140;
