time;GEN1A_generator_omegaPu;GEN1A_generator_PGenPu;GEN1A_generator_UPu;GEN1B_generator_omegaPu;GEN1B_generator_PGenPu;GEN1B_generator_UPu;GEN2A_generator_omegaPu;GEN2A_generator_PGenPu;GEN2A_generator_UPu;GEN2B_generator_omegaPu;GEN2B_generator_PGenPu;GEN2B_generator_UPu;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_1_value;OMEGA_REF_omegaRef_grp_2_value;OMEGA_REF_omegaRef_grp_3_value;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;NETWORK_GEN1A_BUS_numcc_value;NETWORK_GEN2A_BUS_numcc_value;
1.688128;1.015361;4.991864;1.157254;1.016172;3.775940;1.153159;0.997993;3.714110;0.847230;0.998796;3.292850;0.840912;1.015703;1.015703;0.998382;0.998382;1.015703;0.998382;0.000000;1.000000;
1.720896;1.016250;4.975935;1.157477;1.016670;3.792477;1.153047;0.997537;3.693283;0.846926;0.999055;3.304942;0.839811;1.016427;1.016427;0.998271;0.998271;1.016427;0.998271;0.000000;1.000000;
1.753664;1.017161;4.971258;1.157548;1.017128;3.797396;1.153020;0.997161;3.660925;0.846376;0.999232;3.322855;0.838035;1.017147;1.017147;0.998163;0.998163;1.017147;0.998163;0.000000;1.000000;
1.786432;1.018068;4.978447;1.157464;1.017595;3.790108;1.153085;0.996894;3.620095;0.845561;0.999304;3.344057;0.835686;1.017869;1.017869;0.998060;0.998060;1.017869;0.998060;0.000000;1.000000;
1.819200;1.018942;4.996050;1.157227;1.018114;3.771934;1.153217;0.996755;3.574729;0.844505;0.999261;3.365898;0.832942;1.018594;1.018594;0.997967;0.997967;1.018594;0.997967;0.000000;1.000000;
1.851968;1.019764;5.020871;1.156857;1.018723;3.745915;1.153370;0.996747;3.529280;0.843299;0.999107;3.386082;0.830060;1.019326;1.019326;0.997889;0.997889;1.019326;0.997889;0.000000;1.000000;
1.884736;1.020522;5.048604;1.156398;1.019442;3.716364;1.153499;0.996864;3.488248;0.842092;0.998854;3.402941;0.827350;1.020068;1.020068;0.997827;0.997827;1.020068;0.997827;0.000000;1.000000;
1.917504;1.021215;5.074624;1.155927;1.020275;3.688200;1.153584;0.997085;3.455698;0.841062;0.998525;3.415477;0.825133;1.020819;1.020819;0.997782;0.997782;1.020819;0.997782;0.000000;1.000000;
1.950272;1.021853;5.094767;1.155536;1.021205;3.666116;1.153625;0.997381;3.434820;0.840376;0.998143;3.423221;0.823687;1.021580;1.021580;0.997749;0.997749;1.021580;0.997749;0.000000;1.000000;
1.983040;1.022455;5.105953;1.155310;1.022200;3.653759;1.153640;0.997713;3.427609;0.840150;0.997735;3.426005;0.823197;1.022348;1.022348;0.997724;0.997724;1.022348;0.997724;0.000000;1.000000;
2.015808;1.023043;5.106583;1.155298;1.023218;3.653073;1.153642;0.998042;3.434672;0.840418;0.997327;3.423786;0.823719;1.023117;1.023117;0.997696;0.997696;1.023117;0.997696;0.000000;1.000000;
2.048576;1.023645;5.096721;1.155497;1.024213;3.663970;1.153629;0.998327;3.455172;0.841129;0.996947;3.416584;0.825171;1.023884;1.023884;0.997659;0.997659;1.023884;0.997659;0.000000;1.000000;
2.083448;1.024326;5.076756;1.155882;1.025200;3.685828;1.153585;0.998541;3.489039;0.842187;0.996604;3.403393;0.827464;1.024694;1.024694;0.997604;0.997604;1.024694;0.997604;0.000000;1.000000;
2.118321;1.025067;5.050690;1.156346;1.026080;3.713959;1.153494;0.998635;3.531536;0.843410;0.996352;3.385642;0.830247;1.025493;1.025493;0.997531;0.997531;1.025493;0.997531;0.000000;1.000000;
2.153193;1.025877;5.023369;1.156791;1.026840;3.742997;1.153360;0.998591;3.577718;0.844589;0.996212;3.364622;0.833135;1.026283;1.026283;0.997440;0.997440;1.026283;0.997440;0.000000;1.000000;
2.188066;1.026752;4.999888;1.157144;1.027490;3.767634;1.153217;0.998407;3.622395;0.845580;0.996194;3.342576;0.835795;1.027063;1.027063;0.997336;0.997336;1.027063;0.997336;0.000000;1.000000;
2.206027;1.027230;4.991795;1.157281;1.027776;3.776292;1.153182;0.998243;3.642975;0.846047;0.996246;3.332505;0.837027;1.027460;1.027460;0.997277;0.997277;1.027460;0.997277;0.000000;1.000000;
2.223987;1.027715;4.986691;1.157354;1.028051;3.781606;1.153148;0.998051;3.660569;0.846382;0.996325;3.323176;0.838025;1.027857;1.027857;0.997216;0.997216;1.027857;0.997216;0.000000;1.000000;
2.241948;1.028203;4.984850;1.157379;1.028322;3.783510;1.153135;0.997836;3.674841;0.846630;0.996427;3.315350;0.838815;1.028253;1.028253;0.997154;0.997154;1.028253;0.997154;0.000000;1.000000;
2.277870;1.029170;4.988392;1.157330;1.028878;3.779836;1.153160;0.997373;3.694794;0.846950;0.996667;3.304088;0.839893;1.029047;1.029047;0.997031;0.997031;1.029047;0.997031;0.000000;1.000000;
2.313791;1.030109;5.002151;1.157128;1.029481;3.765457;1.153248;0.996881;3.700428;0.846986;0.996941;3.300321;0.840153;1.029845;1.029845;0.996910;0.996910;1.029845;0.996910;0.000000;1.000000;
