time;GEN_A1_generator_omegaPu;GEN_A1_generator_PGen;GEN_A1_generator_QGen;GEN_A1_generator_UStatorPu;GEN_A1_voltageRegulator_EfdPu;GEN_A2_generator_omegaPu;GEN_A2_generator_PGen;GEN_A2_generator_QGen;GEN_A2_generator_UStatorPu;GEN_B1_generator_omegaPu;GEN_B1_generator_PGen;GEN_B1_generator_QGen;GEN_B1_generator_UStatorPu;GEN_B1_voltageRegulator_EfdPu;GEN_B2_generator_omegaPu;GEN_B2_generator_PGen;GEN_B2_generator_QGen;GEN_B2_generator_UStatorPu;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_2_value;NETWORK_A_HV1_Upu_value;NETWORK_A_HV2_Upu_value;NETWORK_A_HV3_Upu_value;NETWORK_B_HV1_Upu_value;NETWORK_B_HV2_Upu_value;NETWORK_A_LD1_Upu_value;NETWORK_B_LD2_Upu_value;NETWORK_A_HV1_numcc_value;NETWORK_B_HV1_numcc_value;HVDC1_hvdc_PInj1Pu;HVDC1_hvdc_PInj2Pu;HVDC1_hvdc_P1RefPu;LOAD_A1_load_PPu;
1.000002;1.000001;897.843293;7.172626;0.986183;2.519638;1.000001;177.684369;33.212035;0.999679;1.000063;401.524230;31.883480;1.003503;1.520101;1.000063;100.404421;10.492121;1.005015;1.000001;1.000063;1.000001;1.000063;0.982147;0.983557;0.982905;1.000015;1.000015;0.966452;0.992571;0.000000;1.000000;-0.599256;0.599256;0.599256;4.845091;
1.000004;1.000001;897.842893;7.172539;0.986182;2.519642;1.000001;177.684470;33.212095;0.999679;1.000063;401.524237;31.883480;1.003503;1.520101;1.000063;100.404422;10.492121;1.005015;1.000001;1.000063;1.000001;1.000063;0.982147;0.983557;0.982904;1.000015;1.000015;0.966452;0.992571;0.000000;1.000000;-0.599256;0.599256;0.599256;4.845090;
1.000008;1.000001;897.842092;7.172367;0.986182;2.519650;1.000001;177.684673;33.212216;0.999678;1.000063;401.524253;31.883480;1.003503;1.520101;1.000063;100.404424;10.492122;1.005015;1.000001;1.000063;1.000001;1.000063;0.982146;0.983556;0.982904;1.000015;1.000015;0.966452;0.992571;0.000000;1.000000;-0.599256;0.599256;0.599256;4.845087;
1.000016;1.000001;897.840491;7.172022;0.986181;2.519667;1.000001;177.685079;33.212458;0.999678;1.000063;401.524283;31.883479;1.003503;1.520101;1.000063;100.404428;10.492123;1.005015;1.000001;1.000063;1.000001;1.000063;0.982146;0.983556;0.982903;1.000015;1.000015;0.966451;0.992571;0.000000;1.000000;-0.599255;0.599255;0.599255;4.845081;
1.000032;1.000001;897.837289;7.171333;0.986180;2.519700;1.000001;177.685891;33.212941;0.999677;1.000063;401.524344;31.883477;1.003503;1.520101;1.000063;100.404435;10.492124;1.005015;1.000001;1.000063;1.000001;1.000063;0.982144;0.983554;0.982902;1.000015;1.000015;0.966449;0.992571;0.000000;1.000000;-0.599255;0.599255;0.599255;4.845069;
1.000064;1.000001;897.830889;7.169955;0.986176;2.519766;1.000001;177.687514;33.213907;0.999674;1.000063;401.524465;31.883472;1.003503;1.520101;1.000063;100.404450;10.492127;1.005015;1.000001;1.000063;1.000001;1.000063;0.982141;0.983551;0.982899;1.000015;1.000015;0.966446;0.992571;0.000000;1.000000;-0.599253;0.599253;0.599253;4.845045;
1.000128;1.000000;897.818103;7.167202;0.986170;2.519899;1.000000;177.690753;33.215839;0.999669;1.000063;401.524708;31.883464;1.003503;1.520101;1.000063;100.404480;10.492133;1.005015;1.000000;1.000063;1.000000;1.000063;0.982134;0.983545;0.982892;1.000015;1.000015;0.966440;0.992571;0.000000;1.000000;-0.599250;0.599250;0.599250;4.844998;
1.000256;0.999999;897.792588;7.161705;0.986156;2.520164;0.999998;177.697206;33.219695;0.999659;1.000063;401.525194;31.883448;1.003502;1.520102;1.000063;100.404540;10.492145;1.005015;0.999999;1.000063;0.999999;1.000063;0.982122;0.983533;0.982880;1.000015;1.000015;0.966427;0.992571;0.000000;1.000000;-0.599245;0.599245;0.599245;4.844904;
1.000512;0.999998;897.741784;7.150751;0.986130;2.520693;0.999994;177.710016;33.227381;0.999639;1.000063;401.526167;31.883415;1.003502;1.520103;1.000063;100.404660;10.492169;1.005015;0.999997;1.000063;0.999997;1.000063;0.982096;0.983509;0.982856;1.000015;1.000015;0.966402;0.992571;0.000000;1.000000;-0.599234;0.599234;0.599234;4.844717;
1.001024;0.999994;897.641071;7.129002;0.986077;2.521742;0.999987;177.735251;33.242655;0.999600;1.000063;401.528115;31.883350;1.003502;1.520104;1.000063;100.404900;10.492217;1.005015;0.999993;1.000063;0.999993;1.000063;0.982046;0.983462;0.982807;1.000015;1.000015;0.966353;0.992571;0.000000;1.000000;-0.599211;0.599211;0.599211;4.844344;
1.002048;0.999986;897.443194;7.086128;0.985974;2.523812;0.999973;177.784191;33.272810;0.999522;1.000063;401.532019;31.883218;1.003502;1.520107;1.000064;100.405384;10.492312;1.005015;0.999984;1.000063;0.999984;1.000063;0.981947;0.983368;0.982711;1.000015;1.000015;0.966255;0.992571;0.000000;1.000000;-0.599166;0.599166;0.599166;4.843609;
1.004096;0.999971;897.061358;7.002797;0.985773;2.527837;0.999944;177.876042;33.331611;0.999371;1.000063;401.539861;31.882954;1.003502;1.520113;1.000064;100.406362;10.492504;1.005014;0.999966;1.000063;0.999966;1.000063;0.981754;0.983186;0.982524;1.000015;1.000015;0.966065;0.992570;0.000000;1.000000;-0.599075;0.599075;0.599075;4.842180;
1.008192;0.999941;896.351173;6.845195;0.985392;2.535454;0.999887;178.036310;33.443632;0.999084;1.000064;401.555669;31.882424;1.003501;1.520126;1.000064;100.408359;10.492886;1.005014;0.999931;1.000064;0.999931;1.000064;0.981389;0.982842;0.982170;1.000014;1.000014;0.965705;0.992570;0.000000;1.000000;-0.598892;0.598892;0.598892;4.839475;
1.016384;0.999882;895.128690;6.561891;0.984709;2.549111;0.999772;178.268260;33.648631;0.998569;1.000064;401.587735;31.881358;1.003500;1.520151;1.000064;100.412499;10.493649;1.005013;0.999862;1.000064;0.999862;1.000064;0.980734;0.982224;0.981535;1.000013;1.000013;0.965060;0.992569;0.000000;1.000000;-0.598519;0.598519;0.598519;4.834624;
1.032768;0.999766;893.364667;6.094415;0.983605;2.571197;0.999543;178.414949;34.003572;0.997739;1.000065;401.653342;31.879235;1.003497;1.520202;1.000065;100.421229;10.495143;1.005012;0.999725;1.000065;0.999725;1.000065;0.979674;0.981223;0.980507;1.000010;1.000011;0.964015;0.992567;0.000000;1.000000;-0.597753;0.597753;0.597753;4.826778;
1.065536;0.999539;891.880486;5.402019;0.982133;2.600624;0.999103;177.695498;34.602723;0.996660;1.000066;401.788698;31.875199;1.003492;1.520305;1.000066;100.439672;10.497888;1.005009;0.999459;1.000066;0.999459;1.000066;0.978261;0.979891;0.979136;1.000005;1.000007;0.962624;0.992563;0.000000;1.000000;-0.596171;0.596171;0.596171;4.816330;
1.098304;0.999316;892.424691;4.902415;0.981356;2.616168;0.998705;175.925303;35.139676;0.996147;1.000067;401.928027;31.871599;1.003487;1.520402;1.000066;100.458586;10.500216;1.005006;0.999204;1.000067;0.999204;1.000067;0.977518;0.979197;0.978417;1.000000;1.000003;0.961891;0.992558;0.000000;1.000000;-0.594546;0.594546;0.594546;4.810829;
1.131072;0.999092;894.214430;4.482736;0.980987;2.623541;0.998366;173.490332;35.678787;0.995988;1.000068;402.069848;31.868580;1.003483;1.520487;1.000066;100.477045;10.502049;1.005004;0.998960;1.000067;0.998960;1.000067;0.977170;0.978883;0.978085;0.999995;0.999999;0.961549;0.992555;0.000000;1.000000;-0.592905;0.592905;0.592905;4.808257;
1.163840;0.998867;896.645953;4.088999;0.980852;2.626247;0.998095;170.751043;36.236195;0.996048;1.000068;402.213295;31.866203;1.003480;1.520558;1.000066;100.494403;10.503362;1.005002;0.998726;1.000068;0.998726;1.000068;0.977050;0.978793;0.977977;0.999992;0.999996;0.961431;0.992552;0.000000;1.000000;-0.591264;0.591264;0.591264;4.807376;
1.196608;0.998638;899.262486;3.706354;0.980857;2.626158;0.997894;168.033184;36.797455;0.996246;1.000068;402.357905;31.864476;1.003477;1.520613;1.000065;100.510285;10.504171;1.005000;0.998502;1.000067;0.998502;1.000067;0.977070;0.978840;0.978007;0.999989;0.999993;0.961450;0.992549;0.000000;1.000000;-0.589633;0.589633;0.589633;4.807521;
1.229376;0.998407;901.724153;3.341964;0.980960;2.624099;0.997758;165.617183;37.333205;0.996541;1.000068;402.503412;31.863365;1.003475;1.520653;1.000064;100.524553;10.504513;1.004998;0.998288;1.000067;0.998288;1.000067;0.977188;0.978986;0.978137;0.999986;0.999991;0.961567;0.992547;0.000000;1.000000;-0.588015;0.588015;0.588015;4.808397;
1.262144;0.998173;903.785735;3.012890;0.981148;2.620333;0.997675;163.727338;37.809783;0.996910;1.000067;402.649617;31.862821;1.003474;1.520679;1.000063;100.537271;10.504431;1.004997;0.998082;1.000066;0.998082;1.000066;0.977393;0.979219;0.978353;0.999984;0.999990;0.961768;0.992546;0.000000;1.000000;-0.586411;0.586411;0.586411;4.809910;
1.294912;0.997937;905.283617;2.738557;0.981420;2.614893;0.997630;162.522169;38.196211;0.997342;1.000066;402.796325;31.862788;1.003473;1.520690;1.000061;100.548668;10.503968;1.004996;0.997881;1.000065;0.997881;1.000065;0.977681;0.979534;0.978653;0.999983;0.999989;0.962053;0.992545;0.000000;1.000000;-0.584820;0.584820;0.584820;4.812044;
