time;NETWORK_B1_Urms;
0.006110;1.002851;
0.006120;1.002925;
0.006130;1.003003;
0.006140;1.003083;
0.006150;1.003166;
0.006160;1.003252;
0.006170;1.003341;
0.006180;1.003432;
0.006190;1.003525;
0.006200;1.003620;
0.006210;1.003718;
0.006220;1.003818;
0.006230;1.003920;
0.006240;1.004024;
0.006250;1.004129;
0.006260;1.004236;
0.006270;1.004345;
0.006280;1.004456;
0.006290;1.004568;
0.006300;1.004681;
0.006310;1.004796;
0.006320;1.004912;
0.006330;1.005029;
0.006340;1.005147;
0.006350;1.005266;
0.006360;1.005386;
0.006370;1.005507;
0.006380;1.005629;
0.006390;1.005751;
0.006400;1.005874;
0.006410;1.005997;
0.006420;1.006121;
0.006430;1.006245;
0.006440;1.006370;
0.006450;1.006494;
0.006460;1.006619;
0.006470;1.006744;
0.006480;1.006870;
0.006490;1.006995;
0.006500;1.007120;
0.006510;1.007245;
0.006520;1.007369;
0.006530;1.007494;
0.006540;1.007618;
0.006550;1.007741;
0.006560;1.007865;
0.006570;1.007987;
0.006580;1.008110;
0.006590;1.008231;
0.006600;1.008352;
0.006610;1.008472;
0.006620;1.008592;
0.006630;1.008710;
0.006640;1.008828;
0.006650;1.008945;
0.006660;1.009061;
0.006670;1.009176;
0.006680;1.009290;
0.006690;1.009403;
0.006700;1.009514;
0.006710;1.009625;
0.006720;1.009734;
0.006730;1.009842;
0.006740;1.009949;
0.006750;1.010055;
0.006760;1.010159;
0.006770;1.010262;
0.006780;1.010363;
0.006790;1.010463;
0.006800;1.010561;
0.006810;1.010658;
0.006820;1.010753;
0.006830;1.010847;
0.006840;1.010939;
0.006850;1.011030;
0.006860;1.011119;
0.006870;1.011206;
0.006880;1.011292;
0.006890;1.011375;
0.006900;1.011458;
0.006910;1.011538;
0.006920;1.011616;
0.006930;1.011693;
0.006940;1.011768;
0.006950;1.011841;
0.006960;1.011912;
0.006970;1.011982;
0.006980;1.012049;
0.006990;1.012115;
0.007000;1.012179;
0.007010;1.012241;
0.007020;1.012301;
0.007030;1.012359;
0.007040;1.012415;
0.007050;1.012469;
0.007060;1.012521;
0.007070;1.012571;
0.007080;1.012620;
0.007090;1.012666;
0.007100;1.012711;
0.007110;1.012753;
0.007120;1.012794;
0.007130;1.012832;
0.007140;1.012869;
0.007150;1.012903;
0.007160;1.012936;
0.007170;1.012967;
0.007180;1.012996;
0.007190;1.013023;
0.007200;1.013048;
0.007210;1.013071;
0.007220;1.013092;
0.007230;1.013111;
0.007240;1.013128;
0.007250;1.013144;
0.007260;1.013158;
0.007270;1.013169;
0.007280;1.013179;
0.007290;1.013187;
0.007300;1.013194;
0.007310;1.013198;
0.007320;1.013201;
0.007330;1.013202;
0.007340;1.013201;
0.007350;1.013199;
0.007360;1.013195;
0.007370;1.013189;
0.007380;1.013181;
0.007390;1.013172;
0.007400;1.013161;
0.007410;1.013149;
0.007420;1.013135;
0.007430;1.013120;
0.007440;1.013103;
0.007450;1.013084;
0.007460;1.013064;
0.007470;1.013043;
0.007480;1.013020;
0.007490;1.012996;
0.007500;1.012971;
0.007510;1.012944;
0.007520;1.012916;
0.007530;1.012887;
0.007540;1.012856;
0.007550;1.012824;
0.007560;1.012791;
0.007570;1.012757;
0.007580;1.012722;
0.007590;1.012686;
0.007600;1.012649;
0.007610;1.012610;
0.007620;1.012571;
0.007630;1.012531;
0.007640;1.012490;
0.007650;1.012448;
0.007660;1.012406;
0.007670;1.012362;
0.007680;1.012318;
0.007690;1.012274;
0.007700;1.012228;
0.007710;1.012182;
0.007720;1.012136;
0.007730;1.012088;
0.007740;1.012041;
0.007750;1.011993;
0.007760;1.011944;
0.007770;1.011895;
0.007780;1.011846;
0.007790;1.011797;
0.007800;1.011747;
0.007810;1.011698;
0.007820;1.011648;
0.007830;1.011598;
0.007840;1.011547;
0.007850;1.011497;
0.007860;1.011447;
0.007870;1.011397;
0.007880;1.011347;
0.007890;1.011298;
0.007900;1.011248;
0.007910;1.011199;
0.007920;1.011150;
0.007930;1.011101;
0.007940;1.011053;
0.007950;1.011005;
0.007960;1.010958;
0.007970;1.010911;
0.007980;1.010865;
0.007990;1.010819;
0.008000;1.010774;
0.008010;1.010730;
0.008020;1.010687;
0.008030;1.010644;
0.008040;1.010602;
0.008050;1.010561;
0.008060;1.010521;
0.008070;1.010482;
0.008080;1.010444;
0.008090;1.010407;
0.008100;1.010372;
0.008110;1.010337;
0.008120;1.010303;
0.008130;1.010271;
0.008140;1.010240;
0.008150;1.010211;
0.008160;1.010182;
0.008170;1.010156;
0.008180;1.010130;
0.008190;1.010106;
0.008200;1.010084;
0.008210;1.010063;
0.008220;1.010044;
0.008230;1.010027;
0.008240;1.010011;
0.008250;1.009997;
0.008260;1.009984;
0.008270;1.009974;
0.008280;1.009965;
0.008290;1.009959;
0.008300;1.009954;
0.008310;1.009951;
0.008320;1.009950;
0.008330;1.009951;
0.008340;1.009955;
0.008350;1.009960;
0.008360;1.009967;
0.008370;1.009977;
0.008380;1.009989;
0.008390;1.010003;
0.008400;1.010019;
0.008410;1.010038;
0.008420;1.010059;
0.008430;1.010082;
0.008440;1.010108;
0.008450;1.010136;
0.008460;1.010167;
0.008470;1.010200;
0.008480;1.010235;
0.008490;1.010273;
0.008500;1.010314;
0.008510;1.010357;
0.008520;1.010402;
0.008530;1.010451;
0.008540;1.010502;
0.008550;1.010555;
0.008560;1.010611;
0.008570;1.010670;
0.008580;1.010732;
0.008590;1.010796;
0.008600;1.010863;
0.008610;1.010933;
0.008620;1.011005;
0.008630;1.011081;
0.008640;1.011159;
0.008650;1.011240;
0.008660;1.011323;
0.008670;1.011410;
0.008680;1.011499;
0.008690;1.011591;
0.008700;1.011686;
0.008710;1.011784;
0.008720;1.011885;
0.008730;1.011988;
0.008740;1.012095;
0.008750;1.012204;
0.008760;1.012316;
0.008770;1.012431;
0.008780;1.012549;
0.008790;1.012670;
0.008800;1.012793;
0.008810;1.012919;
0.008820;1.013049;
0.008830;1.013181;
0.008840;1.013316;
0.008850;1.013453;
0.008860;1.013594;
0.008870;1.013737;
0.008880;1.013883;
0.008890;1.014032;
0.008900;1.014184;
0.008910;1.014338;
0.008920;1.014496;
0.008930;1.014655;
0.008940;1.014818;
0.008950;1.014983;
0.008960;1.015152;
0.008970;1.015322;
0.008980;1.015496;
0.008990;1.015672;
0.009000;1.015850;
0.009010;1.016031;
0.009020;1.016215;
0.009030;1.016401;
0.009040;1.016590;
0.009050;1.016781;
0.009060;1.016975;
0.009070;1.017171;
0.009080;1.017370;
0.009090;1.017570;
0.009100;1.017774;
0.009110;1.017979;
0.009120;1.018187;
0.009130;1.018397;
0.009140;1.018609;
0.009150;1.018824;
0.009160;1.019040;
0.009170;1.019259;
0.009180;1.019480;
0.009190;1.019703;
0.009200;1.019928;
0.009210;1.020155;
0.009220;1.020383;
0.009230;1.020614;
0.009240;1.020846;
0.009250;1.021081;
0.009260;1.021317;
0.009270;1.021555;
0.009280;1.021794;
0.009290;1.022035;
0.009300;1.022278;
0.009310;1.022522;
0.009320;1.022768;
0.009330;1.023015;
0.009340;1.023263;
0.009350;1.023513;
0.009360;1.023765;
0.009370;1.024017;
0.009380;1.024271;
0.009390;1.024526;
0.009400;1.024782;
0.009410;1.025039;
0.009420;1.025297;
0.009430;1.025557;
0.009440;1.025817;
0.009450;1.026078;
0.009460;1.026339;
0.009470;1.026602;
0.009480;1.026865;
0.009490;1.027129;
0.009500;1.027394;
0.009510;1.027659;
0.009520;1.027925;
0.009530;1.028191;
0.009540;1.028457;
0.009550;1.028724;
0.009560;1.028991;
0.009570;1.029259;
0.009580;1.029526;
0.009590;1.029794;
0.009600;1.030062;
0.009610;1.030330;
0.009620;1.030598;
0.009630;1.030866;
0.009640;1.031133;
0.009650;1.031401;
0.009660;1.031668;
0.009670;1.031935;
0.009680;1.032202;
0.009690;1.032468;
0.009700;1.032734;
0.009710;1.032999;
0.009720;1.033263;
0.009730;1.033528;
0.009740;1.033791;
0.009750;1.034054;
0.009760;1.034315;
0.009770;1.034577;
0.009780;1.034837;
0.009790;1.035096;
0.009800;1.035354;
0.009810;1.035611;
0.009820;1.035868;
0.009830;1.036123;
0.009840;1.036376;
0.009850;1.036629;
0.009860;1.036880;
0.009870;1.037130;
0.009880;1.037378;
0.009890;1.037625;
0.009900;1.037871;
0.009910;1.038115;
0.009920;1.038357;
0.009930;1.038598;
0.009940;1.038837;
0.009950;1.039074;
0.009960;1.039310;
0.009970;1.039543;
0.009980;1.039775;
0.009990;1.040005;
0.010000;1.040233;
0.010010;1.040459;
0.010020;1.040682;
0.010030;1.040904;
0.010040;1.041124;
0.010050;1.041341;
0.010060;1.041556;
0.010070;1.041769;
0.010080;1.041979;
0.010090;1.042187;
0.010100;1.042393;
0.010110;1.042596;
0.010120;1.042797;
0.010130;1.042995;
0.010140;1.043191;
0.010150;1.043384;
0.010160;1.043574;
0.010170;1.043762;
0.010180;1.043947;
0.010190;1.044129;
0.010200;1.044309;
0.010210;1.044485;
0.010220;1.044659;
0.010230;1.044830;
0.010240;1.044998;
0.010250;1.045164;
0.010260;1.045326;
0.010270;1.045485;
0.010280;1.045641;
0.010290;1.045794;
0.010300;1.045944;
0.010310;1.046091;
0.010320;1.046235;
0.010330;1.046376;
0.010340;1.046513;
0.010350;1.046648;
0.010360;1.046779;
0.010370;1.046907;
0.010380;1.047031;
0.010390;1.047152;
0.010400;1.047270;
0.010410;1.047385;
0.010420;1.047496;
0.010430;1.047604;
0.010440;1.047709;
0.010450;1.047810;
0.010460;1.047908;
0.010470;1.048002;
0.010480;1.048093;
0.010490;1.048180;
0.010500;1.048264;
0.010510;1.048345;
0.010520;1.048422;
0.010530;1.048495;
0.010540;1.048565;
0.010550;1.048632;
0.010560;1.048695;
0.010570;1.048754;
0.010580;1.048810;
0.010590;1.048862;
0.010600;1.048911;
0.010610;1.048956;
0.010620;1.048998;
0.010630;1.049036;
0.010640;1.049071;
0.010650;1.049102;
0.010660;1.049130;
0.010670;1.049154;
0.010680;1.049174;
0.010690;1.049191;
0.010700;1.049205;
0.010710;1.049214;
0.010720;1.049221;
0.010730;1.049224;
0.010740;1.049223;
0.010750;1.049219;
0.010760;1.049211;
0.010770;1.049200;
0.010780;1.049185;
0.010790;1.049167;
0.010800;1.049145;
0.010810;1.049120;
0.010820;1.049092;
0.010830;1.049060;
0.010840;1.049024;
0.010850;1.048986;
0.010860;1.048943;
0.010870;1.048898;
0.010880;1.048849;
0.010890;1.048797;
0.010900;1.048741;
0.010910;1.048682;
0.010920;1.048620;
0.010930;1.048555;
0.010940;1.048486;
0.010950;1.048415;
0.010960;1.048339;
0.010970;1.048261;
0.010980;1.048180;
0.010990;1.048095;
0.011000;1.048008;
0.011010;1.047917;
0.011020;1.047823;
0.011030;1.047727;
0.011040;1.047627;
0.011050;1.047524;
0.011060;1.047418;
0.011070;1.047310;
0.011080;1.047198;
0.011090;1.047084;
0.011100;1.046967;
0.011110;1.046846;
0.011120;1.046724;
0.011130;1.046598;
0.011140;1.046470;
0.011150;1.046339;
0.011160;1.046205;
0.011170;1.046069;
0.011180;1.045930;
0.011190;1.045789;
0.011200;1.045645;
0.011210;1.045498;
0.011220;1.045349;
0.011230;1.045198;
0.011240;1.045044;
0.011250;1.044888;
0.011260;1.044730;
0.011270;1.044569;
0.011280;1.044407;
0.011290;1.044242;
0.011300;1.044074;
0.011310;1.043905;
0.011320;1.043734;
0.011330;1.043560;
0.011340;1.043385;
0.011350;1.043207;
0.011360;1.043028;
0.011370;1.042847;
0.011380;1.042664;
0.011390;1.042479;
0.011400;1.042292;
0.011410;1.042104;
0.011420;1.041913;
0.011430;1.041722;
0.011440;1.041528;
0.011450;1.041333;
0.011460;1.041137;
0.011470;1.040939;
0.011480;1.040740;
0.011490;1.040539;
0.011500;1.040337;
0.011510;1.040133;
0.011520;1.039928;
0.011530;1.039722;
0.011540;1.039515;
0.011550;1.039307;
0.011560;1.039098;
0.011570;1.038887;
0.011580;1.038676;
0.011590;1.038463;
0.011600;1.038250;
0.011610;1.038035;
0.011620;1.037820;
0.011630;1.037604;
0.011640;1.037388;
0.011650;1.037170;
0.011660;1.036952;
0.011670;1.036734;
0.011680;1.036514;
0.011690;1.036294;
0.011700;1.036074;
0.011710;1.035853;
0.011720;1.035632;
0.011730;1.035410;
0.011740;1.035188;
0.011750;1.034966;
0.011760;1.034744;
0.011770;1.034521;
0.011780;1.034298;
0.011790;1.034075;
0.011800;1.033852;
0.011810;1.033629;
0.011820;1.033406;
0.011830;1.033183;
0.011840;1.032960;
0.011850;1.032737;
0.011860;1.032514;
0.011870;1.032292;
0.011880;1.032069;
0.011890;1.031847;
0.011900;1.031626;
0.011910;1.031404;
0.011920;1.031184;
0.011930;1.030963;
0.011940;1.030743;
0.011950;1.030524;
0.011960;1.030305;
0.011970;1.030087;
0.011980;1.029869;
0.011990;1.029652;
