time;LINE_line_p_v_0_;LINE_line_p_v_1_;LINE_line_p_v_2_;LINE_line_p_i_0_;LINE_line_p_i_1_;LINE_line_p_i_2_;LINE_line_n_v_0_;LINE_line_n_v_1_;LINE_line_n_v_2_;
0.002960;0.849122;0.554848;-1.403971;0.415280;0.291994;-0.707274;0.932194;0.431804;-1.363998;
0.002980;0.842000;0.563011;-1.405011;0.411092;0.296338;-0.707430;0.927032;0.439440;-1.366472;
0.003000;0.834844;0.571151;-1.405995;0.406836;0.300693;-0.707529;0.921709;0.447127;-1.368837;
0.003020;0.827655;0.579268;-1.406924;0.402518;0.305056;-0.707574;0.916229;0.454865;-1.371094;
0.003040;0.820434;0.587363;-1.407797;0.398142;0.309424;-0.707566;0.910591;0.462651;-1.373242;
0.003060;0.813180;0.595435;-1.408615;0.393715;0.313794;-0.707509;0.904799;0.470484;-1.375283;
0.003080;0.805894;0.603483;-1.409377;0.389240;0.318163;-0.707404;0.898856;0.478360;-1.377216;
0.003100;0.798577;0.611507;-1.410083;0.384723;0.322530;-0.707253;0.892763;0.486279;-1.379042;
0.003120;0.791227;0.619507;-1.410734;0.380169;0.326890;-0.707059;0.886526;0.494237;-1.380763;
0.003140;0.783847;0.627482;-1.411329;0.375581;0.331243;-0.706824;0.880146;0.502232;-1.382378;
0.003160;0.776436;0.635433;-1.411869;0.370965;0.335584;-0.706549;0.873629;0.510261;-1.383890;
0.003180;0.768993;0.643359;-1.412352;0.366324;0.339913;-0.706237;0.866979;0.518321;-1.385300;
0.003200;0.761521;0.651259;-1.412780;0.361663;0.344226;-0.705889;0.860198;0.526410;-1.386608;
0.003220;0.754019;0.659134;-1.413152;0.356985;0.348523;-0.705508;0.853293;0.534524;-1.387818;
0.003240;0.746486;0.666982;-1.413468;0.352295;0.352800;-0.705095;0.846268;0.542661;-1.388929;
0.003260;0.738925;0.674804;-1.413729;0.347595;0.357056;-0.704651;0.839128;0.550817;-1.389945;
0.003280;0.731334;0.682600;-1.413934;0.342889;0.361290;-0.704180;0.831877;0.558989;-1.390866;
0.003300;0.723714;0.690369;-1.414083;0.338181;0.365499;-0.703681;0.824521;0.567174;-1.391695;
0.003320;0.716066;0.698110;-1.414176;0.333474;0.369683;-0.703157;0.817064;0.575370;-1.392434;
0.003340;0.708389;0.705824;-1.414213;0.328769;0.373839;-0.702608;0.809512;0.583572;-1.393084;
0.003360;0.700684;0.713510;-1.414194;0.324070;0.377967;-0.702037;0.801869;0.591779;-1.393648;
0.003380;0.692952;0.721168;-1.414120;0.319379;0.382065;-0.701444;0.794141;0.599986;-1.394128;
0.003400;0.685193;0.728797;-1.413989;0.314698;0.386133;-0.700831;0.786333;0.608192;-1.394525;
0.003420;0.677406;0.736397;-1.413803;0.310030;0.390169;-0.700199;0.778450;0.616392;-1.394842;
0.003440;0.669593;0.743969;-1.413561;0.305376;0.394172;-0.699548;0.770497;0.624585;-1.395082;
0.003460;0.661753;0.751511;-1.413264;0.300737;0.398142;-0.698879;0.762478;0.632767;-1.395245;
0.003480;0.653887;0.759024;-1.412910;0.296115;0.402079;-0.698194;0.754399;0.640935;-1.395334;
0.003500;0.645995;0.766506;-1.412501;0.291512;0.405981;-0.697493;0.746263;0.649088;-1.395351;
0.003520;0.638078;0.773958;-1.412036;0.286928;0.409848;-0.696777;0.738077;0.657221;-1.395298;
0.003540;0.630135;0.781380;-1.411515;0.282365;0.413680;-0.696045;0.729844;0.665334;-1.395178;
0.003560;0.622168;0.788771;-1.410939;0.277823;0.417477;-0.695300;0.721568;0.673423;-1.394991;
0.003580;0.614176;0.796130;-1.410306;0.273302;0.421238;-0.694540;0.713253;0.681486;-1.394739;
0.003600;0.606160;0.803459;-1.409619;0.268803;0.424964;-0.693767;0.704905;0.689521;-1.394426;
0.003620;0.598120;0.810755;-1.408875;0.264327;0.428653;-0.692981;0.696525;0.697526;-1.394051;
0.003640;0.590056;0.818020;-1.408076;0.259874;0.432307;-0.692181;0.688119;0.705498;-1.393617;
0.003660;0.581969;0.825252;-1.407221;0.255443;0.435926;-0.691369;0.679690;0.713436;-1.393126;
0.003680;0.573859;0.832452;-1.406311;0.251034;0.439509;-0.690543;0.671241;0.721339;-1.392579;
0.003700;0.565727;0.839618;-1.405345;0.246648;0.443057;-0.689705;0.662774;0.729203;-1.391978;
0.003720;0.557572;0.846752;-1.404324;0.242283;0.446570;-0.688854;0.654294;0.737029;-1.391323;
0.003740;0.549395;0.853852;-1.403247;0.237941;0.450049;-0.687989;0.645803;0.744814;-1.390617;
0.003760;0.541196;0.860919;-1.402115;0.233619;0.453493;-0.687112;0.637303;0.752557;-1.389860;
0.003780;0.532976;0.867951;-1.400927;0.229317;0.456904;-0.686221;0.628797;0.760256;-1.389054;
0.003800;0.524735;0.874949;-1.399684;0.225035;0.460281;-0.685317;0.620288;0.767911;-1.388199;
0.003820;0.516473;0.881913;-1.398386;0.220772;0.463626;-0.684399;0.611777;0.775521;-1.387298;
0.003840;0.508191;0.888842;-1.397033;0.216528;0.466939;-0.683466;0.603266;0.783084;-1.386350;
0.003860;0.499889;0.895736;-1.395625;0.212300;0.470219;-0.682519;0.594757;0.790600;-1.385356;
0.003880;0.491567;0.902594;-1.394161;0.208089;0.473469;-0.681557;0.586251;0.798068;-1.384318;
0.003900;0.483226;0.909417;-1.392643;0.203892;0.476688;-0.680580;0.577750;0.805487;-1.383236;
0.003920;0.474865;0.916204;-1.391069;0.199711;0.479877;-0.679587;0.569255;0.812856;-1.382111;
0.003940;0.466486;0.922955;-1.389441;0.195542;0.483036;-0.678578;0.560767;0.820176;-1.380943;
0.003960;0.458088;0.929669;-1.387757;0.191385;0.486167;-0.677553;0.552287;0.827446;-1.379733;
0.003980;0.449673;0.936347;-1.386019;0.187240;0.489270;-0.676510;0.543816;0.834665;-1.378480;
0.004000;0.441239;0.942987;-1.384227;0.183104;0.492345;-0.675449;0.535354;0.841833;-1.377187;
0.004020;0.432788;0.949591;-1.382379;0.178978;0.495393;-0.674371;0.526901;0.848950;-1.375852;
0.004040;0.424321;0.956157;-1.380477;0.174859;0.498415;-0.673274;0.518459;0.856017;-1.374476;
0.004060;0.415836;0.962685;-1.378521;0.170747;0.501411;-0.672158;0.510027;0.863032;-1.373059;
0.004080;0.407335;0.969175;-1.376510;0.166640;0.504382;-0.671022;0.501606;0.869996;-1.371602;
0.004100;0.398818;0.975627;-1.374444;0.162538;0.507328;-0.669866;0.493195;0.876909;-1.370103;
0.004120;0.390285;0.982040;-1.372325;0.158439;0.510250;-0.668690;0.484794;0.883771;-1.368564;
0.004140;0.381736;0.988415;-1.370151;0.154343;0.513149;-0.667492;0.476403;0.890582;-1.366985;
0.004160;0.373173;0.994750;-1.367923;0.150248;0.516025;-0.666273;0.468022;0.897342;-1.365364;
0.004180;0.364595;1.001047;-1.365641;0.146154;0.518878;-0.665031;0.459650;0.904053;-1.363703;
0.004200;0.356002;1.007303;-1.363306;0.142058;0.521709;-0.663767;0.451287;0.910713;-1.362000;
0.004220;0.347396;1.013520;-1.360916;0.137962;0.524518;-0.662480;0.442933;0.917323;-1.360256;
0.004240;0.338775;1.019698;-1.358473;0.133863;0.527307;-0.661170;0.434586;0.923884;-1.358470;
0.004260;0.330142;1.025834;-1.355976;0.129761;0.530074;-0.659836;0.426247;0.930396;-1.356643;
0.004280;0.321495;1.031931;-1.353425;0.125655;0.532822;-0.658477;0.417913;0.936860;-1.354773;
0.004300;0.312835;1.037986;-1.350822;0.121545;0.535549;-0.657094;0.409586;0.943275;-1.352861;
0.004320;0.304164;1.044001;-1.348164;0.117429;0.538257;-0.655685;0.401263;0.949642;-1.350906;
0.004340;0.295480;1.049974;-1.345454;0.113307;0.540945;-0.654252;0.392945;0.955962;-1.348907;
0.004360;0.286785;1.055906;-1.342690;0.109178;0.543614;-0.652792;0.384630;0.962235;-1.346865;
0.004380;0.278078;1.061796;-1.339874;0.105042;0.546264;-0.651306;0.376317;0.968462;-1.344779;
0.004400;0.269360;1.067644;-1.337004;0.100899;0.548896;-0.649794;0.368006;0.974642;-1.342648;
0.004420;0.260632;1.073450;-1.334082;0.096747;0.551509;-0.648255;0.359696;0.980777;-1.340473;
0.004440;0.251893;1.079214;-1.331107;0.092586;0.554104;-0.646690;0.351385;0.986866;-1.338252;
0.004460;0.243144;1.084935;-1.328080;0.088417;0.556680;-0.645097;0.343074;0.992911;-1.335985;
0.004480;0.234386;1.090614;-1.325000;0.084238;0.559239;-0.643477;0.334761;0.998911;-1.333672;
0.004500;0.225619;1.096249;-1.321868;0.080050;0.561779;-0.641829;0.326445;1.004868;-1.331313;
0.004520;0.216842;1.101841;-1.318683;0.075852;0.564302;-0.640154;0.318126;1.010781;-1.328907;
0.004540;0.208058;1.107389;-1.315447;0.071644;0.566807;-0.638451;0.309803;1.016650;-1.326453;
0.004560;0.199264;1.112894;-1.312159;0.067425;0.569294;-0.636720;0.301474;1.022477;-1.323951;
0.004580;0.190463;1.118355;-1.308818;0.063197;0.571763;-0.634960;0.293140;1.028262;-1.321402;
0.004600;0.181655;1.123772;-1.305427;0.058959;0.574215;-0.633173;0.284799;1.034004;-1.318803;
0.004620;0.172839;1.129144;-1.301983;0.054710;0.576648;-0.631357;0.276451;1.039704;-1.316156;
0.004640;0.164017;1.134472;-1.298488;0.050451;0.579063;-0.629514;0.268096;1.045363;-1.313459;
0.004660;0.155188;1.139755;-1.294942;0.046182;0.581460;-0.627642;0.259732;1.050981;-1.310712;
0.004680;0.146353;1.144993;-1.291345;0.041903;0.583839;-0.625742;0.251359;1.056557;-1.307916;
0.004700;0.137512;1.150185;-1.287697;0.037614;0.586200;-0.623813;0.242976;1.062093;-1.305069;
