time;GEN_generator_omegaPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;GEN_generator_delta;LOAD_load_PPu;LOAD_load_QPu;OMEGA_REF_setPoint_setPoint;NETWORK_BUS_Upu_value;
2.785568;0.963310;1.200000;0.199910;0.990606;-13.980044;1.200000;0.200000;1.000000;0.990606;
2.801952;0.963102;1.200000;0.199989;0.990592;-14.169428;1.200000;0.200000;1.000000;0.990592;
2.834720;0.962690;1.200000;0.199964;0.990596;-14.551380;1.200000;0.200000;1.000000;0.990596;
2.900256;0.961874;1.200000;0.199800;0.990628;-15.327913;1.200000;0.200000;1.000000;0.990628;
2.933024;0.961470;1.200000;0.199851;0.990616;-15.722466;1.200000;0.200000;1.000000;0.990616;
2.949408;0.961269;1.200000;0.199984;0.990593;-15.921305;1.200000;0.200000;1.000000;0.990593;
2.982176;0.960868;1.200000;0.199946;0.990599;-16.322074;1.200000;0.200000;1.000000;0.990599;
2.998560;0.960669;1.200000;0.199996;0.990591;-16.524002;1.200000;0.200000;1.000000;0.990591;
3.031328;0.960273;1.200000;0.199939;0.990600;-16.930921;1.200000;0.200000;1.000000;0.990600;
3.047712;0.960076;1.200000;0.199995;0.990592;-17.135910;1.200000;0.200000;1.000000;0.990592;
3.080480;0.959683;1.200000;0.199931;0.990601;-17.548919;1.200000;0.200000;1.000000;0.990601;
3.096864;0.959488;1.200000;0.199994;0.990592;-17.756937;1.200000;0.200000;1.000000;0.990592;
3.129632;0.959099;1.200000;0.199922;0.990602;-18.175976;1.200000;0.200000;1.000000;0.990602;
3.146016;0.958906;1.200000;0.199994;0.990592;-18.386994;1.200000;0.200000;1.000000;0.990592;
3.178784;0.958521;1.200000;0.199912;0.990603;-18.812004;1.200000;0.200000;1.000000;0.990603;
3.195168;0.958330;1.200000;0.199993;0.990592;-19.025994;1.200000;0.200000;1.000000;0.990592;
3.227936;0.957949;1.200000;0.199902;0.990605;-19.456917;1.200000;0.200000;1.000000;0.990605;
3.244320;0.957759;1.200000;0.199992;0.990592;-19.673848;1.200000;0.200000;1.000000;0.990592;
3.277088;0.957382;1.200000;0.199891;0.990606;-20.110625;1.200000;0.200000;1.000000;0.990606;
3.293472;0.957194;1.200000;0.199991;0.990592;-20.330470;1.200000;0.200000;1.000000;0.990592;
3.326240;0.956821;1.200000;0.199879;0.990608;-20.773045;1.200000;0.200000;1.000000;0.990608;
3.342624;0.956635;1.200000;0.199990;0.990592;-20.995774;1.200000;0.200000;1.000000;0.990592;
3.375392;0.956265;1.200000;0.199865;0.990609;-21.444090;1.200000;0.200000;1.000000;0.990609;
3.391776;0.956081;1.200000;0.199989;0.990593;-21.669675;1.200000;0.200000;1.000000;0.990593;
3.424544;0.955714;1.200000;0.199987;0.990593;-22.123676;1.200000;0.200000;1.000000;0.990593;
3.440928;0.955532;1.200000;0.199987;0.990593;-22.352090;1.200000;0.200000;1.000000;0.990593;
3.473696;0.955169;1.200000;0.199836;0.990613;-22.811720;1.200000;0.200000;1.000000;0.990613;
3.490080;0.954989;1.200000;0.199986;0.990593;-23.042934;1.200000;0.200000;1.000000;0.990593;
3.522848;0.954630;1.200000;0.199983;0.990594;-23.508138;1.200000;0.200000;1.000000;0.990594;
3.539232;0.954451;1.200000;0.199985;0.990593;-23.742126;1.200000;0.200000;1.000000;0.990593;
3.572000;0.954095;1.200000;0.199981;0.990595;-24.212849;1.200000;0.200000;1.000000;0.990595;
3.588384;0.953918;1.200000;0.199983;0.990593;-24.449583;1.200000;0.200000;1.000000;0.990593;
3.621152;0.953566;1.200000;0.199978;0.990595;-24.925772;1.200000;0.200000;1.000000;0.990595;
3.637536;0.953391;1.200000;0.199981;0.990594;-25.165225;1.200000;0.200000;1.000000;0.990594;
3.670304;0.953042;1.200000;0.199975;0.990596;-25.646827;1.200000;0.200000;1.000000;0.990596;
3.686688;0.952869;1.200000;0.199979;0.990594;-25.888972;1.200000;0.200000;1.000000;0.990594;
3.719456;0.952523;1.200000;0.199972;0.990596;-26.375933;1.200000;0.200000;1.000000;0.990596;
3.735840;0.952351;1.200000;0.199977;0.990594;-26.620745;1.200000;0.200000;1.000000;0.990594;
3.768608;0.952009;1.200000;0.199968;0.990597;-27.113012;1.200000;0.200000;1.000000;0.990597;
3.784992;0.951839;1.200000;0.199975;0.990595;-27.360465;1.200000;0.200000;1.000000;0.990595;
3.817760;0.951501;1.200000;0.199964;0.990598;-27.857987;1.200000;0.200000;1.000000;0.990598;
3.834144;0.951332;1.200000;0.199973;0.990595;-28.108054;1.200000;0.200000;1.000000;0.990595;
3.866912;0.950997;1.200000;0.199959;0.990599;-28.610779;1.200000;0.200000;1.000000;0.990599;
3.883296;0.950830;1.200000;0.199970;0.990595;-28.863435;1.200000;0.200000;1.000000;0.990595;
3.916064;0.950498;1.200000;0.199954;0.990599;-29.371313;1.200000;0.200000;1.000000;0.990599;
3.932448;0.950333;1.200000;0.199968;0.990596;-29.626532;1.200000;0.200000;1.000000;0.990596;
3.965216;0.950004;1.200000;0.199949;0.990600;-30.139512;1.200000;0.200000;1.000000;0.990600;
3.981600;0.949840;1.200000;0.199965;0.990596;-30.397270;1.200000;0.200000;1.000000;0.990596;
4.014368;0.949515;1.200000;0.199943;0.990602;-30.915302;1.200000;0.200000;1.000000;0.990602;
4.030752;0.949353;1.200000;0.199962;0.990596;-31.175574;1.200000;0.200000;1.000000;0.990596;
4.063520;0.949031;1.200000;0.199937;0.990603;-31.698608;1.200000;0.200000;1.000000;0.990603;
4.079904;0.948870;1.200000;0.199959;0.990597;-31.961369;1.200000;0.200000;1.000000;0.990597;
4.112672;0.948551;1.200000;0.199930;0.990604;-32.489358;1.200000;0.200000;1.000000;0.990604;
4.129056;0.948392;1.200000;0.199956;0.990597;-32.754583;1.200000;0.200000;1.000000;0.990597;
